"Time","emqx-0"
2023-06-26 11:41:15,0
2023-06-26 11:41:30,0
2023-06-26 11:41:45,0
2023-06-26 11:42:00,0
2023-06-26 11:42:15,5
2023-06-26 11:42:30,5
2023-06-26 11:42:45,8
2023-06-26 11:43:00,9
2023-06-26 11:43:15,230
2023-06-26 11:43:30,475
2023-06-26 11:43:45,988
2023-06-26 11:44:00,1356
2023-06-26 11:44:15,2035
2023-06-26 11:44:30,2377
2023-06-26 11:44:45,2955
2023-06-26 11:45:00,3374
2023-06-26 11:45:15,3899
2023-06-26 11:45:30,4281
2023-06-26 11:45:45,4937
2023-06-26 11:46:00,5263
2023-06-26 11:46:15,5889
2023-06-26 11:46:30,6283
2023-06-26 11:46:45,6814
2023-06-26 11:47:00,7216
2023-06-26 11:47:15,7847
2023-06-26 11:47:30,8162
2023-06-26 11:47:45,8807
2023-06-26 11:48:00,9201
2023-06-26 11:48:15,9552
2023-06-26 11:48:30,9801
2023-06-26 11:48:45,9918
2023-06-26 11:49:00,9918
2023-06-26 11:49:15,10056
2023-06-26 11:49:30,10119
2023-06-26 11:49:45,10162
2023-06-26 11:50:00,10242
2023-06-26 11:50:15,10330
2023-06-26 11:50:30,10334
2023-06-26 11:50:45,10340
2023-06-26 11:51:00,10340
2023-06-26 11:51:15,10341
2023-06-26 11:51:30,10349
2023-06-26 11:51:45,10350
2023-06-26 11:52:00,10350
2023-06-26 11:52:15,10350
2023-06-26 11:52:30,10350
2023-06-26 11:52:45,10350
2023-06-26 11:53:00,10350
2023-06-26 11:53:15,10350
2023-06-26 11:53:30,10350
2023-06-26 11:53:45,10350
2023-06-26 11:54:00,10350
2023-06-26 11:54:15,10350
2023-06-26 11:54:30,10350
2023-06-26 11:54:45,10350
2023-06-26 11:55:00,10350
2023-06-26 11:55:15,10350
2023-06-26 11:55:30,10350
2023-06-26 11:55:45,10350
2023-06-26 11:56:00,10350
2023-06-26 11:56:15,10350
2023-06-26 11:56:30,10350
2023-06-26 11:56:45,10350
2023-06-26 11:57:00,10350
2023-06-26 11:57:15,10350
2023-06-26 11:57:30,10350
2023-06-26 11:57:45,10350
2023-06-26 11:58:00,10350
2023-06-26 11:58:15,10350
2023-06-26 11:58:30,10350
2023-06-26 11:58:45,10350
2023-06-26 11:59:00,10350
2023-06-26 11:59:15,10350
2023-06-26 11:59:30,10350
2023-06-26 11:59:45,10350
2023-06-26 12:00:00,10350
2023-06-26 12:00:15,10350
2023-06-26 12:00:30,10350
2023-06-26 12:00:45,10350
2023-06-26 12:01:00,10350
2023-06-26 12:01:15,10350
2023-06-26 12:01:30,10350
2023-06-26 12:01:45,10350
2023-06-26 12:02:00,10350
2023-06-26 12:02:15,10350
2023-06-26 12:02:30,10350
2023-06-26 12:02:45,10350
2023-06-26 12:03:00,10350
2023-06-26 12:03:15,10350
2023-06-26 12:03:30,10350
2023-06-26 12:03:45,10350
2023-06-26 12:04:00,10350
2023-06-26 12:04:15,10350
2023-06-26 12:04:30,10350
2023-06-26 12:04:45,10350
2023-06-26 12:05:00,10350
2023-06-26 12:05:15,10350
2023-06-26 12:05:30,10350
2023-06-26 12:05:45,10350
2023-06-26 12:06:00,10350
2023-06-26 12:06:15,10350
2023-06-26 12:06:30,10350
2023-06-26 12:06:45,10350
2023-06-26 12:07:00,10350
2023-06-26 12:07:15,10350
2023-06-26 12:07:30,10350
2023-06-26 12:07:45,10350
2023-06-26 12:08:00,10350
2023-06-26 12:08:15,10350
2023-06-26 12:08:30,10350
2023-06-26 12:08:45,10350
2023-06-26 12:09:00,10350
2023-06-26 12:09:15,10350
2023-06-26 12:09:30,10350
2023-06-26 12:09:45,10350
2023-06-26 12:10:00,10350
2023-06-26 12:10:15,10350
2023-06-26 12:10:30,10350
2023-06-26 12:10:45,10350
2023-06-26 12:11:00,10350
2023-06-26 12:11:15,10350
2023-06-26 12:11:30,10350
2023-06-26 12:11:45,10350
2023-06-26 12:12:00,10350
2023-06-26 12:12:15,10350
2023-06-26 12:12:30,10350
2023-06-26 12:12:45,10350
2023-06-26 12:13:00,10350
2023-06-26 12:13:15,10350
2023-06-26 12:13:30,10350
2023-06-26 12:13:45,10350
2023-06-26 12:14:00,10350
2023-06-26 12:14:15,10350
2023-06-26 12:14:30,10350
2023-06-26 12:14:45,10350
2023-06-26 12:15:00,10350
2023-06-26 12:15:15,10350
2023-06-26 12:15:30,10350
2023-06-26 12:15:45,10350
2023-06-26 12:16:00,10350
2023-06-26 12:16:15,10350
2023-06-26 12:16:30,10350
2023-06-26 12:16:45,10350
2023-06-26 12:17:00,10350
2023-06-26 12:17:15,10350
2023-06-26 12:17:30,10350
2023-06-26 12:17:45,10350
2023-06-26 12:18:00,10350
2023-06-26 12:18:15,10350
2023-06-26 12:18:30,10350
2023-06-26 12:18:45,10350

