"Time","emqx-0"
2023-06-26 11:41:15,0
2023-06-26 11:41:30,0
2023-06-26 11:41:45,0
2023-06-26 11:42:00,0
2023-06-26 11:42:15,0
2023-06-26 11:42:30,0
2023-06-26 11:42:45,0
2023-06-26 11:43:00,0
2023-06-26 11:43:15,1323
2023-06-26 11:43:30,5348
2023-06-26 11:43:45,17413
2023-06-26 11:44:00,27436
2023-06-26 11:44:15,53281
2023-06-26 11:44:30,70462
2023-06-26 11:44:45,109957
2023-06-26 11:45:00,133138
2023-06-26 11:45:15,187091
2023-06-26 11:45:30,216590
2023-06-26 11:45:45,284335
2023-06-26 11:46:00,320969
2023-06-26 11:46:15,401601
2023-06-26 11:46:30,445421
2023-06-26 11:46:45,539512
2023-06-26 11:47:00,590061
2023-06-26 11:47:15,697843
2023-06-26 11:47:30,755533
2023-06-26 11:47:45,875663
2023-06-26 11:48:00,940618
2023-06-26 11:48:15,1074027
2023-06-26 11:48:30,1143824
2023-06-26 11:48:45,1286707
2023-06-26 11:49:00,1358426
2023-06-26 11:49:15,1502756
2023-06-26 11:49:30,1575709
2023-06-26 11:49:45,1722098
2023-06-26 11:50:00,1795899
2023-06-26 11:50:15,1944823
2023-06-26 11:50:30,2019440
2023-06-26 11:50:45,2168953
2023-06-26 11:51:00,2243775
2023-06-26 11:51:15,2393284
2023-06-26 11:51:30,2468164
2023-06-26 11:51:45,2617947
2023-06-26 11:52:00,2692719
2023-06-26 11:52:15,2842352
2023-06-26 11:52:30,2917091
2023-06-26 11:52:45,3066365
2023-06-26 11:53:00,3140933
2023-06-26 11:53:15,3290109
2023-06-26 11:53:30,3364666
2023-06-26 11:53:45,3513493
2023-06-26 11:54:00,3587917
2023-06-26 11:54:15,3736648
2023-06-26 11:54:30,3810888
2023-06-26 11:54:45,3959279
2023-06-26 11:55:00,4033511
2023-06-26 11:55:15,4181723
2023-06-26 11:55:30,4255688
2023-06-26 11:55:45,4403698
2023-06-26 11:56:00,4477720
2023-06-26 11:56:15,4625416
2023-06-26 11:56:30,4699232
2023-06-26 11:56:45,4846814
2023-06-26 11:57:00,4920576
2023-06-26 11:57:15,5067867
2023-06-26 11:57:30,5141426
2023-06-26 11:57:45,5288592
2023-06-26 11:58:00,5362166
2023-06-26 11:58:15,5508949
2023-06-26 11:58:30,5582335
2023-06-26 11:58:45,5729122
2023-06-26 11:59:00,5802323
2023-06-26 11:59:15,5948728
2023-06-26 11:59:30,6021850
2023-06-26 11:59:45,6168032
2023-06-26 12:00:00,6240798
2023-06-26 12:00:15,6382299
2023-06-26 12:00:30,6450416
2023-06-26 12:00:45,6581067
2023-06-26 12:01:00,6643068
2023-06-26 12:01:15,6762224
2023-06-26 12:01:30,6818206
2023-06-26 12:01:45,6925742
2023-06-26 12:02:00,6976386
2023-06-26 12:02:15,7072055
2023-06-26 12:02:30,7117252
2023-06-26 12:02:45,7200914
2023-06-26 12:03:00,7240806
2023-06-26 12:03:15,7312751
2023-06-26 12:03:30,7346752
2023-06-26 12:03:45,7407213
2023-06-26 12:04:00,7435238
2023-06-26 12:04:15,7484585
2023-06-26 12:04:30,7506616
2023-06-26 12:04:45,7544912
2023-06-26 12:05:00,7561356
2023-06-26 12:05:15,7591849
2023-06-26 12:05:30,7605203
2023-06-26 12:05:45,7631849
2023-06-26 12:06:00,7645161
2023-06-26 12:06:15,7671823
2023-06-26 12:06:30,7685124
2023-06-26 12:06:45,7711803
2023-06-26 12:07:00,7725120
2023-06-26 12:07:15,7751780
2023-06-26 12:07:30,7765060
2023-06-26 12:07:45,7791722
2023-06-26 12:08:00,7805033
2023-06-26 12:08:15,7831487
2023-06-26 12:08:30,7844071
2023-06-26 12:08:45,7868170
2023-06-26 12:09:00,7880109
2023-06-26 12:09:15,7902573
2023-06-26 12:09:30,7913220
2023-06-26 12:09:45,7934258
2023-06-26 12:10:00,7944084
2023-06-26 12:10:15,7962785
2023-06-26 12:10:30,7971962
2023-06-26 12:10:45,7988844
2023-06-26 12:11:00,7996842
2023-06-26 12:11:15,8012383
2023-06-26 12:11:30,8019426
2023-06-26 12:11:45,8032762
2023-06-26 12:12:00,8039195
2023-06-26 12:12:15,8050487
2023-06-26 12:12:30,8055831
2023-06-26 12:12:45,8065808
2023-06-26 12:13:00,8070019
2023-06-26 12:13:15,8078001
2023-06-26 12:13:30,8081631
2023-06-26 12:13:45,8087416
2023-06-26 12:14:00,8090085
2023-06-26 12:14:15,8094657
2023-06-26 12:14:30,8096168
2023-06-26 12:14:45,8098789
2023-06-26 12:15:00,8099657
2023-06-26 12:15:15,8100000
2023-06-26 12:15:30,8100000
2023-06-26 12:15:45,8100000
2023-06-26 12:16:00,8100000
2023-06-26 12:16:15,8100000
2023-06-26 12:16:30,8100000
2023-06-26 12:16:45,8100000
2023-06-26 12:17:00,8100000
2023-06-26 12:17:15,8100000
2023-06-26 12:17:30,8100000
2023-06-26 12:17:45,8100000
2023-06-26 12:18:00,8100000
2023-06-26 12:18:15,8100000
2023-06-26 12:18:30,8100000
2023-06-26 12:18:45,8100000

