"Time","emqx-0","Used Memory"
2023-06-27 20:34:45,1.89 GB,1.89 GB
2023-06-27 20:35:00,1.89 GB,1.89 GB
2023-06-27 20:35:15,1.89 GB,1.89 GB
2023-06-27 20:35:30,1.89 GB,1.89 GB
2023-06-27 20:35:45,1.89 GB,1.89 GB
2023-06-27 20:36:00,1.92 GB,1.92 GB
2023-06-27 20:36:15,1.96 GB,1.96 GB
2023-06-27 20:36:30,1.97 GB,1.97 GB
2023-06-27 20:36:45,2.02 GB,2.02 GB
2023-06-27 20:37:00,2.06 GB,2.06 GB
2023-06-27 20:37:15,2.12 GB,2.12 GB
2023-06-27 20:37:30,2.16 GB,2.16 GB
2023-06-27 20:37:45,2.25 GB,2.25 GB
2023-06-27 20:38:00,2.29 GB,2.29 GB
2023-06-27 20:38:15,2.31 GB,2.31 GB
2023-06-27 20:38:30,2.34 GB,2.34 GB
2023-06-27 20:38:45,2.37 GB,2.37 GB
2023-06-27 20:39:00,2.39 GB,2.39 GB
2023-06-27 20:39:15,2.44 GB,2.44 GB
2023-06-27 20:39:30,2.47 GB,2.47 GB
2023-06-27 20:39:45,2.51 GB,2.51 GB
2023-06-27 20:40:00,2.55 GB,2.55 GB
2023-06-27 20:40:15,2.61 GB,2.61 GB
2023-06-27 20:40:30,2.62 GB,2.62 GB
2023-06-27 20:40:45,2.66 GB,2.66 GB
2023-06-27 20:41:00,2.68 GB,2.68 GB
2023-06-27 20:41:15,2.69 GB,2.69 GB
2023-06-27 20:41:30,2.74 GB,2.74 GB
2023-06-27 20:41:45,2.83 GB,2.83 GB
2023-06-27 20:42:00,2.85 GB,2.85 GB
2023-06-27 20:42:15,2.89 GB,2.89 GB
2023-06-27 20:42:30,2.90 GB,2.90 GB
2023-06-27 20:42:45,2.91 GB,2.91 GB
2023-06-27 20:43:00,2.94 GB,2.94 GB
2023-06-27 20:43:15,3.00 GB,3.00 GB
2023-06-27 20:43:30,3.03 GB,3.03 GB
2023-06-27 20:43:45,3.03 GB,3.03 GB
2023-06-27 20:44:00,3.03 GB,3.03 GB
2023-06-27 20:44:15,3.04 GB,3.04 GB
2023-06-27 20:44:30,3.04 GB,3.04 GB
2023-06-27 20:44:45,3.02 GB,3.02 GB
2023-06-27 20:45:00,3.04 GB,3.04 GB
2023-06-27 20:45:15,3.01 GB,3.01 GB
2023-06-27 20:45:30,3.01 GB,3.01 GB
2023-06-27 20:45:45,2.98 GB,2.98 GB
2023-06-27 20:46:00,2.99 GB,2.99 GB
2023-06-27 20:46:15,2.98 GB,2.98 GB
2023-06-27 20:46:30,2.98 GB,2.98 GB
2023-06-27 20:46:45,2.97 GB,2.97 GB
2023-06-27 20:47:00,2.96 GB,2.96 GB
2023-06-27 20:47:15,2.78 GB,2.78 GB
2023-06-27 20:47:30,2.84 GB,2.84 GB
2023-06-27 20:47:45,2.85 GB,2.85 GB
2023-06-27 20:48:00,2.88 GB,2.88 GB
2023-06-27 20:48:15,2.92 GB,2.92 GB
2023-06-27 20:48:30,2.93 GB,2.93 GB
2023-06-27 20:48:45,2.96 GB,2.96 GB
2023-06-27 20:49:00,2.96 GB,2.96 GB
2023-06-27 20:49:15,2.96 GB,2.96 GB
2023-06-27 20:49:30,2.96 GB,2.96 GB
2023-06-27 20:49:45,2.97 GB,2.97 GB
2023-06-27 20:50:00,2.96 GB,2.96 GB
2023-06-27 20:50:15,2.96 GB,2.96 GB
2023-06-27 20:50:30,2.96 GB,2.96 GB
2023-06-27 20:50:45,2.95 GB,2.95 GB
2023-06-27 20:51:00,2.95 GB,2.95 GB
2023-06-27 20:51:15,2.96 GB,2.96 GB
