"Time","emqx-0","Total"
2023-06-23 20:16:30,0,0
2023-06-23 20:16:45,0,0
2023-06-23 20:17:00,0,0
2023-06-23 20:17:15,0,0
2023-06-23 20:17:30,0,0
2023-06-23 20:17:45,0,0
2023-06-23 20:18:00,0,0
2023-06-23 20:18:15,0,0
2023-06-23 20:18:30,0,0
2023-06-23 20:18:45,0,0
2023-06-23 20:19:00,0,0
2023-06-23 20:19:15,0,0
2023-06-23 20:19:30,0,0
2023-06-23 20:19:45,21,21
2023-06-23 20:20:00,6288,6288
2023-06-23 20:20:15,11798,11798
2023-06-23 20:20:30,29189,29189
2023-06-23 20:20:45,41371,41371
2023-06-23 20:21:00,72274,72274
2023-06-23 20:21:15,91200,91200
2023-06-23 20:21:30,134520,134520
2023-06-23 20:21:45,160628,160628
2023-06-23 20:22:00,217019,217019
2023-06-23 20:22:15,249319,249319
2023-06-23 20:22:30,319556,319556
2023-06-23 20:22:45,357340,357340
2023-06-23 20:23:00,441023,441023
2023-06-23 20:23:15,485658,485658
2023-06-23 20:23:30,581936,581936
2023-06-23 20:23:45,633502,633502
2023-06-23 20:24:00,743084,743084
2023-06-23 20:24:15,801183,801183
2023-06-23 20:24:30,923541,923541
2023-06-23 20:24:45,989139,989139
2023-06-23 20:25:00,1124403,1124403
2023-06-23 20:25:15,1196615,1196615
2023-06-23 20:25:30,1346351,1346351
2023-06-23 20:25:45,1424950,1424950
2023-06-23 20:26:00,1588356,1588356
2023-06-23 20:26:15,1673344,1673344
2023-06-23 20:26:30,1850605,1850605
2023-06-23 20:26:45,1942032,1942032
2023-06-23 20:27:00,2133101,2133101
2023-06-23 20:27:15,2231386,2231386
2023-06-23 20:27:30,2435789,2435789
2023-06-23 20:27:45,2541521,2541521
2023-06-23 20:28:00,2758693,2758693
2023-06-23 20:28:15,2871272,2871272
2023-06-23 20:28:30,3101478,3101478
2023-06-23 20:28:45,3220262,3220262
2023-06-23 20:29:00,3463979,3463979
2023-06-23 20:29:15,3590039,3590039
2023-06-23 20:29:30,3845429,3845429
2023-06-23 20:29:45,3976458,3976458
2023-06-23 20:30:00,4244882,4244882
2023-06-23 20:30:15,4377846,4377846
2023-06-23 20:30:30,4643745,4643745
2023-06-23 20:30:45,4771978,4771978
2023-06-23 20:31:00,4995377,4995377
2023-06-23 20:31:15,5108819,5108819
2023-06-23 20:33:00,6154522,6154522
2023-06-23 20:33:15,6243948,6243948
2023-06-23 20:33:30,6407608,6407608
2023-06-23 20:33:45,6491441,6491441
2023-06-23 20:34:45,7017085,7017085
2023-06-23 20:35:00,7185027,7185027
2023-06-23 20:35:15,7287725,7287725
2023-06-23 20:35:30,7457325,7457325
2023-06-23 20:35:45,7538065,7538065
2023-06-23 20:37:00,8279451,8279451
2023-06-23 20:37:15,8387977,8387977
2023-06-23 20:37:30,8611078,8611078
2023-06-23 20:37:45,8734659,8734659
2023-06-23 20:39:00,9643302,9643302
2023-06-23 20:39:15,9753617,9753617
2023-06-23 20:39:30,9978130,9978130
2023-06-23 20:39:45,10090871,10090871
2023-06-23 20:40:00,10310636,10310636
2023-06-23 20:40:15,10418296,10418296
2023-06-23 20:40:30,10626112,10626112
2023-06-23 20:40:45,10728029,10728029
2023-06-23 20:41:00,10924627,10924627
2023-06-23 20:41:15,11020310,11020310
2023-06-23 20:41:30,11205389,11205389
2023-06-23 20:41:45,11294964,11294964
2023-06-23 20:42:00,11468517,11468517
2023-06-23 20:42:15,11551872,11551872
2023-06-23 20:42:30,11714055,11714055
2023-06-23 20:42:45,11791445,11791445
2023-06-23 20:43:00,11941691,11941691
2023-06-23 20:43:15,12013319,12013319
2023-06-23 20:43:30,12151475,12151475
2023-06-23 20:43:45,12218130,12218130
2023-06-23 20:44:00,12343836,12343836
2023-06-23 20:44:15,12404566,12404566
2023-06-23 20:44:30,12518800,12518800
2023-06-23 20:44:45,12573540,12573540
2023-06-23 20:45:00,12674923,12674923
2023-06-23 20:45:15,12722443,12722443
2023-06-23 20:45:30,12811296,12811296
2023-06-23 20:45:45,12851954,12851954
2023-06-23 20:46:00,12926884,12926884
2023-06-23 20:46:15,12960814,12960814
2023-06-23 20:46:30,13022904,13022904
2023-06-23 20:46:45,13050422,13050422
2023-06-23 20:47:00,13103467,13103467
2023-06-23 20:47:15,13128246,13128246
2023-06-23 20:47:30,13174944,13174944
2023-06-23 20:47:45,13197902,13197902
2023-06-23 20:48:00,13239146,13239146
2023-06-23 20:48:15,13259115,13259115
2023-06-23 20:48:30,13298951,13298951
2023-06-23 20:48:45,13318243,13318243
2023-06-23 20:49:00,13355689,13355689
2023-06-23 20:49:15,13374319,13374319
2023-06-23 20:49:30,13410301,13410301
2023-06-23 20:49:45,13427605,13427605
2023-06-23 20:50:00,13462170,13462170
2023-06-23 20:50:15,13478869,13478869
2023-06-23 20:50:30,13511082,13511082
2023-06-23 20:50:45,13527064,13527064
2023-06-23 20:51:00,13557773,13557773
2023-06-23 20:51:15,13572455,13572455
2023-06-23 20:51:30,13601613,13601613
2023-06-23 20:51:45,13615619,13615619
2023-06-23 20:52:00,13642404,13642404
2023-06-23 20:52:15,13655708,13655708
2023-06-23 20:52:30,13680930,13680930
2023-06-23 20:52:45,13692936,13692936
2023-06-23 20:53:00,13716718,13716718
2023-06-23 20:53:15,13727981,13727981
2023-06-23 20:53:30,13749403,13749403
2023-06-23 20:53:45,13759979,13759979
2023-06-23 20:54:00,13779635,13779635
2023-06-23 20:54:15,13788970,13788970
2023-06-23 20:54:30,13807341,13807341
2023-06-23 20:54:45,13815870,13815870
2023-06-23 20:55:00,13831924,13831924
2023-06-23 20:55:15,13839843,13839843
2023-06-23 20:55:30,13854229,13854229
2023-06-23 20:55:45,13860895,13860895
2023-06-23 20:56:00,13873940,13873940
2023-06-23 20:56:15,13879797,13879797
2023-06-23 20:56:30,13890511,13890511
2023-06-23 20:56:45,13895739,13895739
2023-06-23 20:57:00,13904662,13904662
2023-06-23 20:57:15,13908640,13908640
2023-06-23 20:57:30,13916186,13916186
2023-06-23 20:57:45,13919220,13919220
2023-06-23 20:58:00,13924563,13924563
2023-06-23 20:58:15,13927019,13927019
2023-06-23 20:58:30,13930378,13930378
2023-06-23 20:58:45,13931712,13931712
2023-06-23 20:59:00,13933928,13933928
2023-06-23 20:59:15,13934302,13934302
2023-06-23 20:59:30,13934312,13934312
2023-06-23 20:59:45,13934312,13934312
2023-06-23 21:00:00,13934312,13934312
2023-06-23 21:00:15,13934312,13934312
2023-06-23 21:00:30,13934312,13934312
2023-06-23 21:00:45,13934312,13934312
2023-06-23 21:01:00,13934312,13934312
2023-06-23 21:01:15,13934312,13934312
2023-06-23 21:01:30,13934312,13934312

