"Time","total","emqx-0"
2023-06-23 20:16:30,0,0
2023-06-23 20:16:45,0,0
2023-06-23 20:17:00,0,0
2023-06-23 20:17:15,0,0
2023-06-23 20:17:30,0,0
2023-06-23 20:17:45,0,0
2023-06-23 20:18:00,0,0
2023-06-23 20:18:15,0,0
2023-06-23 20:18:30,0,0
2023-06-23 20:18:45,4,4
2023-06-23 20:19:00,5,5
2023-06-23 20:19:15,7,7
2023-06-23 20:19:30,9,9
2023-06-23 20:19:45,12,12
2023-06-23 20:20:00,13,13
2023-06-23 20:20:15,16,16
2023-06-23 20:20:30,18,18
2023-06-23 20:20:45,20,20
2023-06-23 20:21:00,22,22
2023-06-23 20:21:15,24,24
2023-06-23 20:21:30,25,25
2023-06-23 20:21:45,29,29
2023-06-23 20:22:00,29,29
2023-06-23 20:22:15,32,32
2023-06-23 20:22:30,34,34
2023-06-23 20:22:45,36,36
2023-06-23 20:23:00,37,37
2023-06-23 20:23:15,41,41
2023-06-23 20:23:30,42,42
2023-06-23 20:23:45,44,44
2023-06-23 20:24:00,46,46
2023-06-23 20:24:15,49,49
2023-06-23 20:24:30,50,50
2023-06-23 20:24:45,53,53
2023-06-23 20:25:00,54,54
2023-06-23 20:25:15,57,57
2023-06-23 20:25:30,59,59
2023-06-23 20:25:45,61,61
2023-06-23 20:26:00,63,63
2023-06-23 20:26:15,66,66
2023-06-23 20:26:30,67,67
2023-06-23 20:26:45,68,68
2023-06-23 20:27:00,71,71
2023-06-23 20:27:15,73,73
2023-06-23 20:27:30,75,75
2023-06-23 20:27:45,77,77
2023-06-23 20:28:00,79,79
2023-06-23 20:28:15,81,81
2023-06-23 20:28:30,83,83
2023-06-23 20:28:45,84,84
2023-06-23 20:29:00,85,85
2023-06-23 20:29:15,86,86
2023-06-23 20:29:30,87,87
2023-06-23 20:29:45,87,87
2023-06-23 20:30:00,89,89
2023-06-23 20:30:15,89,89
2023-06-23 20:30:30,91,91
2023-06-23 20:30:45,91,91
2023-06-23 20:31:00,91,91
2023-06-23 20:31:15,92,92
2023-06-23 20:33:00,96,96
2023-06-23 20:33:15,97,97
2023-06-23 20:33:30,97,97
2023-06-23 20:33:45,96,96
2023-06-23 20:34:45,98,98
2023-06-23 20:35:00,99,99
2023-06-23 20:35:15,99,99
2023-06-23 20:35:30,99,99
2023-06-23 20:35:45,99,99
2023-06-23 20:37:00,100,100
2023-06-23 20:37:15,100,100
2023-06-23 20:37:30,100,100
2023-06-23 20:37:45,100,100
2023-06-23 20:39:00,100,100
2023-06-23 20:39:15,100,100
2023-06-23 20:39:30,100,100
2023-06-23 20:39:45,100,100
2023-06-23 20:40:00,100,100
2023-06-23 20:40:15,100,100
2023-06-23 20:40:30,100,100
2023-06-23 20:40:45,100,100
2023-06-23 20:41:00,100,100
2023-06-23 20:41:15,100,100
2023-06-23 20:41:30,100,100
2023-06-23 20:41:45,100,100
2023-06-23 20:42:00,100,100
2023-06-23 20:42:15,100,100
2023-06-23 20:42:30,100,100
2023-06-23 20:42:45,100,100
2023-06-23 20:43:00,100,100
2023-06-23 20:43:15,100,100
2023-06-23 20:43:30,100,100
2023-06-23 20:43:45,100,100
2023-06-23 20:44:00,100,100
2023-06-23 20:44:15,100,100
2023-06-23 20:44:30,100,100
2023-06-23 20:44:45,100,100
2023-06-23 20:45:00,100,100
2023-06-23 20:45:15,100,100
2023-06-23 20:45:30,100,100
2023-06-23 20:45:45,100,100
2023-06-23 20:46:00,100,100
2023-06-23 20:46:15,100,100
2023-06-23 20:46:30,100,100
2023-06-23 20:46:45,100,100
2023-06-23 20:47:00,100,100
2023-06-23 20:47:15,100,100
2023-06-23 20:47:30,100,100
2023-06-23 20:47:45,100,100
2023-06-23 20:48:00,100,100
2023-06-23 20:48:15,100,100
2023-06-23 20:48:30,100,100
2023-06-23 20:48:45,100,100
2023-06-23 20:49:00,100,100
2023-06-23 20:49:15,100,100
2023-06-23 20:49:30,100,100
2023-06-23 20:49:45,100,100
2023-06-23 20:50:00,100,100
2023-06-23 20:50:15,100,100
2023-06-23 20:50:30,100,100
2023-06-23 20:50:45,100,100
2023-06-23 20:51:00,100,100
2023-06-23 20:51:15,100,100
2023-06-23 20:51:30,100,100
2023-06-23 20:51:45,100,100
2023-06-23 20:52:00,100,100
2023-06-23 20:52:15,100,100
2023-06-23 20:52:30,100,100
2023-06-23 20:52:45,100,100
2023-06-23 20:53:00,100,100
2023-06-23 20:53:15,100,100
2023-06-23 20:53:30,100,100
2023-06-23 20:53:45,100,100
2023-06-23 20:54:00,100,100
2023-06-23 20:54:15,100,100
2023-06-23 20:54:30,100,100
2023-06-23 20:54:45,100,100
2023-06-23 20:55:00,100,100
2023-06-23 20:55:15,100,100
2023-06-23 20:55:30,100,100
2023-06-23 20:55:45,100,100
2023-06-23 20:56:00,100,100
2023-06-23 20:56:15,100,100
2023-06-23 20:56:30,100,100
2023-06-23 20:56:45,100,100
2023-06-23 20:57:00,100,100
2023-06-23 20:57:15,100,100
2023-06-23 20:57:30,100,100
2023-06-23 20:57:45,100,100
2023-06-23 20:58:00,100,100
2023-06-23 20:58:15,100,100
2023-06-23 20:58:30,100,100
2023-06-23 20:58:45,100,100
2023-06-23 20:59:00,100,100
2023-06-23 20:59:15,100,100
2023-06-23 20:59:30,100,100
2023-06-23 20:59:45,100,100
2023-06-23 21:00:00,100,100
2023-06-23 21:00:15,100,100
2023-06-23 21:00:30,100,100
2023-06-23 21:00:45,100,100
2023-06-23 21:01:00,100,100
2023-06-23 21:01:15,100,100
2023-06-23 21:01:30,100,100

