"Time","emqx-0","emqx-1","Used Memory"
2023-06-27 18:34:00,1.88 GB,2.51 GB,4.39 GB
2023-06-27 18:34:15,1.88 GB,2.51 GB,4.40 GB
2023-06-27 18:34:30,1.88 GB,2.51 GB,4.39 GB
2023-06-27 18:34:45,1.88 GB,2.51 GB,4.40 GB
2023-06-27 18:35:00,1.88 GB,2.51 GB,4.39 GB
2023-06-27 18:35:15,1.89 GB,2.52 GB,4.40 GB
2023-06-27 18:35:30,1.90 GB,2.52 GB,4.42 GB
2023-06-27 18:35:45,1.92 GB,2.55 GB,4.47 GB
2023-06-27 18:36:00,1.94 GB,2.56 GB,4.50 GB
2023-06-27 18:36:15,1.96 GB,2.60 GB,4.56 GB
2023-06-27 18:36:30,1.97 GB,2.62 GB,4.59 GB
2023-06-27 18:36:45,1.99 GB,2.64 GB,4.62 GB
2023-06-27 18:37:00,2.01 GB,2.66 GB,4.66 GB
2023-06-27 18:37:15,2.02 GB,2.66 GB,4.68 GB
2023-06-27 18:37:30,2.03 GB,2.67 GB,4.70 GB
2023-06-27 18:37:45,2.06 GB,2.70 GB,4.75 GB
2023-06-27 18:38:00,2.09 GB,2.72 GB,4.80 GB
2023-06-27 18:38:15,2.09 GB,2.77 GB,4.86 GB
2023-06-27 18:38:30,2.12 GB,2.78 GB,4.90 GB
2023-06-27 18:38:45,2.13 GB,2.82 GB,4.95 GB
2023-06-27 18:39:00,2.20 GB,2.83 GB,5.03 GB
2023-06-27 18:39:15,2.21 GB,2.85 GB,5.06 GB
2023-06-27 18:39:30,2.23 GB,2.87 GB,5.11 GB
2023-06-27 18:39:45,2.26 GB,2.89 GB,5.15 GB
2023-06-27 18:40:00,2.27 GB,2.90 GB,5.17 GB
2023-06-27 18:40:15,2.28 GB,2.91 GB,5.19 GB
2023-06-27 18:40:30,2.30 GB,2.91 GB,5.21 GB
2023-06-27 18:40:45,2.31 GB,2.95 GB,5.27 GB
2023-06-27 18:41:00,2.33 GB,2.95 GB,5.28 GB
2023-06-27 18:41:15,2.33 GB,2.98 GB,5.32 GB
2023-06-27 18:41:30,2.34 GB,2.99 GB,5.33 GB
2023-06-27 18:41:45,2.34 GB,3.00 GB,5.34 GB
2023-06-27 18:42:00,2.36 GB,3.01 GB,5.37 GB
2023-06-27 18:42:15,2.37 GB,3.05 GB,5.42 GB
2023-06-27 18:42:30,2.40 GB,3.06 GB,5.46 GB
2023-06-27 18:42:45,2.42 GB,3.12 GB,5.54 GB
2023-06-27 18:43:00,2.42 GB,3.13 GB,5.55 GB
2023-06-27 18:43:15,2.44 GB,3.13 GB,5.57 GB
2023-06-27 18:43:30,2.43 GB,3.13 GB,5.56 GB
2023-06-27 18:43:45,2.45 GB,3.14 GB,5.58 GB
2023-06-27 18:44:00,2.45 GB,3.13 GB,5.58 GB
2023-06-27 18:44:15,2.45 GB,3.14 GB,5.59 GB
2023-06-27 18:44:30,2.45 GB,3.15 GB,5.60 GB
2023-06-27 18:44:45,2.46 GB,3.15 GB,5.61 GB
2023-06-27 18:45:00,2.44 GB,3.14 GB,5.59 GB
2023-06-27 18:45:15,2.44 GB,3.13 GB,5.56 GB
2023-06-27 18:45:30,2.44 GB,3.13 GB,5.57 GB
2023-06-27 18:45:45,2.45 GB,3.15 GB,5.59 GB
2023-06-27 18:46:00,2.43 GB,3.13 GB,5.56 GB
2023-06-27 18:46:15,2.43 GB,3.11 GB,5.54 GB
2023-06-27 18:46:30,2.43 GB,3.10 GB,5.53 GB
2023-06-27 18:46:45,2.39 GB,3.02 GB,5.40 GB
2023-06-27 18:47:00,2.42 GB,3.02 GB,5.44 GB
2023-06-27 18:47:15,2.44 GB,3.05 GB,5.48 GB
2023-06-27 18:47:30,2.48 GB,3.05 GB,5.54 GB
2023-06-27 18:47:45,2.49 GB,3.07 GB,5.56 GB
2023-06-27 18:48:00,2.51 GB,3.07 GB,5.59 GB
2023-06-27 18:48:15,2.51 GB,3.07 GB,5.58 GB
2023-06-27 18:48:30,2.52 GB,3.08 GB,5.60 GB
2023-06-27 18:48:45,2.51 GB,3.09 GB,5.59 GB
2023-06-27 18:49:00,2.51 GB,3.07 GB,5.59 GB
2023-06-27 18:49:15,2.50 GB,3.08 GB,5.58 GB
2023-06-27 18:49:30,2.51 GB,3.08 GB,5.60 GB
2023-06-27 18:49:45,2.51 GB,3.08 GB,5.59 GB
2023-06-27 18:50:00,2.51 GB,3.09 GB,5.59 GB
2023-06-27 18:50:15,2.50 GB,3.09 GB,5.59 GB
2023-06-27 18:50:30,2.47 GB,3.08 GB,5.55 GB
2023-06-27 18:50:45,2.47 GB,3.08 GB,5.55 GB
2023-06-27 18:51:00,2.46 GB,3.08 GB,5.53 GB
2023-06-27 18:51:15,2.46 GB,3.06 GB,5.53 GB
2023-06-27 18:51:30,2.44 GB,3.07 GB,5.51 GB
2023-06-27 18:51:45,2.44 GB,3.06 GB,5.50 GB
2023-06-27 18:52:00,2.43 GB,3.07 GB,5.50 GB
2023-06-27 18:52:15,2.43 GB,3.07 GB,5.50 GB
2023-06-27 18:52:30,2.44 GB,3.07 GB,5.51 GB
2023-06-27 18:52:45,2.44 GB,3.06 GB,5.49 GB
2023-06-27 18:53:00,2.44 GB,3.06 GB,5.50 GB
2023-06-27 18:53:15,2.43 GB,3.06 GB,5.49 GB
2023-06-27 18:53:30,2.43 GB,3.06 GB,5.49 GB
2023-06-27 18:53:45,2.43 GB,3.05 GB,5.48 GB
2023-06-27 18:54:00,2.44 GB,3.06 GB,5.49 GB
2023-06-27 18:54:15,2.44 GB,3.06 GB,5.50 GB
2023-06-27 18:54:30,2.42 GB,3.06 GB,5.48 GB
2023-06-27 18:54:45,2.43 GB,3.05 GB,5.48 GB
2023-06-27 18:55:00,2.42 GB,3.06 GB,5.48 GB
2023-06-27 18:55:15,2.41 GB,3.06 GB,5.48 GB
2023-06-27 18:55:30,2.42 GB,3.05 GB,5.47 GB
2023-06-27 18:55:45,2.42 GB,3.07 GB,5.49 GB
2023-06-27 18:56:00,2.42 GB,3.06 GB,5.47 GB
2023-06-27 18:56:15,2.42 GB,3.06 GB,5.48 GB
2023-06-27 18:56:30,2.42 GB,3.06 GB,5.48 GB
2023-06-27 18:56:45,2.42 GB,3.07 GB,5.48 GB
2023-06-27 18:57:00,2.43 GB,3.07 GB,5.49 GB
2023-06-27 18:57:15,2.43 GB,3.07 GB,5.50 GB
2023-06-27 18:57:30,2.43 GB,3.07 GB,5.50 GB
2023-06-27 18:57:45,2.43 GB,3.08 GB,5.51 GB
2023-06-27 18:58:00,2.43 GB,3.07 GB,5.50 GB
2023-06-27 18:58:15,2.43 GB,3.07 GB,5.50 GB
2023-06-27 18:58:30,2.44 GB,3.07 GB,5.51 GB
2023-06-27 18:58:45,2.43 GB,3.08 GB,5.50 GB
2023-06-27 18:59:00,2.43 GB,3.07 GB,5.50 GB
2023-06-27 18:59:15,2.43 GB,3.08 GB,5.51 GB
2023-06-27 18:59:30,2.44 GB,3.07 GB,5.51 GB
2023-06-27 18:59:45,2.44 GB,3.08 GB,5.52 GB
2023-06-27 19:00:00,2.44 GB,3.08 GB,5.52 GB
2023-06-27 19:00:15,2.44 GB,3.07 GB,5.51 GB
2023-06-27 19:00:30,2.44 GB,3.08 GB,5.52 GB
2023-06-27 19:00:45,2.44 GB,3.08 GB,5.52 GB
2023-06-27 19:01:00,2.44 GB,3.07 GB,5.51 GB
2023-06-27 19:01:15,2.44 GB,3.08 GB,5.52 GB
2023-06-27 19:01:30,2.44 GB,3.08 GB,5.52 GB
2023-06-27 19:01:45,2.23 GB,2.86 GB,5.09 GB
2023-06-27 19:02:00,2.29 GB,2.88 GB,5.17 GB
2023-06-27 19:02:15,2.31 GB,2.97 GB,5.28 GB
2023-06-27 19:02:30,2.33 GB,2.98 GB,5.30 GB
2023-06-27 19:02:45,2.34 GB,3.00 GB,5.33 GB
2023-06-27 19:03:00,2.36 GB,3.01 GB,5.37 GB
2023-06-27 19:03:15,2.36 GB,3.03 GB,5.40 GB
2023-06-27 19:03:30,2.37 GB,3.04 GB,5.41 GB
2023-06-27 19:03:45,2.37 GB,3.06 GB,5.42 GB
2023-06-27 19:04:00,2.39 GB,3.06 GB,5.45 GB
2023-06-27 19:04:15,2.39 GB,3.07 GB,5.45 GB
2023-06-27 19:04:30,2.39 GB,3.07 GB,5.47 GB
2023-06-27 19:04:45,2.39 GB,3.07 GB,5.46 GB
2023-06-27 19:05:00,2.39 GB,3.07 GB,5.46 GB
2023-06-27 19:05:15,2.39 GB,3.07 GB,5.46 GB
2023-06-27 19:05:30,2.40 GB,3.07 GB,5.47 GB
2023-06-27 19:05:45,2.39 GB,3.07 GB,5.46 GB
2023-06-27 19:06:00,2.39 GB,3.07 GB,5.46 GB
2023-06-27 19:06:15,2.39 GB,3.08 GB,5.47 GB
2023-06-27 19:06:30,2.39 GB,3.08 GB,5.47 GB
2023-06-27 19:06:45,2.39 GB,3.08 GB,5.46 GB
2023-06-27 19:07:00,2.39 GB,3.08 GB,5.47 GB
2023-06-27 19:07:15,2.38 GB,3.07 GB,5.45 GB
2023-06-27 19:07:30,2.38 GB,3.07 GB,5.46 GB
2023-06-27 19:07:45,2.39 GB,3.08 GB,5.47 GB
2023-06-27 19:08:00,2.40 GB,3.08 GB,5.48 GB
2023-06-27 19:08:15,2.39 GB,3.08 GB,5.47 GB
2023-06-27 19:08:30,2.40 GB,3.09 GB,5.49 GB
2023-06-27 19:08:45,2.40 GB,3.08 GB,5.48 GB
2023-06-27 19:09:00,2.40 GB,3.08 GB,5.48 GB
2023-06-27 19:09:15,2.41 GB,3.08 GB,5.49 GB
2023-06-27 19:09:30,2.40 GB,3.08 GB,5.49 GB
2023-06-27 19:09:45,2.41 GB,3.08 GB,5.48 GB
2023-06-27 19:10:00,2.40 GB,3.08 GB,5.48 GB
2023-06-27 19:10:15,2.40 GB,3.07 GB,5.47 GB
2023-06-27 19:10:30,2.40 GB,3.07 GB,5.48 GB
2023-06-27 19:10:45,2.40 GB,3.08 GB,5.48 GB
2023-06-27 19:11:00,2.40 GB,3.08 GB,5.48 GB
2023-06-27 19:11:15,2.40 GB,3.08 GB,5.48 GB

