"Time","emqx-1","emqx-0"
2023-06-23 16:51:15,0,0
2023-06-23 16:51:30,0,0
2023-06-23 16:51:45,0,0
2023-06-23 16:52:00,0,0
2023-06-23 16:52:15,0,0
2023-06-23 16:52:30,0,0
2023-06-23 16:52:45,0,0
2023-06-23 16:53:00,0,0
2023-06-23 16:53:15,0,5
2023-06-23 16:53:30,0,5
2023-06-23 16:53:45,0,7
2023-06-23 16:54:00,2,7
2023-06-23 16:54:15,4,84
2023-06-23 16:54:30,256,210
2023-06-23 16:54:45,360,442
2023-06-23 16:55:00,718,610
2023-06-23 16:55:15,864,918
2023-06-23 16:55:30,1208,1101
2023-06-23 16:55:45,1306,1379
2023-06-23 16:56:00,1684,1589
2023-06-23 16:56:15,1808,1854
2023-06-23 16:56:30,2145,2036
2023-06-23 16:56:45,2288,2381
2023-06-23 16:57:00,2625,2535
2023-06-23 16:57:15,2753,2854
2023-06-23 16:57:30,3142,3047
2023-06-23 16:57:45,3244,3360
2023-06-23 16:58:00,3579,3562
2023-06-23 16:58:15,3735,3894
2023-06-23 16:58:30,4071,4062
2023-06-23 16:58:45,4194,4368
2023-06-23 16:59:00,4603,4577
2023-06-23 16:59:15,4699,4835
2023-06-23 16:59:30,5065,5041
2023-06-23 16:59:45,5206,5367
2023-06-23 17:00:00,5511,5562
2023-06-23 17:00:15,5660,5876
2023-06-23 17:00:30,6011,6095
2023-06-23 17:00:45,6135,6366
2023-06-23 17:01:00,6497,6553
2023-06-23 17:01:15,6643,6882
2023-06-23 17:01:30,6950,7027
2023-06-23 17:01:45,7113,7357
2023-06-23 17:02:00,7471,7530
2023-06-23 17:02:15,7578,7806
2023-06-23 17:02:30,7961,8008
2023-06-23 17:02:45,8106,8316
2023-06-23 17:03:00,8419,8471
2023-06-23 17:03:15,8583,8804
2023-06-23 17:03:30,8946,8975
2023-06-23 17:03:45,9076,9272
2023-06-23 17:04:00,9433,9469
2023-06-23 17:04:15,9537,9675
2023-06-23 17:04:30,9679,9748
2023-06-23 17:04:45,9712,9836
2023-06-23 17:05:00,9758,9848
2023-06-23 17:05:15,9775,9898
2023-06-23 17:05:30,9854,9942
2023-06-23 17:05:45,9867,9956
2023-06-23 17:06:00,9901,9985
2023-06-23 17:06:15,9944,10063
2023-06-23 17:06:30,9970,10064
2023-06-23 17:06:45,9991,10117
2023-06-23 17:07:00,10071,10162
2023-06-23 17:07:15,10072,10174
2023-06-23 17:07:30,10124,10206
2023-06-23 17:07:45,10172,10264
2023-06-23 17:08:00,10192,10265
2023-06-23 17:08:15,10221,10323
2023-06-23 17:08:30,10303,10355
2023-06-23 17:08:45,10308,10359
2023-06-23 17:09:00,10309,10359
2023-06-23 17:09:15,10309,10359
2023-06-23 17:09:30,10310,10361
2023-06-23 17:09:45,10314,10365
2023-06-23 17:10:00,10314,10365
2023-06-23 17:10:15,10314,10365
2023-06-23 17:10:30,10320,10369
2023-06-23 17:10:45,10320,10370
2023-06-23 17:11:00,10320,10370
2023-06-23 17:11:15,10320,10372
2023-06-23 17:11:30,10326,10374
2023-06-23 17:11:45,10326,10374
2023-06-23 17:12:00,10326,10374
2023-06-23 17:12:15,10326,10374
2023-06-23 17:12:30,10326,10374
2023-06-23 17:12:45,10326,10374
2023-06-23 17:13:00,10326,10374
2023-06-23 17:13:15,10326,10374
2023-06-23 17:13:30,10326,10374
2023-06-23 17:13:45,10326,10374
2023-06-23 17:14:00,10326,10374
2023-06-23 17:14:15,10326,10374
2023-06-23 17:14:30,10326,10374
2023-06-23 17:14:45,10326,10374
2023-06-23 17:15:00,10326,10374
2023-06-23 17:15:15,10326,10374
2023-06-23 17:15:30,10326,10374
2023-06-23 17:15:45,10326,10374
2023-06-23 17:16:00,10326,10374
2023-06-23 17:16:15,10326,10374
2023-06-23 17:16:30,10326,10374
2023-06-23 17:16:45,10326,10374
2023-06-23 17:17:00,10326,10374
2023-06-23 17:17:15,10326,10374
2023-06-23 17:17:30,10326,10374
2023-06-23 17:17:45,10326,10374
2023-06-23 17:18:00,10326,10374
2023-06-23 17:18:15,10326,10374
2023-06-23 17:18:30,10326,10374
2023-06-23 17:18:45,10326,10374
2023-06-23 17:19:00,10326,10374
2023-06-23 17:19:15,10326,10374
2023-06-23 17:19:30,10326,10374
2023-06-23 17:19:45,10326,10374
2023-06-23 17:20:00,10326,10374
2023-06-23 17:20:15,10326,10374
2023-06-23 17:20:30,10326,10374
2023-06-23 17:20:45,10326,10374
2023-06-23 17:21:00,10326,10374
2023-06-23 17:21:15,10326,10374
2023-06-23 17:21:30,10326,10374
2023-06-23 17:21:45,10326,10374
2023-06-23 17:22:00,10326,10374
2023-06-23 17:22:15,10326,10374
2023-06-23 17:22:30,10326,10374
2023-06-23 17:22:45,10326,10374
2023-06-23 17:23:00,10326,10374
2023-06-23 17:23:15,10326,10374
2023-06-23 17:23:30,10326,10374
2023-06-23 17:23:45,10326,10374
2023-06-23 17:24:00,10326,10374
2023-06-23 17:24:15,10326,10374
2023-06-23 17:24:30,10326,10374
2023-06-23 17:24:45,10326,10374
2023-06-23 17:25:00,10326,10374
2023-06-23 17:25:15,10326,10374
2023-06-23 17:25:30,10326,10374
2023-06-23 17:25:45,10326,10374
2023-06-23 17:26:00,10326,10374
2023-06-23 17:26:15,10326,10374
2023-06-23 17:26:30,10326,10374
2023-06-23 17:26:45,10326,10374
2023-06-23 17:27:00,10326,10374
2023-06-23 17:27:15,10326,10374
2023-06-23 17:27:30,10326,10374
2023-06-23 17:27:45,10326,10374
2023-06-23 17:28:00,10326,10374
2023-06-23 17:28:15,10326,10374
2023-06-23 17:28:30,10326,10374
2023-06-23 17:28:45,10326,10374
2023-06-23 17:29:00,10326,10374
2023-06-23 17:29:15,10326,10374
2023-06-23 17:29:30,10326,10374
2023-06-23 17:29:45,10326,10374
2023-06-23 17:30:00,10326,10374
2023-06-23 17:30:15,10326,10374
2023-06-23 17:30:30,10326,10374
2023-06-23 17:30:45,10326,10374
2023-06-23 17:31:00,10326,10374
2023-06-23 17:31:15,10326,10374
2023-06-23 17:31:30,10326,10374
2023-06-23 17:31:45,10326,10374
2023-06-23 17:32:00,10326,10374
2023-06-23 17:32:15,10326,10374
2023-06-23 17:32:30,10326,10374
2023-06-23 17:32:45,10326,10374
2023-06-23 17:33:00,10326,10374
2023-06-23 17:33:15,10326,10374

