"Time","emqx-1","emqx-0","Total"
2023-06-23 16:51:15,0,0,0
2023-06-23 16:51:30,0,0,0
2023-06-23 16:51:45,0,0,0
2023-06-23 16:52:00,0,0,0
2023-06-23 16:52:15,0,0,0
2023-06-23 16:52:30,0,0,0
2023-06-23 16:52:45,0,0,0
2023-06-23 16:53:00,0,0,0
2023-06-23 16:53:15,0,0,0
2023-06-23 16:53:30,0,0,0
2023-06-23 16:53:45,0,0,0
2023-06-23 16:54:00,0,0,0
2023-06-23 16:54:15,0,772,772
2023-06-23 16:54:30,0,4484,4484
2023-06-23 16:54:45,0,15806,15806
2023-06-23 16:55:00,2138,23564,25702
2023-06-23 16:55:15,4733,42787,47520
2023-06-23 16:55:30,12251,54684,66935
2023-06-23 16:55:45,16752,83578,100330
2023-06-23 16:56:00,29518,98765,128283
2023-06-23 16:56:15,38176,133689,171865
2023-06-23 16:56:30,58095,152168,210263
2023-06-23 16:56:45,69603,194702,264305
2023-06-23 16:57:00,93779,218475,312254
2023-06-23 16:57:15,106785,269903,376688
2023-06-23 16:57:30,137763,297252,435015
2023-06-23 16:57:45,154601,354772,509373
2023-06-23 16:58:00,192926,385238,578164
2023-06-23 16:58:15,212560,452051,664611
2023-06-23 16:58:30,252677,489167,741844
2023-06-23 16:58:45,273437,565895,839332
2023-06-23 16:59:00,321199,605522,926721
2023-06-23 16:59:15,347266,686836,1034102
2023-06-23 16:59:30,402455,729310,1131765
2023-06-23 16:59:45,431353,819244,1250597
2023-06-23 17:00:00,490391,866885,1357276
2023-06-23 17:00:15,521459,965990,1487449
2023-06-23 17:00:30,585528,1017797,1603325
2023-06-23 17:00:45,619817,1125085,1744902
2023-06-23 17:01:00,689181,1180963,1870144
2023-06-23 17:01:15,726264,1295943,2022207
2023-06-23 17:01:30,802924,1355176,2158100
2023-06-23 17:01:45,841923,1478954,2320877
2023-06-23 17:02:00,923243,1543043,2466286
2023-06-23 17:02:15,965417,1673301,2638718
2023-06-23 17:02:30,1055232,1739599,2794831
2023-06-23 17:02:45,1102841,1872807,2975648
2023-06-23 17:03:00,1202840,1940854,3143694
2023-06-23 17:03:15,1254580,2078375,3332955
2023-06-23 17:03:30,1364018,2148552,3512570
2023-06-23 17:03:45,1420473,2290580,3711053
2023-06-23 17:04:00,1536231,2364217,3900448
2023-06-23 17:04:15,1595872,2514056,4109928
2023-06-23 17:04:30,1717847,2589407,4307254
2023-06-23 17:04:45,1780356,2741305,4521661
2023-06-23 17:05:00,1905301,2818201,4723502
2023-06-23 17:05:15,1967943,2975368,4943311
2023-06-23 17:05:30,2092749,3054864,5147613
2023-06-23 17:05:45,2155283,3214591,5369874
2023-06-23 17:06:00,2280316,3294664,5574980
2023-06-23 17:06:15,2343586,3454740,5798326
2023-06-23 17:06:30,2470910,3534800,6005710
2023-06-23 17:06:45,2534648,3694616,6229264
2023-06-23 17:07:00,2662010,3775558,6437568
2023-06-23 17:07:15,2725805,3938215,6664020
2023-06-23 17:07:30,2853113,4019816,6872929
2023-06-23 17:07:45,2916943,4184624,7101567
2023-06-23 17:08:00,3044392,4267513,7311905
2023-06-23 17:08:15,3108236,4433313,7541549
2023-06-23 17:08:30,3235829,4517055,7752884
2023-06-23 17:08:45,3299641,4684469,7984110
2023-06-23 17:09:00,3426716,4768701,8195417
2023-06-23 17:09:15,3490303,4936942,8427245
2023-06-23 17:09:30,3617472,5020772,8638244
2023-06-23 17:09:45,3680781,5188862,8869643
2023-06-23 17:10:00,3808208,5272940,9081148
2023-06-23 17:10:15,3871963,5440911,9312874
2023-06-23 17:10:30,3999481,5525049,9524530
2023-06-23 17:10:45,4063257,5692735,9755992
2023-06-23 17:11:00,4190509,5776930,9967439
2023-06-23 17:11:15,4254110,5940886,10194996
2023-06-23 17:11:30,4381241,6020557,10401798
2023-06-23 17:11:45,4445062,6175079,10620141
2023-06-23 17:12:00,4569391,6250627,10820018
2023-06-23 17:12:15,4630707,6398354,11029061
2023-06-23 17:12:30,4751852,6469614,11221466
2023-06-23 17:12:45,4810848,6610309,11421157
2023-06-23 17:13:00,4925911,6679489,11605400
2023-06-23 17:13:15,4982300,6813539,11795839
2023-06-23 17:13:30,5093555,6879050,11972605
2023-06-23 17:13:45,5149007,7002109,12151116
2023-06-23 17:14:00,5259654,7061817,12321471
2023-06-23 17:14:15,5312922,7177842,12490764
2023-06-23 17:14:30,5417555,7234478,12652033
2023-06-23 17:14:45,5468291,7344264,12812555
2023-06-23 17:15:00,5567188,7397707,12964895
2023-06-23 17:15:15,5616141,7498978,13115119
2023-06-23 17:15:30,5712651,7547370,13260021
2023-06-23 17:15:45,5759701,7641877,13401578
2023-06-23 17:16:00,5848651,7688124,13536775
2023-06-23 17:16:15,5892341,7776845,13669186
2023-06-23 17:16:30,5976345,7819471,13795816
