"Time","emqx-1","emqx-0"
2023-06-23 16:51:15,0,0
2023-06-23 16:51:30,0,0
2023-06-23 16:51:45,0,0
2023-06-23 16:52:00,0,0
2023-06-23 16:52:15,0,0
2023-06-23 16:52:30,0,0
2023-06-23 16:52:45,0,0
2023-06-23 16:53:00,0,0
2023-06-23 16:53:15,0,10
2023-06-23 16:53:30,0,10
2023-06-23 16:53:45,0,19
2023-06-23 16:54:00,4,19
2023-06-23 16:54:15,8,1344
2023-06-23 16:54:30,3046,7379
2023-06-23 16:54:45,5889,25414
2023-06-23 16:55:00,17509,38205
2023-06-23 16:55:15,26830,70385
2023-06-23 16:55:30,52117,90645
2023-06-23 16:55:45,67117,139818
2023-06-23 16:56:00,104183,166785
2023-06-23 16:56:15,127055,229819
2023-06-23 16:56:30,178430,263928
2023-06-23 16:56:45,207459,341975
2023-06-23 16:57:00,270293,385336
2023-06-23 16:57:15,304131,479344
2023-06-23 16:57:30,381662,530241
2023-06-23 16:57:45,422778,637852
2023-06-23 16:58:00,514657,695627
2023-06-23 16:58:15,562256,820254
2023-06-23 16:58:30,663920,888561
2023-06-23 16:58:45,716279,1029616
2023-06-23 16:59:00,833053,1104393
2023-06-23 16:59:15,894788,1257873
2023-06-23 16:59:30,1025841,1338954
2023-06-23 16:59:45,1093821,1509050
2023-06-23 17:00:00,1235471,1599577
2023-06-23 17:00:15,1308812,1787379
2023-06-23 17:00:30,1462052,1885706
2023-06-23 17:00:45,1542226,2089798
2023-06-23 17:01:00,1707937,2196138
2023-06-23 17:01:15,1794802,2414740
2023-06-23 17:01:30,1975707,2527886
2023-06-23 17:01:45,2067962,2762365
2023-06-23 17:02:00,2261506,2884373
2023-06-23 17:02:15,2360169,3132395
2023-06-23 17:02:30,2569261,3260403
2023-06-23 17:02:45,2677279,3518548
2023-06-23 17:03:00,2903675,3651549
2023-06-23 17:03:15,3019088,3920420
2023-06-23 17:03:30,3262120,4059728
2023-06-23 17:03:45,3385727,4340769
2023-06-23 17:04:00,3640615,4487001
2023-06-23 17:04:15,3770879,4783469
2023-06-23 17:04:30,4038028,4933885
2023-06-23 17:04:45,4173140,5235939
2023-06-23 17:05:00,4445859,5389151
2023-06-23 17:05:15,4582880,5699319
2023-06-23 17:05:30,4858443,5856522
2023-06-23 17:05:45,4995752,6170192
2023-06-23 17:06:00,5272010,6328340
2023-06-23 17:06:15,5410528,6644291
2023-06-23 17:06:30,5690307,6802896
2023-06-23 17:06:45,5829406,7118190
2023-06-23 17:07:00,6110180,7278453
2023-06-23 17:07:15,6250080,7598643
2023-06-23 17:07:30,6531067,7759773
2023-06-23 17:07:45,6671409,8083090
2023-06-23 17:08:00,6954316,8246367
2023-06-23 17:08:15,7095141,8571265
2023-06-23 17:08:30,7379333,8735192
2023-06-23 17:08:45,7520863,9062050
2023-06-23 17:09:00,7804777,9227094
2023-06-23 17:09:15,7945688,9555311
2023-06-23 17:09:30,8229297,9719547
2023-06-23 17:09:45,8369889,10047843
2023-06-23 17:10:00,8654139,10212543
2023-06-23 17:10:15,8795433,10540175
2023-06-23 17:10:30,9080026,10705076
2023-06-23 17:10:45,9221504,11032596
2023-06-23 17:11:00,9505369,11197473
2023-06-23 17:11:15,9645770,11519117
2023-06-23 17:11:30,9925625,11677330
2023-06-23 17:11:45,10063944,11984814
2023-06-23 17:12:00,10334923,12136032
2023-06-23 17:12:15,10467321,12431490
2023-06-23 17:12:30,10729334,12575656
2023-06-23 17:12:45,10856204,12857617
2023-06-23 17:13:00,11106417,12996664
2023-06-23 17:13:15,11227977,13265692
2023-06-23 17:13:30,11468903,13398307
2023-06-23 17:13:45,11586188,13649637
2023-06-23 17:14:00,11820375,13773219
2023-06-23 17:14:15,11932655,14011509
2023-06-23 17:14:30,12155068,14128374
2023-06-23 17:14:45,12262151,14353556
2023-06-23 17:15:00,12472684,14464296
2023-06-23 17:15:15,12575146,14675121
2023-06-23 17:15:30,12776579,14777394
2023-06-23 17:15:45,12873899,14975390
2023-06-23 17:16:00,13061813,15072488
2023-06-23 17:16:15,13152748,15258250
2023-06-23 17:16:30,13330086,15347992
2023-06-23 17:16:45,13416144,15518952
2023-06-23 17:17:00,13585263,15601117
2023-06-23 17:17:15,13666391,15756154
2023-06-23 17:17:30,13826825,15830916
2023-06-23 17:17:45,13903278,15971017
2023-06-23 17:18:00,14054483,16039013
2023-06-23 17:18:15,14124362,16166998
2023-06-23 17:18:30,14262451,16229995
2023-06-23 17:18:45,14326753,16346311
2023-06-23 17:19:00,14451801,16403232
2023-06-23 17:19:15,14509484,16508899
2023-06-23 17:19:30,14620129,16559641
2023-06-23 17:19:45,14670349,16652871
2023-06-23 17:20:00,14765061,16697150
2023-06-23 17:20:15,14807714,16779753
2023-06-23 17:20:30,14884163,16818661
2023-06-23 17:20:45,14918771,16889920
2023-06-23 17:21:00,14984104,16921978
2023-06-23 17:21:15,15013431,16982313
2023-06-23 17:21:30,15070064,17012207
2023-06-23 17:21:45,15095282,17069632
2023-06-23 17:22:00,15145042,17097293
2023-06-23 17:22:15,15168093,17148233
2023-06-23 17:22:30,15214297,17174035
2023-06-23 17:22:45,15235416,17223910
2023-06-23 17:23:00,15279490,17249318
2023-06-23 17:23:15,15300229,17296672
2023-06-23 17:23:30,15343067,17320254
2023-06-23 17:23:45,15363410,17365978
2023-06-23 17:24:00,15403829,17389158
2023-06-23 17:24:15,15422236,17433747
2023-06-23 17:24:30,15460755,17456442
2023-06-23 17:24:45,15478647,17498319
2023-06-23 17:25:00,15515793,17519422
2023-06-23 17:25:15,15533129,17559972
2023-06-23 17:25:30,15567390,17580582
2023-06-23 17:25:45,15582983,17620128
2023-06-23 17:26:00,15615310,17640345
2023-06-23 17:26:15,15629417,17678809
2023-06-23 17:26:30,15658534,17698541
2023-06-23 17:26:45,15671978,17735486
2023-06-23 17:27:00,15700052,17753455
2023-06-23 17:27:15,15712965,17787618
2023-06-23 17:27:30,15739679,17805167
2023-06-23 17:27:45,15750883,17838195
2023-06-23 17:28:00,15774594,17855339
2023-06-23 17:28:15,15785305,17886761
2023-06-23 17:28:30,15807896,17902070
2023-06-23 17:28:45,15818118,17930936
2023-06-23 17:29:00,15839135,17945784
2023-06-23 17:29:15,15847571,17973401
2023-06-23 17:29:30,15865983,17987800
2023-06-23 17:29:45,15873968,18013227
2023-06-23 17:30:00,15891262,18025619
2023-06-23 17:30:15,15898890,18048695
2023-06-23 17:30:30,15915441,18059922
2023-06-23 17:30:45,15922409,18079501
2023-06-23 17:31:00,15937968,18089886
2023-06-23 17:31:15,15943880,18108502
2023-06-23 17:31:30,15955898,18118268
2023-06-23 17:31:45,15960833,18135854
2023-06-23 17:32:00,15971905,18144264
2023-06-23 17:32:15,15976217,18158389
2023-06-23 17:32:30,15986580,18165862
2023-06-23 17:32:45,15990386,18177185
2023-06-23 17:33:00,15999402,18183044
2023-06-23 17:33:15,16002872,18192491

