"Time","emqx-1","emqx-0","emqx-2"
2023-06-26 16:13:30,3,2,0
2023-06-26 16:13:45,3,2,0
2023-06-26 16:14:00,6,2,1
2023-06-26 16:14:15,7,2,1
2023-06-26 16:14:30,145,140,134
2023-06-26 16:14:45,211,224,214
2023-06-26 16:15:00,408,443,420
2023-06-26 16:15:15,518,552,522
2023-06-26 16:15:30,728,771,748
2023-06-26 16:15:45,831,842,819
2023-06-26 16:16:00,1085,1087,1053
2023-06-26 16:16:15,1199,1192,1153
2023-06-26 16:16:30,1391,1408,1361
2023-06-26 16:16:45,1495,1514,1481
2023-06-26 16:17:00,1732,1744,1705
2023-06-26 16:17:15,1825,1818,1786
2023-06-26 16:17:30,2084,2102,2037
2023-06-26 16:17:45,2168,2161,2122
2023-06-26 16:18:00,2390,2399,2369
2023-06-26 16:18:15,2477,2496,2468
2023-06-26 16:18:30,2701,2730,2715
2023-06-26 16:18:45,2774,2808,2786
2023-06-26 16:19:00,3034,3085,3072
2023-06-26 16:19:15,3088,3136,3135
2023-06-26 16:19:30,3231,3262,3287
2023-06-26 16:19:45,3271,3295,3312
2023-06-26 16:20:00,3287,3303,3328
2023-06-26 16:20:15,3305,3329,3344
2023-06-26 16:20:30,3355,3370,3394
2023-06-26 16:20:45,3359,3370,3397
2023-06-26 16:21:00,3395,3413,3435
2023-06-26 16:21:15,3423,3440,3460
2023-06-26 16:21:30,3427,3443,3464
2023-06-26 16:21:45,3430,3443,3467
2023-06-26 16:22:00,3430,3443,3467
2023-06-26 16:22:15,3430,3443,3467
2023-06-26 16:22:30,3433,3446,3470
2023-06-26 16:22:45,3434,3446,3470
2023-06-26 16:23:00,3434,3446,3470
2023-06-26 16:23:15,3434,3446,3470
2023-06-26 16:23:30,3434,3446,3470
2023-06-26 16:23:45,3434,3446,3470
2023-06-26 16:24:00,3434,3446,3470
2023-06-26 16:24:15,3434,3446,3470
2023-06-26 16:24:30,3434,3446,3470
2023-06-26 16:24:45,3434,3446,3470
2023-06-26 16:25:00,3434,3446,3470
2023-06-26 16:25:15,3434,3446,3470
2023-06-26 16:25:30,3434,3446,3470
2023-06-26 16:25:45,3434,3446,3470
2023-06-26 16:26:00,3434,3446,3470
2023-06-26 16:26:15,3434,3446,3470
2023-06-26 16:26:30,3434,3446,3470
