"Time","emqx-1","emqx-0","emqx-2"
2023-06-26 16:13:30,6,4,0
2023-06-26 16:13:45,6,4,0
2023-06-26 16:14:00,15,6,2
2023-06-26 16:14:15,17,6,2
2023-06-26 16:14:30,3072,4977,1708
2023-06-26 16:14:45,7002,9787,3667
2023-06-26 16:15:00,21071,21902,10147
2023-06-26 16:15:15,32811,29247,15228
2023-06-26 16:15:30,61845,47252,29037
2023-06-26 16:15:45,78425,58523,39838
2023-06-26 16:16:00,114023,86783,64118
2023-06-26 16:16:15,134100,104464,79432
2023-06-26 16:16:30,178045,143200,114221
2023-06-26 16:16:45,202768,164325,133848
2023-06-26 16:17:00,257852,211367,179345
2023-06-26 16:17:15,286984,237194,203517
2023-06-26 16:17:30,348436,296151,260225
2023-06-26 16:17:45,380042,327961,290687
2023-06-26 16:18:00,449911,396626,356395
2023-06-26 16:18:15,486886,433094,391327
2023-06-26 16:18:30,565187,509935,469420
2023-06-26 16:18:45,605617,548975,511962
2023-06-26 16:19:00,691914,631820,604114
2023-06-26 16:19:15,737994,674676,652670
2023-06-26 16:19:30,834106,763562,751672
2023-06-26 16:19:45,885821,808648,802151
2023-06-26 16:20:00,991263,899998,904966
2023-06-26 16:20:15,1043840,945390,956353
2023-06-26 16:20:30,1150107,1037493,1061848
2023-06-26 16:20:45,1203185,1083235,1115014
2023-06-26 16:21:00,1310877,1175816,1222993
2023-06-26 16:21:15,1365464,1222006,1276954
2023-06-26 16:21:30,1475992,1315392,1385615
2023-06-26 16:21:45,1531097,1362134,1439711
2023-06-26 16:22:00,1641870,1456434,1548674
2023-06-26 16:22:15,1697039,1503213,1602843
2023-06-26 16:22:30,1807995,1597586,1711713
2023-06-26 16:22:45,1863631,1644428,1765930
2023-06-26 16:23:00,1974549,1738687,1874700
2023-06-26 16:23:15,2029674,1785400,1928767
2023-06-26 16:23:30,2140483,1879572,2037513
2023-06-26 16:23:45,2195395,1926257,2091561
2023-06-26 16:24:00,2304955,2020364,2200213
2023-06-26 16:24:15,2359488,2066976,2254178
2023-06-26 16:24:30,2469018,2160882,2362821
2023-06-26 16:24:45,2523356,2207032,2416693
2023-06-26 16:25:00,2632606,2300066,2525043
2023-06-26 16:25:15,2686969,2346191,2578904
2023-06-26 16:25:30,2796063,2438581,2687177
2023-06-26 16:25:45,2850348,2484087,2740889
2023-06-26 16:26:00,2959485,2575826,2849031
2023-06-26 16:26:15,3013843,2621312,2902783
2023-06-26 16:26:30,3122801,2712177,3010855
2023-06-26 16:26:45,3177004,2757155,3064538
2023-06-26 16:27:00,3285865,2847854,3172579
2023-06-26 16:27:15,3340017,2892631,3226230
2023-06-26 16:27:30,3448427,2982295,3334241
2023-06-26 16:27:45,3502397,3026719,3387847
2023-06-26 16:28:00,3610755,3116315,3495830
2023-06-26 16:28:15,3664660,3160696,3549135
2023-06-26 16:28:30,3772642,3250123,3655946
