"Time","total","emqx-1","emqx-0","emqx-2"
2023-06-26 16:13:30,5,3,2,0
2023-06-26 16:13:45,5,3,2,0
2023-06-26 16:14:00,9,6,2,1
2023-06-26 16:14:15,10,7,2,1
2023-06-26 16:14:30,13,7,4,2
2023-06-26 16:14:45,13,7,4,2
2023-06-26 16:15:00,18,8,6,4
2023-06-26 16:15:15,18,8,6,4
2023-06-26 16:15:30,21,10,7,4
2023-06-26 16:15:45,22,10,7,5
2023-06-26 16:16:00,25,10,9,6
2023-06-26 16:16:15,27,10,10,7
2023-06-26 16:16:30,29,10,11,8
2023-06-26 16:16:45,29,10,11,8
2023-06-26 16:17:00,34,12,13,9
2023-06-26 16:17:15,34,12,13,9
2023-06-26 16:17:30,37,12,13,12
2023-06-26 16:17:45,38,12,13,13
2023-06-26 16:18:00,42,14,15,13
2023-06-26 16:18:15,42,14,15,13
2023-06-26 16:18:30,44,16,15,13
2023-06-26 16:18:45,45,16,15,14
2023-06-26 16:19:00,45,16,15,14
2023-06-26 16:19:15,46,16,15,15
2023-06-26 16:19:30,46,16,15,15
2023-06-26 16:19:45,47,16,15,16
2023-06-26 16:20:00,48,17,15,16
2023-06-26 16:20:15,48,17,15,16
2023-06-26 16:20:30,49,17,16,16
2023-06-26 16:20:45,49,17,16,16
2023-06-26 16:21:00,49,17,16,16
2023-06-26 16:21:15,49,17,16,16
2023-06-26 16:21:30,50,18,16,16
2023-06-26 16:21:45,50,18,16,16
2023-06-26 16:22:00,50,18,16,16
2023-06-26 16:22:15,50,18,16,16
2023-06-26 16:22:30,50,18,16,16
2023-06-26 16:22:45,50,18,16,16
2023-06-26 16:23:00,50,18,16,16
2023-06-26 16:23:15,50,18,16,16
2023-06-26 16:23:30,50,18,16,16
2023-06-26 16:23:45,50,18,16,16
2023-06-26 16:24:00,50,18,16,16
2023-06-26 16:24:15,50,18,16,16
2023-06-26 16:24:30,50,18,16,16
2023-06-26 16:24:45,50,18,16,16
2023-06-26 16:25:00,50,18,16,16
2023-06-26 16:25:15,50,18,16,16
2023-06-26 16:25:30,50,18,16,16
2023-06-26 16:25:45,50,18,16,16
2023-06-26 16:26:00,50,18,16,16
2023-06-26 16:26:15,50,18,16,16
2023-06-26 16:26:30,50,18,16,16
2023-06-26 16:26:45,50,18,16,16
2023-06-26 16:27:00,50,18,16,16
2023-06-26 16:27:15,50,18,16,16
2023-06-26 16:27:30,50,18,16,16
2023-06-26 16:27:45,50,18,16,16
2023-06-26 16:28:00,50,18,16,16
2023-06-26 16:28:15,50,18,16,16
2023-06-26 16:28:30,50,18,16,16
2023-06-26 16:28:45,50,18,16,16
2023-06-26 16:29:00,50,18,16,16
2023-06-26 16:29:15,50,18,16,16
2023-06-26 16:29:30,50,18,16,16
2023-06-26 16:29:45,50,18,16,16
2023-06-26 16:30:00,50,18,16,16
2023-06-26 16:30:15,50,18,16,16
2023-06-26 16:30:30,50,18,16,16
2023-06-26 16:30:45,50,18,16,16
2023-06-26 16:31:00,50,18,16,16
2023-06-26 16:31:15,50,18,16,16
2023-06-26 16:31:30,50,18,16,16
2023-06-26 16:31:45,50,18,16,16
2023-06-26 16:32:00,50,18,16,16
2023-06-26 16:32:15,50,18,16,16
2023-06-26 16:32:30,50,18,16,16
2023-06-26 16:32:45,50,18,16,16
2023-06-26 16:33:00,50,18,16,16
2023-06-26 16:33:15,50,18,16,16
2023-06-26 16:33:30,50,18,16,16
2023-06-26 16:33:45,50,18,16,16
2023-06-26 16:34:00,50,18,16,16
2023-06-26 16:34:15,50,18,16,16
2023-06-26 16:34:30,50,18,16,16
2023-06-26 16:34:45,50,18,16,16
2023-06-26 16:35:00,50,18,16,16
2023-06-26 16:35:15,50,18,16,16
2023-06-26 16:35:30,50,18,16,16
2023-06-26 16:35:45,50,18,16,16
2023-06-26 16:36:00,50,18,16,16
2023-06-26 16:36:15,50,18,16,16
2023-06-26 16:36:30,50,18,16,16
2023-06-26 16:36:45,50,18,16,16
2023-06-26 16:37:00,50,18,16,16
2023-06-26 16:37:15,50,18,16,16
2023-06-26 16:37:30,50,18,16,16
2023-06-26 16:37:45,50,18,16,16
2023-06-26 16:38:00,50,18,16,16
2023-06-26 16:38:15,50,18,16,16
2023-06-26 16:38:30,50,18,16,16
2023-06-26 16:38:45,50,18,16,16
2023-06-26 16:39:00,50,18,16,16
2023-06-26 16:39:15,50,18,16,16
2023-06-26 16:39:30,50,18,16,16
2023-06-26 16:39:45,50,18,16,16
2023-06-26 16:40:00,50,18,16,16
2023-06-26 16:40:15,50,18,16,16
2023-06-26 16:40:30,50,18,16,16
2023-06-26 16:40:45,50,18,16,16
2023-06-26 16:41:00,50,18,16,16
2023-06-26 16:41:15,50,18,16,16
2023-06-26 16:41:30,50,18,16,16
2023-06-26 16:41:45,50,18,16,16
2023-06-26 16:42:00,50,18,16,16
2023-06-26 16:42:15,50,18,16,16
2023-06-26 16:42:30,50,18,16,16
2023-06-26 16:42:45,50,18,16,16
2023-06-26 16:43:00,50,18,16,16
2023-06-26 16:43:15,50,18,16,16
2023-06-26 16:43:30,50,18,16,16
2023-06-26 16:43:45,50,18,16,16
2023-06-26 16:44:00,50,18,16,16
2023-06-26 16:44:15,50,18,16,16
2023-06-26 16:44:30,50,18,16,16
2023-06-26 16:44:45,50,18,16,16
2023-06-26 16:45:00,50,18,16,16
2023-06-26 16:45:15,50,18,16,16
2023-06-26 16:45:30,50,18,16,16
2023-06-26 16:45:45,50,18,16,16
2023-06-26 16:46:00,50,18,16,16
2023-06-26 16:46:15,50,18,16,16
2023-06-26 16:46:30,50,18,16,16
2023-06-26 16:46:45,50,18,16,16
2023-06-26 16:47:00,50,18,16,16

