"Time","emqx-0","emqx-1","emqx-2"
2023-06-27 14:59:45,7.22,16.6,5.85
2023-06-27 15:00:00,7.22,16.6,5.85
2023-06-27 15:00:15,7.22,16.6,5.85
2023-06-27 15:00:30,7.22,16.6,5.85
2023-06-27 15:00:45,7.22,16.6,5.85
2023-06-27 15:01:00,7.22,16.6,5.85
2023-06-27 15:01:15,7.22,16.6,5.85
2023-06-27 15:01:30,7.22,16.6,5.85
2023-06-27 15:01:45,7.22,16.6,5.85
2023-06-27 15:02:00,7.22,16.6,5.85
2023-06-27 15:02:15,7.22,16.6,5.85
2023-06-27 15:02:30,7.22,16.6,5.85
2023-06-27 15:02:45,7.22,16.6,5.85
2023-06-27 15:03:00,7.23,16.6,5.85
2023-06-27 15:03:15,7.23,16.6,5.85
2023-06-27 15:03:30,7.23,16.6,5.85
2023-06-27 15:03:45,7.23,16.6,5.85
2023-06-27 15:04:00,7.23,16.6,5.85
2023-06-27 15:04:15,7.23,16.6,5.85
2023-06-27 15:04:30,7.23,16.6,5.85
2023-06-27 15:04:45,7.23,16.6,5.86
2023-06-27 15:05:00,7.23,16.6,5.86
2023-06-27 15:05:15,7.23,16.6,5.86
2023-06-27 15:05:30,7.23,16.6,5.86
2023-06-27 15:05:45,7.24,16.6,5.86
2023-06-27 15:06:00,7.24,16.6,5.86
2023-06-27 15:06:15,7.24,16.6,5.86
2023-06-27 15:06:30,7.24,16.6,5.86
2023-06-27 15:06:45,7.24,16.6,5.86
2023-06-27 15:07:00,7.24,16.6,5.86
2023-06-27 15:07:15,7.24,16.6,5.87
2023-06-27 15:07:30,7.25,16.6,5.87
2023-06-27 15:07:45,7.25,16.6,5.87
2023-06-27 15:08:00,7.25,16.6,5.87
2023-06-27 15:08:15,7.25,16.6,5.87
2023-06-27 15:08:30,7.25,16.6,5.87
2023-06-27 15:08:45,7.26,16.6,5.88
2023-06-27 15:09:00,7.26,16.6,5.88
2023-06-27 15:09:15,7.26,16.6,5.88
2023-06-27 15:09:30,7.26,16.6,5.88
2023-06-27 15:09:45,7.26,16.6,5.88
2023-06-27 15:10:00,7.27,16.6,5.88
2023-06-27 15:10:15,7.27,16.6,5.89
2023-06-27 15:10:30,7.27,16.6,5.89
2023-06-27 15:10:45,7.27,16.6,5.89
2023-06-27 15:11:00,7.28,16.6,5.89
2023-06-27 15:11:15,7.28,16.6,5.89
2023-06-27 15:11:30,7.28,16.6,5.90
2023-06-27 15:11:45,7.28,16.6,5.90
2023-06-27 15:12:00,7.29,16.6,5.90
2023-06-27 15:12:15,7.29,16.6,5.90
2023-06-27 15:12:30,7.29,16.6,5.90
2023-06-27 15:12:45,7.29,16.6,5.91
2023-06-27 15:13:00,7.30,16.6,5.91
2023-06-27 15:13:15,7.30,16.6,5.91
2023-06-27 15:13:30,7.30,16.6,5.91
2023-06-27 15:13:45,7.30,16.6,5.91
2023-06-27 15:14:00,7.31,16.6,5.91
2023-06-27 15:14:15,7.31,16.6,5.92
2023-06-27 15:14:30,7.31,16.6,5.92
2023-06-27 15:14:45,7.31,16.6,5.92
2023-06-27 15:15:00,7.32,16.6,5.92
2023-06-27 15:15:15,7.32,16.6,5.93
2023-06-27 15:15:30,7.32,16.6,5.93
2023-06-27 15:15:45,7.32,16.6,5.93
2023-06-27 15:16:00,7.32,16.6,5.93
2023-06-27 15:16:15,7.33,16.6,5.93
2023-06-27 15:16:30,7.33,16.6,5.93
2023-06-27 15:16:45,7.33,16.7,5.94
2023-06-27 15:17:00,7.33,16.7,5.94
2023-06-27 15:17:15,7.34,16.7,5.94
2023-06-27 15:17:30,7.34,16.7,5.94
2023-06-27 15:17:45,7.34,16.7,5.94
2023-06-27 15:18:00,7.34,16.7,5.95
2023-06-27 15:18:15,7.35,16.7,5.95
2023-06-27 15:18:30,7.35,16.7,5.95
2023-06-27 15:18:45,7.35,16.7,5.95
2023-06-27 15:19:00,7.35,16.7,5.95
2023-06-27 15:19:15,7.35,16.7,5.96
2023-06-27 15:19:30,7.36,16.7,5.96
2023-06-27 15:19:45,7.36,16.7,5.96
2023-06-27 15:20:00,7.36,16.7,5.96
2023-06-27 15:20:15,7.36,16.7,5.96
2023-06-27 15:20:30,7.37,16.7,5.96
2023-06-27 15:20:45,7.37,16.7,5.97
2023-06-27 15:21:00,7.37,16.7,5.97
2023-06-27 15:21:15,7.37,16.7,5.97
2023-06-27 15:21:30,7.38,16.7,5.97
2023-06-27 15:21:45,7.38,16.7,5.97
2023-06-27 15:22:00,7.38,16.7,5.97
2023-06-27 15:22:15,7.38,16.7,5.98
2023-06-27 15:22:30,7.38,16.7,5.98
2023-06-27 15:22:45,7.38,16.7,5.98
2023-06-27 15:23:00,7.39,16.7,5.98
2023-06-27 15:23:15,7.39,16.7,5.98
2023-06-27 15:23:30,7.39,16.7,5.98
2023-06-27 15:23:45,7.39,16.7,5.99
2023-06-27 15:24:00,7.39,16.7,5.99
2023-06-27 15:24:15,7.40,16.7,5.99
2023-06-27 15:24:30,7.40,16.7,5.99
2023-06-27 15:24:45,7.40,16.7,5.99
2023-06-27 15:25:00,7.40,16.7,5.99
2023-06-27 15:25:15,7.40,16.7,5.99
2023-06-27 15:25:30,7.40,16.7,5.99
2023-06-27 15:25:45,7.40,16.7,5.99
2023-06-27 15:26:00,7.41,16.7,6.00
2023-06-27 15:26:15,7.41,16.7,6.00
2023-06-27 15:26:30,7.41,16.7,6.00
2023-06-27 15:26:45,7.41,16.7,6.00
2023-06-27 15:27:00,7.41,16.7,6.00
2023-06-27 15:27:15,7.41,16.7,6.00
2023-06-27 15:27:30,7.41,16.7,6.00
2023-06-27 15:27:45,7.41,16.7,6.00
2023-06-27 15:28:00,7.41,16.7,6.00
2023-06-27 15:28:15,7.41,16.7,6.00
2023-06-27 15:28:30,7.42,16.7,6.00
2023-06-27 15:28:45,7.42,16.7,6.00
2023-06-27 15:29:00,7.42,16.7,6.00
2023-06-27 15:29:15,7.42,16.7,6.00
2023-06-27 15:29:30,7.42,16.7,6.00
2023-06-27 15:29:45,7.42,16.7,6.01
2023-06-27 15:30:00,7.42,16.7,6.01
2023-06-27 15:30:15,7.42,16.7,6.01
2023-06-27 15:30:30,7.42,16.7,6.01
2023-06-27 15:30:45,7.42,16.7,6.01
2023-06-27 15:31:00,7.42,16.7,6.01
2023-06-27 15:31:15,7.42,16.7,6.01
2023-06-27 15:31:30,7.42,16.7,6.01
2023-06-27 15:31:45,7.42,16.7,6.01
2023-06-27 15:32:00,7.43,16.7,6.01
2023-06-27 15:32:15,7.43,16.7,6.01
2023-06-27 15:32:30,7.43,16.7,6.01
2023-06-27 15:32:45,7.43,16.7,6.01
2023-06-27 15:33:00,7.43,16.7,6.01
2023-06-27 15:33:15,7.43,16.7,6.01
