"Time","emqx-0","emqx-1","emqx-2","Total"
2023-06-27 14:59:45,0,0,0,0
2023-06-27 15:00:00,0,0,0,0
2023-06-27 15:00:15,0,0,0,0
2023-06-27 15:00:30,0,0,0,0
2023-06-27 15:00:45,0,0,0,0
2023-06-27 15:01:00,0,0,0,0
2023-06-27 15:01:15,0,0,0,0
2023-06-27 15:01:30,0,0,0,0
2023-06-27 15:01:45,0,0,0,0
2023-06-27 15:02:00,0,0,0,0
2023-06-27 15:02:15,0,0,0,0
2023-06-27 15:02:30,3,0,0,3
2023-06-27 15:02:45,547,0,2380,2927
2023-06-27 15:03:00,5612,0,4351,9963
2023-06-27 15:03:15,10007,84,8356,18447
2023-06-27 15:03:30,25525,1404,10840,37769
2023-06-27 15:03:45,34623,2810,17503,54936
2023-06-27 15:04:00,55189,10168,21516,86873
2023-06-27 15:04:15,66707,14362,30736,111805
2023-06-27 15:04:30,93375,27150,35939,156464
2023-06-27 15:04:45,107775,34814,46522,189111
2023-06-27 15:05:00,140722,53551,51820,246093
2023-06-27 15:05:15,159074,64642,62450,286166
2023-06-27 15:05:30,197839,90572,67918,356329
2023-06-27 15:05:45,218803,105765,79327,403895
2023-06-27 15:06:00,260723,141204,85608,487535
2023-06-27 15:06:15,281793,161800,99347,542940
2023-06-27 15:06:30,325162,206945,106785,638892
2023-06-27 15:06:45,347644,230920,124618,703182
2023-06-27 15:07:00,395209,281019,134078,810306
2023-06-27 15:07:15,420392,307978,154246,882616
2023-06-27 15:07:30,472764,364715,165502,1002981
2023-06-27 15:07:45,499438,393416,191198,1084052
2023-06-27 15:08:00,557606,452089,205645,1215340
2023-06-27 15:08:15,587536,482445,236088,1306069
2023-06-27 15:08:30,648588,549390,251755,1449733
2023-06-27 15:08:45,679731,585107,283104,1547942
2023-06-27 15:09:00,745733,660532,298768,1705033
2023-06-27 15:09:15,779997,699895,330069,1809961
2023-06-27 15:09:30,853441,781511,345744,1980696
2023-06-27 15:09:45,892411,823339,377106,2092856
2023-06-27 15:10:00,972770,910372,393169,2276311
2023-06-27 15:10:15,1013679,955647,426753,2396079
2023-06-27 15:10:30,1096538,1047074,443749,2587361
2023-06-27 15:10:45,1139736,1092812,478804,2711352
2023-06-27 15:11:00,1226171,1184317,497218,2907706
2023-06-27 15:11:15,1269227,1230048,534301,3033576
2023-06-27 15:11:30,1355311,1322558,552834,3230703
2023-06-27 15:11:45,1398368,1369702,589908,3357978
2023-06-27 15:12:00,1484332,1464256,608457,3557045
2023-06-27 15:12:15,1527169,1511527,646684,3685380
2023-06-27 15:12:30,1612861,1606151,666504,3885516
2023-06-27 15:12:45,1655731,1653602,706225,4015558
2023-06-27 15:13:00,1741414,1749489,726086,4216989
2023-06-27 15:13:15,1784282,1798079,765854,4348215
2023-06-27 15:13:30,1869999,1895294,785823,4551116
2023-06-27 15:13:45,1912861,1943890,825760,4682511
2023-06-27 15:14:00,1998482,2041062,845621,4885165
2023-06-27 15:14:15,2041249,2089655,885359,5016263
2023-06-27 15:14:30,2127244,2186852,905227,5219323
2023-06-27 15:14:45,2170231,2235248,944960,5350439
2023-06-27 15:15:00,2256315,2332033,964812,5553160
2023-06-27 15:15:15,2299338,2380397,1004735,5684470
2023-06-27 15:15:30,2385463,2477112,1024799,5887374
2023-06-27 15:15:45,2428520,2525274,1064930,6018724
2023-06-27 15:16:00,2514649,2621708,1084989,6221346
2023-06-27 15:16:15,2557721,2669906,1125111,6352738
2023-06-27 15:16:30,2643769,2766297,1145038,6555104
2023-06-27 15:16:45,2686824,2814485,1184772,6686081
