"Time","Messages"
2023-06-27 15:00:30,0
2023-06-27 15:00:45,0
2023-06-27 15:01:00,0
2023-06-27 15:01:15,0
2023-06-27 15:01:30,0
2023-06-27 15:01:45,0
2023-06-27 15:02:00,0
2023-06-27 15:02:15,0
2023-06-27 15:02:30,0
2023-06-27 15:02:45,0
2023-06-27 15:03:00,8
2023-06-27 15:03:15,8
2023-06-27 15:03:30,8
2023-06-27 15:03:45,7
2023-06-27 15:04:00,6
2023-06-27 15:04:15,7
2023-06-27 15:04:30,22
2023-06-27 15:04:45,24
2023-06-27 15:05:00,12
2023-06-27 15:05:15,11
2023-06-27 15:05:30,19
2023-06-27 15:05:45,22
2023-06-27 15:06:00,10
2023-06-27 15:06:15,15
2023-06-27 15:06:30,22
2023-06-27 15:06:45,23
2023-06-27 15:07:00,20
2023-06-27 15:07:15,24
2023-06-27 15:07:30,27
2023-06-27 15:07:45,23
2023-06-27 15:08:00,31
2023-06-27 15:08:15,27
2023-06-27 15:08:30,32
2023-06-27 15:08:45,36
2023-06-27 15:09:00,25
2023-06-27 15:09:15,24
2023-06-27 15:09:30,35
2023-06-27 15:09:45,36
2023-06-27 15:10:00,43
2023-06-27 15:10:15,45
2023-06-27 15:10:30,45
2023-06-27 15:10:45,48
2023-06-27 15:11:00,49
2023-06-27 15:11:15,62
2023-06-27 15:11:30,71
2023-06-27 15:11:45,69
2023-06-27 15:12:00,50
2023-06-27 15:12:15,64
2023-06-27 15:12:30,53
2023-06-27 15:12:45,45
2023-06-27 15:13:00,50
2023-06-27 15:13:15,61
2023-06-27 15:13:30,80
2023-06-27 15:13:45,80
2023-06-27 15:14:00,65
2023-06-27 15:14:15,67
2023-06-27 15:14:30,80
2023-06-27 15:14:45,73
2023-06-27 15:15:00,79
2023-06-27 15:15:15,82
2023-06-27 15:15:30,69
2023-06-27 15:15:45,61
2023-06-27 15:16:00,68
2023-06-27 15:16:15,69
2023-06-27 15:16:30,68
2023-06-27 15:16:45,73
2023-06-27 15:17:00,64
2023-06-27 15:17:15,67
2023-06-27 15:17:30,74
2023-06-27 15:17:45,70
2023-06-27 15:18:00,63
2023-06-27 15:18:15,64
2023-06-27 15:18:30,69
2023-06-27 15:18:45,69
2023-06-27 15:19:00,57
2023-06-27 15:19:15,57
2023-06-27 15:19:30,76
2023-06-27 15:19:45,67
2023-06-27 15:20:00,65
2023-06-27 15:20:15,66
2023-06-27 15:20:30,54
2023-06-27 15:20:45,57
2023-06-27 15:21:00,54
2023-06-27 15:21:15,56
2023-06-27 15:21:30,43
2023-06-27 15:21:45,44
2023-06-27 15:22:00,36
2023-06-27 15:22:15,39
2023-06-27 15:22:30,34
2023-06-27 15:22:45,33
2023-06-27 15:23:00,35
2023-06-27 15:23:15,33
2023-06-27 15:23:30,25
2023-06-27 15:23:45,30
2023-06-27 15:24:00,22
2023-06-27 15:24:15,20
2023-06-27 15:24:30,22
2023-06-27 15:24:45,17
2023-06-27 15:25:00,23
2023-06-27 15:25:15,11
2023-06-27 15:25:30,11
2023-06-27 15:25:45,15
2023-06-27 15:26:00,4
2023-06-27 15:26:15,7
2023-06-27 15:26:30,4
2023-06-27 15:26:45,2
2023-06-27 15:27:00,1
2023-06-27 15:27:15,1
2023-06-27 15:27:30,3
2023-06-27 15:27:45,0
2023-06-27 15:28:00,0
2023-06-27 15:28:15,0
2023-06-27 15:28:30,0
2023-06-27 15:28:45,0
2023-06-27 15:29:00,0
2023-06-27 15:29:15,0
2023-06-27 15:29:30,0
2023-06-27 15:29:45,0
2023-06-27 15:30:00,0
2023-06-27 15:30:15,0
2023-06-27 15:30:30,0
2023-06-27 15:30:45,0
2023-06-27 15:31:00,0
2023-06-27 15:31:15,0
2023-06-27 15:31:30,0
2023-06-27 15:31:45,0
2023-06-27 15:32:00,0
2023-06-27 15:32:15,0
2023-06-27 15:32:30,0
2023-06-27 15:32:45,0
2023-06-27 15:33:00,0
2023-06-27 15:33:15,0
2023-06-27 15:33:30,0
2023-06-27 15:33:45,0
2023-06-27 15:34:00,0
2023-06-27 15:34:15,0
2023-06-27 15:34:30,0
2023-06-27 15:34:45,0
2023-06-27 15:35:00,0
2023-06-27 15:35:15,0
2023-06-27 15:35:30,0
2023-06-27 15:35:45,0
2023-06-27 15:36:00,0
2023-06-27 15:36:15,0
2023-06-27 15:36:30,0
2023-06-27 15:36:45,0
2023-06-27 15:37:00,0
2023-06-27 15:37:15,0
2023-06-27 15:37:30,0
2023-06-27 15:37:45,0
2023-06-27 15:38:00,0
2023-06-27 15:38:15,0

