"Time","emqx-0","emqx-1","emqx-2","Used Memory"
2023-06-27 14:59:45,1.87 GB,2.51 GB,2.29 GB,6.67 GB
2023-06-27 15:00:00,1.87 GB,2.51 GB,2.28 GB,6.67 GB
2023-06-27 15:00:15,1.87 GB,2.51 GB,2.29 GB,6.67 GB
2023-06-27 15:00:30,1.87 GB,2.51 GB,2.29 GB,6.67 GB
2023-06-27 15:00:45,1.87 GB,2.52 GB,2.29 GB,6.67 GB
2023-06-27 15:01:00,1.87 GB,2.51 GB,2.28 GB,6.67 GB
2023-06-27 15:01:15,1.87 GB,2.52 GB,2.28 GB,6.67 GB
2023-06-27 15:01:30,1.87 GB,2.51 GB,2.28 GB,6.66 GB
2023-06-27 15:01:45,1.87 GB,2.52 GB,2.29 GB,6.68 GB
2023-06-27 15:02:00,1.87 GB,2.51 GB,2.29 GB,6.67 GB
2023-06-27 15:02:15,1.87 GB,2.51 GB,2.29 GB,6.67 GB
2023-06-27 15:02:30,1.87 GB,2.51 GB,2.29 GB,6.68 GB
2023-06-27 15:02:45,1.87 GB,2.51 GB,2.29 GB,6.67 GB
2023-06-27 15:03:00,1.88 GB,2.52 GB,2.29 GB,6.69 GB
2023-06-27 15:03:15,1.89 GB,2.53 GB,2.31 GB,6.72 GB
2023-06-27 15:03:30,1.90 GB,2.55 GB,2.33 GB,6.77 GB
2023-06-27 15:03:45,1.91 GB,2.56 GB,2.33 GB,6.80 GB
2023-06-27 15:04:00,1.94 GB,2.59 GB,2.35 GB,6.88 GB
2023-06-27 15:04:15,1.95 GB,2.59 GB,2.37 GB,6.91 GB
2023-06-27 15:04:30,1.96 GB,2.60 GB,2.37 GB,6.93 GB
2023-06-27 15:04:45,1.97 GB,2.60 GB,2.38 GB,6.95 GB
2023-06-27 15:05:00,1.99 GB,2.62 GB,2.39 GB,7.00 GB
2023-06-27 15:05:15,2.01 GB,2.63 GB,2.43 GB,7.07 GB
2023-06-27 15:05:30,2.02 GB,2.64 GB,2.43 GB,7.09 GB
2023-06-27 15:05:45,2.03 GB,2.66 GB,2.45 GB,7.13 GB
2023-06-27 15:06:00,2.05 GB,2.69 GB,2.45 GB,7.19 GB
2023-06-27 15:06:15,2.06 GB,2.70 GB,2.48 GB,7.24 GB
2023-06-27 15:06:30,2.08 GB,2.72 GB,2.48 GB,7.28 GB
2023-06-27 15:06:45,2.08 GB,2.72 GB,2.49 GB,7.30 GB
2023-06-27 15:07:00,2.10 GB,2.73 GB,2.50 GB,7.33 GB
2023-06-27 15:07:15,2.10 GB,2.74 GB,2.53 GB,7.37 GB
2023-06-27 15:07:30,2.12 GB,2.74 GB,2.53 GB,7.39 GB
2023-06-27 15:07:45,2.14 GB,2.75 GB,2.53 GB,7.42 GB
2023-06-27 15:08:00,2.15 GB,2.77 GB,2.53 GB,7.44 GB
2023-06-27 15:08:15,2.15 GB,2.77 GB,2.58 GB,7.51 GB
2023-06-27 15:08:30,2.17 GB,2.79 GB,2.59 GB,7.56 GB
2023-06-27 15:08:45,2.20 GB,2.81 GB,2.60 GB,7.61 GB
2023-06-27 15:09:00,2.21 GB,2.82 GB,2.61 GB,7.64 GB
2023-06-27 15:09:15,2.21 GB,2.83 GB,2.62 GB,7.66 GB
2023-06-27 15:09:30,2.23 GB,2.86 GB,2.64 GB,7.73 GB
2023-06-27 15:09:45,2.23 GB,2.85 GB,2.63 GB,7.71 GB
2023-06-27 15:10:00,2.25 GB,2.86 GB,2.65 GB,7.76 GB
2023-06-27 15:10:15,2.25 GB,2.86 GB,2.65 GB,7.76 GB
2023-06-27 15:10:30,2.27 GB,2.87 GB,2.66 GB,7.80 GB
2023-06-27 15:10:45,2.30 GB,2.88 GB,2.65 GB,7.83 GB
2023-06-27 15:11:00,2.30 GB,2.88 GB,2.66 GB,7.84 GB
2023-06-27 15:11:15,2.29 GB,2.88 GB,2.66 GB,7.83 GB
2023-06-27 15:11:30,2.29 GB,2.88 GB,2.67 GB,7.85 GB
2023-06-27 15:11:45,2.30 GB,2.88 GB,2.67 GB,7.85 GB
2023-06-27 15:12:00,2.31 GB,2.88 GB,2.67 GB,7.86 GB
2023-06-27 15:12:15,2.30 GB,2.88 GB,2.67 GB,7.86 GB
2023-06-27 15:12:30,2.30 GB,2.88 GB,2.67 GB,7.85 GB
2023-06-27 15:12:45,2.31 GB,2.90 GB,2.68 GB,7.88 GB
2023-06-27 15:13:00,2.31 GB,2.92 GB,2.67 GB,7.90 GB
2023-06-27 15:13:15,2.30 GB,2.91 GB,2.67 GB,7.88 GB
2023-06-27 15:13:30,2.29 GB,2.91 GB,2.66 GB,7.86 GB
2023-06-27 15:13:45,2.28 GB,2.92 GB,2.66 GB,7.85 GB
2023-06-27 15:14:00,2.28 GB,2.91 GB,2.66 GB,7.85 GB
2023-06-27 15:14:15,2.19 GB,2.86 GB,2.64 GB,7.69 GB
2023-06-27 15:14:30,2.23 GB,2.87 GB,2.64 GB,7.74 GB
2023-06-27 15:14:45,2.23 GB,2.87 GB,2.65 GB,7.75 GB
2023-06-27 15:15:00,2.26 GB,2.88 GB,2.66 GB,7.80 GB
