"Time","Bytes Sent","Bytes received"
2023-06-26 18:29:00,0,0
2023-06-26 18:29:15,0,0
2023-06-26 18:29:30,0,0
2023-06-26 18:29:45,0,0
2023-06-26 18:30:00,0,0
2023-06-26 18:30:15,45,189
2023-06-26 18:30:30,45,189
2023-06-26 18:30:45,91,352
2023-06-26 18:31:00,91,352
2023-06-26 18:31:15,338850,445855
2023-06-26 18:31:30,2710853,2407577
2023-06-26 18:31:45,6213458,6482411
2023-06-26 18:32:00,13382990,13390165
2023-06-26 18:32:15,22731372,22822301
2023-06-26 18:32:30,35085754,35346466
2023-06-26 18:32:45,49572302,50246878
2023-06-26 18:33:00,68725000,68260019
2023-06-26 18:33:15,87337706,88714935
2023-06-26 18:33:30,113040411,111990527
2023-06-26 18:33:45,135947227,137878530
2023-06-26 18:34:00,168229892,166603658
2023-06-26 18:34:15,195360887,197903105
2023-06-26 18:34:30,234400412,232041283
2023-06-26 18:34:45,265304626,268713025
2023-06-26 18:35:00,311367274,308266280
2023-06-26 18:35:15,346185856,350440709
2023-06-26 18:35:30,399216152,395382605
2023-06-26 18:35:45,438198086,443055296
2023-06-26 18:36:00,498095573,493381161
2023-06-26 18:36:15,540445673,545902225
2023-06-26 18:36:30,604606566,599495086
2023-06-26 18:36:45,648168751,653718125
2023-06-26 18:37:00,712788901,707565927
2023-06-26 18:37:15,756449691,761939057
2023-06-26 18:37:30,821316849,816020012
2023-06-26 18:37:45,865097314,870528156
2023-06-26 18:38:00,930101153,924766205
2023-06-26 18:38:15,974093906,979437078
2023-06-26 18:38:30,1039143859,1033723102
2023-06-26 18:38:45,1083176631,1088418020
2023-06-26 18:39:00,1148243957,1142742527
2023-06-26 18:39:15,1192283905,1197439156
2023-06-26 18:39:30,1257334638,1251759063
2023-06-26 18:39:45,1301343546,1306443298
2023-06-26 18:40:00,1366388456,1360748352
2023-06-26 18:40:15,1410419373,1415455838
2023-06-26 18:40:30,1475480705,1469755711
2023-06-26 18:40:45,1519482322,1524440753
2023-06-26 18:41:00,1584497545,1578704293
2023-06-26 18:41:15,1628502007,1633392578
2023-06-26 18:41:30,1693512453,1687649328
2023-06-26 18:41:45,1737478806,1742288201
2023-06-26 18:42:00,1802464435,1796514376
2023-06-26 18:42:15,1846432201,1851128452
2023-06-26 18:42:30,1911347106,1905306893
2023-06-26 18:42:45,1955288427,1959914285
2023-06-26 18:43:00,2020191725,2014084454
2023-06-26 18:43:15,2064122677,2068679545
2023-06-26 18:43:30,2129015298,2122831181
2023-06-26 18:43:45,2172921987,2177404755
2023-06-26 18:44:00,2237804103,2231541455
2023-06-26 18:44:15,2281684074,2286083254
2023-06-26 18:44:30,2346548861,2340210761
2023-06-26 18:44:45,2390424669,2394743615
2023-06-26 18:45:00,2455266594,2448843608
2023-06-26 18:45:15,2499139749,2503364822
2023-06-26 18:45:30,2563996697,2557498112
2023-06-26 18:45:45,2607838181,2612006036
2023-06-26 18:46:00,2672663469,2666082618
2023-06-26 18:46:15,2716515643,2720569695
2023-06-26 18:46:30,2781331278,2774634808
2023-06-26 18:46:45,2825172547,2829140510
2023-06-26 18:47:00,2889942655,2883188487
2023-06-26 18:47:15,2933723531,2937639172
2023-06-26 18:47:30,2998503946,2991693807
2023-06-26 18:47:45,3042296271,3046142170
2023-06-26 18:48:00,3106265076,3099574337
2023-06-26 18:48:15,3148169314,3151608237
2023-06-26 18:48:30,3207901556,3201267689
2023-06-26 18:48:45,3244719649,3248315632
2023-06-26 18:49:00,3299755709,3292478548
2023-06-26 18:49:15,3331140877,3334343237
2023-06-26 18:49:30,3379870208,3373056584
2023-06-26 18:49:45,3407166871,3409606821
2023-06-26 18:50:00,3449225028,3443096128
2023-06-26 18:50:15,3472502757,3474251346
2023-06-26 18:50:30,3508166931,3502478469
2023-06-26 18:50:45,3527307394,3528393496
2023-06-26 18:51:00,3556403136,3551310080
2023-06-26 18:51:15,3571680904,3571877255
2023-06-26 18:51:30,3594006320,3589534676
2023-06-26 18:51:45,3605748262,3604812715
2023-06-26 18:52:00,3621058958,3617230215
