"Time","emqx-0","emqx-1","emqx-3","emqx-2"
2023-06-27 13:38:45,1,0,4,4
2023-06-27 13:39:00,1,2,4,21
2023-06-27 13:39:15,101,105,123,93
2023-06-27 13:39:30,144,159,179,214
2023-06-27 13:39:45,323,308,332,296
2023-06-27 13:40:00,390,391,415,455
2023-06-27 13:40:15,582,554,578,556
2023-06-27 13:40:30,638,610,639,692
2023-06-27 13:40:45,825,812,830,797
2023-06-27 13:41:00,895,879,903,938
2023-06-27 13:41:15,1060,1037,1051,1030
2023-06-27 13:41:30,1133,1113,1137,1194
2023-06-27 13:41:45,1307,1278,1314,1286
2023-06-27 13:42:00,1372,1329,1379,1435
2023-06-27 13:42:15,1556,1536,1579,1527
2023-06-27 13:42:30,1617,1592,1636,1657
2023-06-27 13:42:45,1784,1785,1819,1747
2023-06-27 13:43:00,1844,1855,1892,1914
2023-06-27 13:43:15,2005,2020,2089,2008
2023-06-27 13:43:30,2067,2081,2136,2151
2023-06-27 13:43:45,2251,2286,2336,2285
2023-06-27 13:44:00,2293,2342,2384,2414
2023-06-27 13:44:15,2496,2516,2570,2499
2023-06-27 13:44:30,2555,2578,2645,2672
2023-06-27 13:44:45,2738,2745,2834,2746
2023-06-27 13:45:00,2805,2804,2894,2904
2023-06-27 13:45:15,2986,3017,3077,3000
2023-06-27 13:45:30,3051,3069,3138,3141
2023-06-27 13:45:45,3214,3245,3316,3237
2023-06-27 13:46:00,3311,3323,3393,3401
2023-06-27 13:46:15,3462,3492,3547,3476
2023-06-27 13:46:30,3529,3564,3598,3602
2023-06-27 13:46:45,3620,3652,3702,3663
2023-06-27 13:47:00,3620,3652,3702,3669
2023-06-27 13:47:15,3666,3687,3742,3691
2023-06-27 13:47:30,3685,3706,3758,3720
2023-06-27 13:47:45,3689,3707,3760,3720
2023-06-27 13:48:00,3705,3732,3783,3751
2023-06-27 13:48:15,3733,3759,3819,3771
2023-06-27 13:48:30,3733,3759,3819,3776
2023-06-27 13:48:45,3767,3794,3853,3801
2023-06-27 13:49:00,3783,3807,3871,3824
2023-06-27 13:49:15,3792,3816,3886,3826
2023-06-27 13:49:30,3816,3833,3903,3869
2023-06-27 13:49:45,3840,3848,3926,3880
2023-06-27 13:50:00,3842,3849,3926,3885
2023-06-27 13:50:15,3842,3850,3927,3885
2023-06-27 13:50:30,3842,3850,3927,3885
