"Time","emqx-0","emqx-1","emqx-3","emqx-2","Total"
2023-06-27 13:38:45,0,0,0,0,0
2023-06-27 13:39:00,0,0,0,58,58
2023-06-27 13:39:15,0,0,3717,685,4402
2023-06-27 13:39:30,0,0,7445,3456,10901
2023-06-27 13:39:45,740,0,18844,5248,24832
2023-06-27 13:40:00,1710,6,26718,11146,39580
2023-06-27 13:40:15,4850,1589,42594,15791,64824
2023-06-27 13:40:30,6857,4626,50532,27396,89411
2023-06-27 13:40:45,12768,12105,66410,34248,125531
2023-06-27 13:41:00,17003,18139,74361,49900,159403
2023-06-27 13:41:15,27494,30816,90914,58352,207576
2023-06-27 13:41:30,33807,38520,100328,76017,248672
2023-06-27 13:41:45,47628,55931,122254,84870,310683
2023-06-27 13:42:00,54959,65390,134427,104297,359073
2023-06-27 13:42:15,69625,86449,161979,115129,433182
2023-06-27 13:42:30,77096,97990,177466,136785,489337
2023-06-27 13:42:45,96355,122457,210532,147612,576956
2023-06-27 13:43:00,106846,135687,228131,169265,639929
2023-06-27 13:43:15,132983,164168,264556,180089,741796
2023-06-27 13:43:30,147495,179075,283203,201757,811530
2023-06-27 13:43:45,180179,211880,321925,212590,926574
2023-06-27 13:44:00,197856,229813,341854,234259,1003782
2023-06-27 13:44:15,235103,269663,381699,245070,1131535
2023-06-27 13:44:30,254976,292279,401642,266729,1215626
2023-06-27 13:44:45,298924,338481,442593,277560,1357558
2023-06-27 13:45:00,323818,361625,463819,299222,1448484
2023-06-27 13:45:15,375866,407913,510066,310041,1603886
2023-06-27 13:45:30,402796,431045,534577,334495,1702913
2023-06-27 13:45:45,457788,477281,587259,347471,1869799
2023-06-27 13:46:00,486481,500432,615768,373652,1976333
2023-06-27 13:46:15,547378,546693,675896,387222,2157189
2023-06-27 13:46:30,578788,569848,706609,415874,2271119
2023-06-27 13:46:45,644166,616124,771465,430859,2462614
2023-06-27 13:47:00,677257,639271,803993,461470,2581991
2023-06-27 13:47:15,743552,686274,869066,478476,2777368
2023-06-27 13:47:30,776851,710559,901591,512718,2901719
2023-06-27 13:47:45,843438,759510,966752,529689,3099389
2023-06-27 13:48:00,876737,783997,999681,563650,3224065
2023-06-27 13:48:15,943367,833162,1067025,580620,3424174
2023-06-27 13:48:30,976717,857747,1100911,614586,3549961
2023-06-27 13:48:45,1044303,906715,1168751,631552,3751321
2023-06-27 13:49:00,1078861,931217,1202652,665525,3878255
2023-06-27 13:49:15,1148139,980429,1270476,682470,4081514
2023-06-27 13:49:30,1182780,1004915,1304370,717508,4209573
2023-06-27 13:49:45,1252037,1053851,1372124,735768,4413780
2023-06-27 13:50:00,1286676,1078312,1405846,772533,4543367
2023-06-27 13:50:15,1355925,1127118,1473665,791029,4747737
2023-06-27 13:50:30,1390607,1151359,1507568,828048,4877582
2023-06-27 13:50:45,1459896,1199906,1575410,846537,5081749
2023-06-27 13:51:00,1494551,1224176,1609462,883571,5211760
2023-06-27 13:51:15,1563567,1272728,1677677,902076,5416048
2023-06-27 13:51:30,1598022,1296993,1711788,939103,5545906
2023-06-27 13:51:45,1666863,1345634,1779997,957599,5750093
2023-06-27 13:52:00,1701281,1370094,1814116,994634,5880125
2023-06-27 13:52:15,1769796,1419049,1882348,1013135,6084328
2023-06-27 13:52:30,1804055,1443515,1916421,1050130,6214121
2023-06-27 13:52:45,1872504,1492464,1984585,1068649,6418202
2023-06-27 13:53:00,1906640,1516932,2018663,1105649,6547884
2023-06-27 13:53:15,1974733,1565878,2086853,1124157,6751621
2023-06-27 13:53:30,2008784,1590309,2120939,1161162,6881194
2023-06-27 13:53:45,2076837,1639247,2189162,1179629,7084875
2023-06-27 13:54:00,2110898,1663749,2223241,1216313,7214201
2023-06-27 13:54:15,2178899,1712688,2291435,1234607,7417629
2023-06-27 13:54:30,2212951,1737162,2325531,1271200,7546844
2023-06-27 13:54:45,2280992,1786133,2393713,1289427,7750265
2023-06-27 13:55:00,2314999,1810593,2427793,1325630,7879015
2023-06-27 13:55:15,2383045,1859498,2495915,1343716,8082174
2023-06-27 13:55:30,2417086,1883985,2529993,1379909,8210973
2023-06-27 13:55:45,2484845,1932926,2598025,1397991,8413787
2023-06-27 13:56:00,2518717,1957392,2631167,1434218,8541494
2023-06-27 13:56:15,2586232,2006336,2691645,1452301,8736514
2023-06-27 13:56:30,2619545,2030784,2720474,1487659,8858462
2023-06-27 13:56:45,2684941,2079312,2774109,1504691,9043053
2023-06-27 13:57:00,2717071,2103149,2800257,1536538,9157015
2023-06-27 13:57:15,2780608,2147867,2852566,1551446,9332487
2023-06-27 13:57:30,2811970,2168427,2878718,1579067,9438182
2023-06-27 13:57:45,2873276,2207560,2930952,1592013,9603801
2023-06-27 13:58:00,2902876,2225690,2956655,1616727,9701948
2023-06-27 13:58:15,2960263,2261325,3006765,1628823,9857176
2023-06-27 13:58:30,2988360,2276959,3030811,1652702,9948832
2023-06-27 13:58:45,3043999,2306732,3076864,1664601,10092196
2023-06-27 13:59:00,3071855,2320530,3098862,1685732,10176979
2023-06-27 13:59:15,3127300,2346439,3140664,1695663,10310066
2023-06-27 13:59:30,3153684,2358787,3160362,1715536,10388369
2023-06-27 13:59:45,3202892,2382893,3197929,1725472,10509186
2023-06-27 14:00:00,3226113,2394435,3216129,1745352,10582029
2023-06-27 14:00:15,3267614,2415631,3252035,1755291,10690571
2023-06-27 14:00:30,3287716,2424531,3269991,1775171,10757409
2023-06-27 14:00:45,3323654,2439588,3305886,1785102,10854230
2023-06-27 14:01:00,3342071,2447081,3327870,1804977,10921999
2023-06-27 14:01:15,3370725,2455445,3359414,1814921,11000505
2023-06-27 14:01:30,3384277,2459437,3376682,1834798,11055194
2023-06-27 14:01:45,3407654,2467433,3409557,1844712,11129356
2023-06-27 14:02:00,3417082,2471423,3424882,1864588,11177975
2023-06-27 14:02:15,3434448,2479421,3453432,1874439,11241740
2023-06-27 14:02:30,3442534,2483418,3466072,1890711,11282735
2023-06-27 14:02:45,3458951,2491408,3488753,1898523,11337635
2023-06-27 14:03:00,3463150,2495417,3498934,1912968,11370469
2023-06-27 14:03:15,3472220,2503399,3518853,1919587,11414059
2023-06-27 14:03:30,3476254,2507402,3527936,1931781,11443373
2023-06-27 14:03:45,3484235,2515399,3543895,1937758,11481287
2023-06-27 14:04:00,3488241,2519389,3551913,1948547,11508090
2023-06-27 14:04:15,3496234,2527385,3567885,1952101,11543605
2023-06-27 14:04:30,3500234,2531386,3575903,1957801,11565324
2023-06-27 14:04:45,3508234,2539374,3591866,1960466,11599940
2023-06-27 14:05:00,3512234,2543377,3599876,1964838,11620325
2023-06-27 14:05:15,3520232,2551369,3615864,1966266,11653731
2023-06-27 14:05:30,3524219,2555368,3623867,1968934,11672388
2023-06-27 14:05:45,3531098,2563351,3639849,1970266,11704564
2023-06-27 14:06:00,3533825,2567356,3647833,1972934,11721948
2023-06-27 14:06:15,3539142,2575336,3663746,1974263,11752487
2023-06-27 14:06:30,3541812,2579336,3671220,1976917,11769285
2023-06-27 14:06:45,3547138,2587333,3684800,1978249,11797520
2023-06-27 14:07:00,3549801,2591334,3691466,1980917,11813518
2023-06-27 14:07:15,3555135,2599323,3703554,1982249,11840261
2023-06-27 14:07:30,3557800,2603327,3708933,1984917,11854977
2023-06-27 14:07:45,3563135,2611172,3719582,1986249,11880138
2023-06-27 14:08:00,3565800,2614513,3724919,1988917,11894149
2023-06-27 14:08:15,3571126,2620000,3735582,1990249,11916957
2023-06-27 14:08:30,3573787,2622668,3740877,1992917,11930249
2023-06-27 14:08:45,3579118,2628000,3750139,1994247,11951504
2023-06-27 14:09:00,3581783,2630668,3754138,1996912,11963501
2023-06-27 14:09:15,3587110,2635765,3762145,1998246,11983266
2023-06-27 14:09:30,3589777,2637664,3766136,2000901,11994478
2023-06-27 14:09:45,3595106,2640416,3774134,2002238,12011894
2023-06-27 14:10:00,3597768,2641751,3778055,2004900,12022474
2023-06-27 14:10:15,3603100,2644402,3784400,2006232,12038134
2023-06-27 14:10:30,3605766,2645740,3787068,2008900,12047474
2023-06-27 14:10:45,3611088,2648401,3791992,2010232,12061713
2023-06-27 14:11:00,3613761,2649736,3793733,2012900,12070130
2023-06-27 14:11:15,3619085,2652400,3796403,2014232,12082120
2023-06-27 14:11:30,3621479,2653734,3797737,2016900,12089850
2023-06-27 14:11:45,3624723,2656400,3800400,2018216,12099739
2023-06-27 14:12:00,3626059,2657734,3801735,2020898,12106426
2023-06-27 14:12:15,3628717,2659759,3804400,2022216,12115092
2023-06-27 14:12:30,3630049,2660000,3805734,2024885,12120668
2023-06-27 14:12:45,3632717,2660000,3808400,2026216,12127333
2023-06-27 14:13:00,3634049,2660000,3809440,2028883,12132372
2023-06-27 14:13:15,3636717,2660000,3810000,2030216,12136933
2023-06-27 14:13:30,3638049,2660000,3810000,2032883,12140932
2023-06-27 14:13:45,3639865,2660000,3810000,2034216,12144081
2023-06-27 14:14:00,3640000,2660000,3810000,2036883,12146883
2023-06-27 14:14:15,3640000,2660000,3810000,2038216,12148216
2023-06-27 14:14:30,3640000,2660000,3810000,2039907,12149907
2023-06-27 14:14:45,3640000,2660000,3810000,2040000,12150000
2023-06-27 14:15:00,3640000,2660000,3810000,2040000,12150000

