"Time","emqx-2","emqx-1","emqx-0","emqx-3"
2023-06-22 15:53:45,,,4.21,
2023-06-22 15:54:00,7.43,6.85,4.42,6.05
2023-06-22 15:54:15,7.41,6.82,4.55,6.07
2023-06-22 15:54:30,7.34,6.80,4.56,6.07
2023-06-22 15:54:45,7.31,6.77,4.66,6.07
2023-06-22 15:55:00,7.29,6.77,4.66,6.08
2023-06-22 15:55:15,7.27,6.77,4.76,6.09
2023-06-22 15:55:30,7.19,6.75,4.77,6.09
2023-06-22 15:55:45,7.17,6.73,4.86,6.08
2023-06-22 15:56:00,7.12,6.73,4.86,6.08
2023-06-22 15:56:15,7.15,6.76,5.01,6.12
2023-06-22 15:56:30,7.28,6.88,5.08,6.18
2023-06-22 15:56:45,7.33,6.93,5.28,6.29
2023-06-22 15:57:00,7.42,7.06,5.34,6.35
2023-06-22 15:57:15,7.47,7.12,5.57,6.48
2023-06-22 15:57:30,7.78,7.37,5.71,6.59
2023-06-22 15:57:45,7.91,7.50,6.00,6.84
2023-06-22 15:58:00,8.29,7.85,6.15,6.98
2023-06-22 15:58:15,8.53,8.09,6.49,7.34
2023-06-22 15:58:30,9.06,8.62,6.66,7.56
2023-06-22 15:58:45,9.32,8.88,7.06,8.05
2023-06-22 15:59:00,9.88,9.44,7.24,8.32
2023-06-22 15:59:15,10.2,9.75,7.69,9.01
2023-06-22 15:59:30,10.8,10.4,7.93,9.40
2023-06-22 15:59:45,11.1,10.8,8.47,10.2
2023-06-22 16:00:00,11.7,11.4,8.69,10.5
2023-06-22 16:00:15,12.1,11.7,9.30,11.2
2023-06-22 16:00:30,12.8,12.4,9.53,11.6
2023-06-22 16:00:45,13.3,12.9,10.1,12.0
2023-06-22 16:01:00,14.0,13.5,10.5,12.9
2023-06-22 16:01:15,14.4,13.8,11.2,13.7
2023-06-22 16:01:30,15.2,14.6,11.5,14.1
2023-06-22 16:01:45,15.7,15.0,12.3,15.0
2023-06-22 16:02:00,16.5,15.8,12.6,15.4
2023-06-22 16:02:15,16.9,16.1,13.4,16.2
2023-06-22 16:02:30,17.7,16.9,13.8,16.7
2023-06-22 16:02:45,18.2,17.2,14.6,17.5
2023-06-22 16:03:00,19.0,17.9,15.0,17.9
2023-06-22 16:03:15,19.4,18.3,15.8,18.7
2023-06-22 16:03:30,20.3,19.0,16.2,19.1
2023-06-22 16:03:45,20.7,19.3,17.0,19.9
2023-06-22 16:04:00,21.6,20.0,17.4,20.4
2023-06-22 16:04:15,22.0,20.3,18.2,21.2
2023-06-22 16:04:30,22.9,21.0,18.6,21.6
2023-06-22 16:04:45,23.3,21.3,19.4,22.4
2023-06-22 16:05:00,24.2,22.0,19.7,22.8
2023-06-22 16:05:15,24.7,22.3,20.5,23.6
2023-06-22 16:05:30,25.6,23.0,20.9,24.0
2023-06-22 16:05:45,26.0,23.3,21.6,24.8
2023-06-22 16:06:00,26.9,24.0,22.0,25.2
2023-06-22 16:06:15,27.3,24.3,22.7,25.9
2023-06-22 16:06:30,28.1,25.0,23.1,26.3
2023-06-22 16:06:45,28.6,25.3,23.9,27.1
2023-06-22 16:07:00,29.4,25.9,24.2,27.5
2023-06-22 16:07:15,29.8,26.3,25.0,28.3
2023-06-22 16:07:30,30.7,26.9,25.3,28.7
2023-06-22 16:07:45,31.1,27.2,26.1,29.4
2023-06-22 16:08:00,31.8,27.8,26.4,29.8
2023-06-22 16:08:15,32.2,28.1,27.1,30.5
2023-06-22 16:08:30,33.0,28.6,27.4,30.9
2023-06-22 16:08:45,33.3,28.9,28.1,31.6
2023-06-22 16:09:00,34.1,29.4,28.4,31.9
2023-06-22 16:09:15,34.4,29.7,29.0,32.6
2023-06-22 16:09:30,35.1,30.2,29.3,32.9
2023-06-22 16:09:45,35.4,30.5,29.9,33.5
2023-06-22 16:10:00,36.1,31.0,30.2,33.8
2023-06-22 16:10:15,36.4,31.2,30.8,34.3
2023-06-22 16:10:30,37.1,31.7,31.1,34.6
2023-06-22 16:10:45,37.4,31.9,31.6,35.2
2023-06-22 16:11:00,38.0,32.4,31.9,35.4
2023-06-22 16:11:15,38.3,32.6,32.4,36.0
2023-06-22 16:11:30,38.9,33.1,32.7,36.2
2023-06-22 16:11:45,39.1,33.3,33.2,36.7
2023-06-22 16:12:00,39.7,33.7,33.4,37.0
2023-06-22 16:12:15,40.0,33.9,33.9,37.5
2023-06-22 16:12:30,40.5,34.3,34.1,37.7
2023-06-22 16:12:45,40.8,34.5,34.6,38.2
2023-06-22 16:13:00,41.3,34.9,34.8,38.4
2023-06-22 16:13:15,41.6,35.1,35.2,38.9
2023-06-22 16:13:30,42.1,35.5,35.4,39.1
2023-06-22 16:13:45,42.3,35.7,35.9,39.5
2023-06-22 16:14:00,42.8,36.0,36.1,39.8
2023-06-22 16:14:15,43.0,36.2,36.5,40.2
2023-06-22 16:14:30,43.4,36.5,36.7,40.4
2023-06-22 16:14:45,43.6,36.7,37.0,40.8
2023-06-22 16:15:00,44.1,37.0,37.2,41.0
2023-06-22 16:15:15,44.2,37.1,37.6,41.3
2023-06-22 16:15:30,44.6,37.3,37.7,41.5
2023-06-22 16:15:45,44.8,37.5,38.1,41.8
2023-06-22 16:16:00,45.2,37.7,38.2,42.0
2023-06-22 16:16:15,45.4,37.8,38.5,42.3
2023-06-22 16:16:30,45.7,38.0,38.6,42.4
2023-06-22 16:16:45,45.8,38.1,38.9,42.7
2023-06-22 16:17:00,46.1,38.3,39.0,42.8
2023-06-22 16:17:15,46.3,38.4,39.3,43.0
2023-06-22 16:17:30,46.6,38.6,39.4,43.1
2023-06-22 16:17:45,46.7,38.7,39.6,43.3
2023-06-22 16:18:00,46.9,38.8,39.7,43.4
2023-06-22 16:18:15,47.0,38.9,39.9,43.6
2023-06-22 16:18:30,47.2,39.0,40.0,43.7
2023-06-22 16:18:45,47.3,39.1,40.2,43.8
2023-06-22 16:19:00,47.5,39.2,40.2,43.9
2023-06-22 16:19:15,47.6,39.3,40.4,44.0
2023-06-22 16:19:30,47.7,39.4,40.4,44.1
2023-06-22 16:19:45,47.8,39.4,40.5,44.2
2023-06-22 16:20:00,47.9,39.5,40.6,44.3
2023-06-22 16:20:15,48.0,39.5,40.6,44.4
2023-06-22 16:20:30,48.1,39.6,40.7,44.4
2023-06-22 16:20:45,48.1,39.6,40.7,44.5
2023-06-22 16:21:00,48.2,39.6,40.7,44.6
2023-06-22 16:21:15,48.2,39.7,40.8,44.6
2023-06-22 16:21:30,48.2,39.7,40.8,44.6
2023-06-22 16:21:45,48.2,39.7,40.8,44.7
2023-06-22 16:22:00,48.2,39.8,40.8,44.7
2023-06-22 16:22:15,48.2,39.8,40.8,44.7
2023-06-22 16:22:30,48.1,39.8,40.8,44.7
2023-06-22 16:22:45,48.1,39.8,40.8,44.7
2023-06-22 16:23:00,48.1,39.7,40.7,44.7
2023-06-22 16:23:15,48.0,39.7,40.7,44.6
2023-06-22 16:23:30,47.9,39.7,40.7,44.6
2023-06-22 16:23:45,47.8,39.6,40.6,44.5
2023-06-22 16:24:00,47.7,39.6,40.5,44.5
2023-06-22 16:24:15,47.6,39.5,40.4,44.4
2023-06-22 16:24:30,47.5,39.4,40.3,44.3
2023-06-22 16:24:45,47.4,39.4,40.2,44.2
2023-06-22 16:25:00,47.2,39.3,40.1,44.1
2023-06-22 16:25:15,47.2,39.2,39.9,44.0
2023-06-22 16:25:30,47.0,39.1,39.9,43.9
2023-06-22 16:25:45,46.9,39.0,39.7,43.8
2023-06-22 16:26:00,46.7,38.9,39.6,43.7
2023-06-22 16:26:15,46.6,38.9,39.5,43.6
2023-06-22 16:26:30,46.5,38.8,39.4,43.5
2023-06-22 16:26:45,46.4,38.7,39.2,43.4
2023-06-22 16:27:00,46.2,38.6,39.2,43.3
2023-06-22 16:27:15,46.2,38.6,39.0,43.2
2023-06-22 16:27:30,46.0,38.5,38.9,43.1
2023-06-22 16:27:45,45.9,38.4,38.8,43.0
2023-06-22 16:28:00,45.8,38.3,38.7,42.9
2023-06-22 16:28:15,45.7,38.2,38.5,42.8
2023-06-22 16:28:30,45.5,38.1,38.4,42.7
2023-06-22 16:28:45,45.4,38.0,38.3,42.6
2023-06-22 16:29:00,45.3,37.9,38.2,42.5
2023-06-22 16:29:15,45.2,37.8,38.0,42.4
2023-06-22 16:29:30,45.0,37.7,38.0,42.3
2023-06-22 16:29:45,44.9,37.6,37.8,42.2
2023-06-22 16:30:00,44.8,37.5,37.7,42.1
2023-06-22 16:30:15,44.7,37.4,37.6,42.0
2023-06-22 16:30:30,44.5,37.3,37.5,42.0
2023-06-22 16:30:45,44.4,37.2,37.4,41.8
2023-06-22 16:31:00,44.3,37.1,37.3,41.7
2023-06-22 16:31:15,44.2,37.0,37.2,41.6
2023-06-22 16:31:30,44.0,36.9,37.1,41.5
2023-06-22 16:31:45,43.9,36.8,36.9,41.4
2023-06-22 16:32:00,43.8,36.7,36.8,41.3
2023-06-22 16:32:15,43.7,36.7,36.7,41.1
2023-06-22 16:32:30,43.5,36.5,36.6,41.1
2023-06-22 16:32:45,43.4,36.5,36.5,40.9
2023-06-22 16:33:00,43.3,36.3,36.4,40.8
2023-06-22 16:33:15,43.2,36.3,36.3,40.7
2023-06-22 16:33:30,43.0,36.1,36.2,40.6
2023-06-22 16:33:45,42.9,36.1,36.0,40.4
2023-06-22 16:34:00,42.8,36.0,36.0,40.4
2023-06-22 16:34:15,42.7,35.9,35.8,40.2
2023-06-22 16:34:30,42.5,35.8,35.7,40.1
2023-06-22 16:34:45,42.4,35.7,35.6,40.0
2023-06-22 16:35:00,42.3,35.6,35.5,39.9
2023-06-22 16:35:15,42.2,35.5,35.4,39.7
2023-06-22 16:35:30,42.0,35.4,35.3,39.6
2023-06-22 16:35:45,41.9,35.3,35.2,39.5
2023-06-22 16:36:00,41.7,35.2,35.1,39.4
2023-06-22 16:36:15,41.7,35.1,34.9,39.2
2023-06-22 16:36:30,41.5,35.0,34.9,39.1
2023-06-22 16:36:45,41.4,34.9,34.7,39.0
2023-06-22 16:37:00,41.2,34.8,34.7,38.9
2023-06-22 16:37:15,41.1,34.7,34.5,38.7

