"Time","total","emqx-0"
2023-06-26 11:41:15,0,0
2023-06-26 11:41:30,0,0
2023-06-26 11:41:45,0,0
2023-06-26 11:42:00,0,0
2023-06-26 11:42:15,5,5
2023-06-26 11:42:30,5,5
2023-06-26 11:42:45,8,8
2023-06-26 11:43:00,9,9
2023-06-26 11:43:15,12,12
2023-06-26 11:43:30,13,13
2023-06-26 11:43:45,16,16
2023-06-26 11:44:00,18,18
2023-06-26 11:44:15,20,20
2023-06-26 11:44:30,21,21
2023-06-26 11:44:45,24,24
2023-06-26 11:45:00,25,25
2023-06-26 11:45:15,29,29
2023-06-26 11:45:30,29,29
2023-06-26 11:45:45,33,33
2023-06-26 11:46:00,34,34
2023-06-26 11:46:15,37,37
2023-06-26 11:46:30,37,37
2023-06-26 11:46:45,42,42
2023-06-26 11:47:00,42,42
2023-06-26 11:47:15,42,42
2023-06-26 11:47:30,44,44
2023-06-26 11:47:45,45,45
2023-06-26 11:48:00,45,45
2023-06-26 11:48:15,46,46
2023-06-26 11:48:30,46,46
2023-06-26 11:48:45,48,48
2023-06-26 11:49:00,48,48
2023-06-26 11:49:15,48,48
2023-06-26 11:49:30,49,49
2023-06-26 11:49:45,49,49
2023-06-26 11:50:00,49,49
2023-06-26 11:50:15,50,50
2023-06-26 11:50:30,50,50
2023-06-26 11:50:45,50,50
2023-06-26 11:51:00,50,50
2023-06-26 11:51:15,50,50
2023-06-26 11:51:30,50,50
2023-06-26 11:51:45,50,50
2023-06-26 11:52:00,50,50
2023-06-26 11:52:15,50,50
2023-06-26 11:52:30,50,50
2023-06-26 11:52:45,50,50
2023-06-26 11:53:00,50,50
2023-06-26 11:53:15,50,50
2023-06-26 11:53:30,50,50
2023-06-26 11:53:45,50,50
2023-06-26 11:54:00,50,50
2023-06-26 11:54:15,50,50
2023-06-26 11:54:30,50,50
2023-06-26 11:54:45,50,50
2023-06-26 11:55:00,50,50
2023-06-26 11:55:15,50,50
2023-06-26 11:55:30,50,50
2023-06-26 11:55:45,50,50
2023-06-26 11:56:00,50,50
2023-06-26 11:56:15,50,50
2023-06-26 11:56:30,50,50
2023-06-26 11:56:45,50,50
2023-06-26 11:57:00,50,50
2023-06-26 11:57:15,50,50
2023-06-26 11:57:30,50,50
2023-06-26 11:57:45,50,50
2023-06-26 11:58:00,50,50
2023-06-26 11:58:15,50,50
2023-06-26 11:58:30,50,50
2023-06-26 11:58:45,50,50
2023-06-26 11:59:00,50,50
2023-06-26 11:59:15,50,50
2023-06-26 11:59:30,50,50
2023-06-26 11:59:45,50,50
2023-06-26 12:00:00,50,50
2023-06-26 12:00:15,50,50
2023-06-26 12:00:30,50,50
2023-06-26 12:00:45,50,50
2023-06-26 12:01:00,50,50
2023-06-26 12:01:15,50,50
2023-06-26 12:01:30,50,50
2023-06-26 12:01:45,50,50
2023-06-26 12:02:00,50,50
2023-06-26 12:02:15,50,50
2023-06-26 12:02:30,50,50
2023-06-26 12:02:45,50,50
2023-06-26 12:03:00,50,50
2023-06-26 12:03:15,50,50
2023-06-26 12:03:30,50,50
2023-06-26 12:03:45,50,50
2023-06-26 12:04:00,50,50
2023-06-26 12:04:15,50,50
2023-06-26 12:04:30,50,50
2023-06-26 12:04:45,50,50
2023-06-26 12:05:00,50,50
2023-06-26 12:05:15,50,50
2023-06-26 12:05:30,50,50
2023-06-26 12:05:45,50,50
2023-06-26 12:06:00,50,50
2023-06-26 12:06:15,50,50
2023-06-26 12:06:30,50,50
2023-06-26 12:06:45,50,50
2023-06-26 12:07:00,50,50
2023-06-26 12:07:15,50,50
2023-06-26 12:07:30,50,50
2023-06-26 12:07:45,50,50
2023-06-26 12:08:00,50,50
2023-06-26 12:08:15,50,50
2023-06-26 12:08:30,50,50
2023-06-26 12:08:45,50,50
2023-06-26 12:09:00,50,50
2023-06-26 12:09:15,50,50
2023-06-26 12:09:30,50,50
2023-06-26 12:09:45,50,50
2023-06-26 12:10:00,50,50
2023-06-26 12:10:15,50,50
2023-06-26 12:10:30,50,50
2023-06-26 12:10:45,50,50
2023-06-26 12:11:00,50,50
2023-06-26 12:11:15,50,50
2023-06-26 12:11:30,50,50
2023-06-26 12:11:45,50,50
2023-06-26 12:12:00,50,50
2023-06-26 12:12:15,50,50
2023-06-26 12:12:30,50,50
2023-06-26 12:12:45,50,50
2023-06-26 12:13:00,50,50
2023-06-26 12:13:15,50,50
2023-06-26 12:13:30,50,50
2023-06-26 12:13:45,50,50
2023-06-26 12:14:00,50,50
2023-06-26 12:14:15,50,50
2023-06-26 12:14:30,50,50
2023-06-26 12:14:45,50,50
2023-06-26 12:15:00,50,50
2023-06-26 12:15:15,50,50
2023-06-26 12:15:30,50,50
2023-06-26 12:15:45,50,50
2023-06-26 12:16:00,50,50
2023-06-26 12:16:15,50,50
2023-06-26 12:16:30,50,50
2023-06-26 12:16:45,50,50
2023-06-26 12:17:00,50,50
2023-06-26 12:17:15,50,50
2023-06-26 12:17:30,50,50
2023-06-26 12:17:45,50,50
2023-06-26 12:18:00,50,50
2023-06-26 12:18:15,50,50
2023-06-26 12:18:30,50,50
2023-06-26 12:18:45,50,50

