"Time","emqx-0","Used Memory"
2023-06-23 20:16:30,3.06 GB,3.06 GB
2023-06-23 20:16:45,3.04 GB,3.04 GB
2023-06-23 20:17:00,3.03 GB,3.03 GB
2023-06-23 20:17:15,3.04 GB,3.04 GB
2023-06-23 20:17:30,3.03 GB,3.03 GB
2023-06-23 20:17:45,3.03 GB,3.03 GB
2023-06-23 20:18:00,3.03 GB,3.03 GB
2023-06-23 20:18:15,3.03 GB,3.03 GB
2023-06-23 20:18:30,3.03 GB,3.03 GB
2023-06-23 20:18:45,3.03 GB,3.03 GB
2023-06-23 20:19:00,3.03 GB,3.03 GB
2023-06-23 20:19:15,3.03 GB,3.03 GB
2023-06-23 20:19:30,3.04 GB,3.04 GB
2023-06-23 20:19:45,3.03 GB,3.03 GB
2023-06-23 20:20:00,3.06 GB,3.06 GB
2023-06-23 20:20:15,3.08 GB,3.08 GB
2023-06-23 20:20:30,3.12 GB,3.12 GB
2023-06-23 20:20:45,3.14 GB,3.14 GB
2023-06-23 20:21:00,3.17 GB,3.17 GB
2023-06-23 20:21:15,3.21 GB,3.21 GB
2023-06-23 20:21:30,3.27 GB,3.27 GB
2023-06-23 20:21:45,3.30 GB,3.30 GB
2023-06-23 20:22:00,3.31 GB,3.31 GB
2023-06-23 20:22:15,3.33 GB,3.33 GB
2023-06-23 20:22:30,3.33 GB,3.33 GB
2023-06-23 20:22:45,3.37 GB,3.37 GB
2023-06-23 20:23:00,3.40 GB,3.40 GB
2023-06-23 20:23:15,3.44 GB,3.44 GB
2023-06-23 20:23:30,3.50 GB,3.50 GB
2023-06-23 20:23:45,3.55 GB,3.55 GB
2023-06-23 20:24:00,3.57 GB,3.57 GB
2023-06-23 20:24:15,3.59 GB,3.59 GB
2023-06-23 20:24:30,3.66 GB,3.66 GB
2023-06-23 20:24:45,3.69 GB,3.69 GB
2023-06-23 20:25:00,3.72 GB,3.72 GB
2023-06-23 20:25:15,3.73 GB,3.73 GB
2023-06-23 20:25:30,3.75 GB,3.75 GB
2023-06-23 20:25:45,3.75 GB,3.75 GB
2023-06-23 20:26:00,3.77 GB,3.77 GB
2023-06-23 20:26:15,3.78 GB,3.78 GB
2023-06-23 20:26:30,3.79 GB,3.79 GB
2023-06-23 20:26:45,3.81 GB,3.81 GB
2023-06-23 20:27:00,3.83 GB,3.83 GB
2023-06-23 20:27:15,3.80 GB,3.80 GB
