"Time","emqx-0"
2023-07-15 19:42:30,66
2023-07-15 19:42:45,4536
2023-07-15 19:43:00,25231
2023-07-15 19:43:15,40340
2023-07-15 19:43:30,87116
2023-07-15 19:43:45,116577
2023-07-15 19:44:00,191784
2023-07-15 19:44:15,234636
2023-07-15 19:44:30,336378
2023-07-15 19:44:45,393951
2023-07-15 19:45:00,520797
2023-07-15 19:45:15,592401
2023-07-15 19:45:30,745838
2023-07-15 19:45:45,830557
2023-07-15 19:46:00,1012729
2023-07-15 19:46:15,1109717
2023-07-15 19:46:30,1319851
2023-07-15 19:46:45,1430684
2023-07-15 19:47:00,1668837
2023-07-15 19:47:15,1792644
2023-07-15 19:47:30,2058989
2023-07-15 19:47:45,2197377
2023-07-15 19:48:00,2488714
2023-07-15 19:48:15,2641684
2023-07-15 19:48:30,2959377
2023-07-15 19:48:45,3125841
2023-07-15 19:49:00,3470813
2023-07-15 19:49:15,3650935
2023-07-15 19:49:30,4024270
2023-07-15 19:49:45,4217663
2023-07-15 19:50:00,4619408
2023-07-15 19:50:15,4825363
2023-07-15 19:50:30,5257454
2023-07-15 19:50:45,5477122
2023-07-15 19:51:00,5936410
2023-07-15 19:51:15,6170962
2023-07-15 19:51:30,6655110
2023-07-15 19:51:45,6902950
2023-07-15 19:52:00,7414957
2023-07-15 19:52:15,7676557
2023-07-15 19:52:30,8211995
2023-07-15 19:52:45,8487851
2023-07-15 19:53:00,9046660
2023-07-15 19:53:15,9332206
2023-07-15 19:53:30,9831756
2023-07-15 19:53:45,10044484
2023-07-15 19:54:00,10449426
2023-07-15 19:55:30,12265013
2023-07-15 19:55:45,12465377
2023-07-15 19:56:00,12893712
2023-07-15 19:56:15,13096290
2023-07-15 19:58:00,15489028
2023-07-15 19:58:15,15678688
2023-07-15 19:58:45,16330706
2023-07-15 19:59:00,16763405
2023-07-15 20:00:30,18799826
2023-07-15 20:00:45,19092509
2023-07-15 20:01:00,19092509
2023-07-15 20:01:15,19092509
2023-07-15 20:01:30,20148224
2023-07-15 20:03:45,23315123
2023-07-15 20:04:00,23852022
2023-07-15 20:04:15,24121351
2023-07-15 20:04:30,24653831
2023-07-15 20:05:00,25445578
2023-07-15 20:05:15,25692372
2023-07-15 20:05:30,26196108
2023-07-15 20:05:45,26441351
2023-07-15 20:06:00,26919911
2023-07-15 20:06:15,27152406
2023-07-15 20:06:30,27610474
2023-07-15 20:06:45,27831492
2023-07-15 20:07:00,28262731
2023-07-15 20:07:15,28471359
2023-07-15 20:07:30,28879054
2023-07-15 20:07:45,29075414
2023-07-15 20:08:00,29456497
2023-07-15 20:08:15,29639916
2023-07-15 20:08:30,29994743
2023-07-15 20:08:45,30163157
2023-07-15 20:09:00,30491448
2023-07-15 20:09:15,30648018
2023-07-15 20:09:30,30947995
2023-07-15 20:09:45,31090295
2023-07-15 20:10:00,31364989
2023-07-15 20:10:15,31493538
2023-07-15 20:10:30,31739959
2023-07-15 20:10:45,31856128
2023-07-15 20:11:00,32075311
2023-07-15 20:11:15,32177095
2023-07-15 20:11:30,32370249
2023-07-15 20:11:45,32459066
2023-07-15 20:12:00,32625358
2023-07-15 20:12:15,32701376
2023-07-15 20:12:30,32844724
2023-07-15 20:12:45,32912300
2023-07-15 20:13:00,33045693
2023-07-15 20:13:15,33107211
2023-07-15 20:13:30,33228992
2023-07-15 20:13:45,33285538
2023-07-15 20:14:00,33394044
2023-07-15 20:14:15,33445609
2023-07-15 20:14:30,33548209
2023-07-15 20:14:45,33596520
2023-07-15 20:15:00,33694422
2023-07-15 20:15:15,33741461
2023-07-15 20:15:30,33834827
2023-07-15 20:15:45,33879930
2023-07-15 20:16:00,33970515
2023-07-15 20:16:15,34013226
2023-07-15 20:16:30,34100404
2023-07-15 20:16:45,34141910
2023-07-15 20:17:00,34224462
2023-07-15 20:17:15,34264358
2023-07-15 20:17:30,34344099
2023-07-15 20:17:45,34381488
2023-07-15 20:18:00,34457910
2023-07-15 20:18:15,34494003
2023-07-15 20:18:30,34565701
2023-07-15 20:18:45,34600217
2023-07-15 20:19:00,34669034
2023-07-15 20:19:15,34700950
2023-07-15 20:19:30,34766559
2023-07-15 20:19:45,34797092
2023-07-15 20:20:00,34857978
2023-07-15 20:20:15,34887128
2023-07-15 20:20:30,34945059
2023-07-15 20:20:45,34971612
2023-07-15 20:21:00,35026527
2023-07-15 20:21:15,35051569
2023-07-15 20:21:30,35101756
2023-07-15 20:21:45,35125545
2023-07-15 20:22:00,35172515
2023-07-15 20:22:15,35193709
2023-07-15 20:22:30,35237845
2023-07-15 20:22:45,35257497
2023-07-15 20:23:00,35296963
2023-07-15 20:23:15,35315348
2023-07-15 20:23:30,35351426
2023-07-15 20:23:45,35367301
2023-07-15 20:24:00,35400556
2023-07-15 20:24:15,35414678
2023-07-15 20:24:30,35443383
2023-07-15 20:24:45,35456291
2023-07-15 20:25:00,35481171
2023-07-15 20:25:15,35491726
2023-07-15 20:25:30,35514118
2023-07-15 20:25:45,35522791
2023-07-15 20:26:00,35540766
2023-07-15 20:26:15,35548686
2023-07-15 20:26:30,35566641
2023-07-15 20:26:45,35574558
2023-07-15 20:27:00,35592514
2023-07-15 20:27:15,35600433
2023-07-15 20:27:30,35618385
2023-07-15 20:27:45,35626307
2023-07-15 20:28:00,35644260
2023-07-15 20:28:15,35652182

