"Time","total"
2023-07-15 19:42:30,12
2023-07-15 19:42:45,13
2023-07-15 19:43:00,16
2023-07-15 19:43:15,16
2023-07-15 19:43:30,20
2023-07-15 19:43:45,20
2023-07-15 19:44:00,24
2023-07-15 19:44:15,24
2023-07-15 19:44:30,29
2023-07-15 19:44:45,29
2023-07-15 19:45:00,32
2023-07-15 19:45:15,33
2023-07-15 19:45:30,36
2023-07-15 19:45:45,37
2023-07-15 19:46:00,40
2023-07-15 19:46:15,42
2023-07-15 19:46:30,44
2023-07-15 19:46:45,45
2023-07-15 19:47:00,49
2023-07-15 19:47:15,49
2023-07-15 19:47:30,53
2023-07-15 19:47:45,53
2023-07-15 19:48:00,57
2023-07-15 19:48:15,58
2023-07-15 19:48:30,60
2023-07-15 19:48:45,61
2023-07-15 19:49:00,65
2023-07-15 19:49:15,66
2023-07-15 19:49:30,67
2023-07-15 19:49:45,70
2023-07-15 19:50:00,72
2023-07-15 19:50:15,74
2023-07-15 19:50:30,76
2023-07-15 19:50:45,78
2023-07-15 19:51:00,80
2023-07-15 19:51:15,82
2023-07-15 19:51:30,85
2023-07-15 19:51:45,86
2023-07-15 19:52:00,89
2023-07-15 19:52:15,90
2023-07-15 19:52:30,93
2023-07-15 19:52:45,95
2023-07-15 19:53:00,96
2023-07-15 19:53:15,98
2023-07-15 19:53:30,101
2023-07-15 19:53:45,101
2023-07-15 19:54:00,103
2023-07-15 19:55:30,105
2023-07-15 19:55:45,98
2023-07-15 19:56:00,106
2023-07-15 19:56:15,107
2023-07-15 19:58:00,111
2023-07-15 19:58:15,109
2023-07-15 19:58:45,112
2023-07-15 19:59:00,107
2023-07-15 20:00:30,118
2023-07-15 20:00:45,116
2023-07-15 20:01:00,116
2023-07-15 20:01:15,116
2023-07-15 20:01:30,119
2023-07-15 20:03:45,125
2023-07-15 20:04:00,125
2023-07-15 20:04:15,125
2023-07-15 20:04:30,125
2023-07-15 20:05:00,125
2023-07-15 20:05:15,125
2023-07-15 20:05:30,125
2023-07-15 20:05:45,125
2023-07-15 20:06:00,125
2023-07-15 20:06:15,125
2023-07-15 20:06:30,125
2023-07-15 20:06:45,125
2023-07-15 20:07:00,125
2023-07-15 20:07:15,125
2023-07-15 20:07:30,125
2023-07-15 20:07:45,125
2023-07-15 20:08:00,125
2023-07-15 20:08:15,125
2023-07-15 20:08:30,125
2023-07-15 20:08:45,125
2023-07-15 20:09:00,125
2023-07-15 20:09:15,125
2023-07-15 20:09:30,125
2023-07-15 20:09:45,125
2023-07-15 20:10:00,125
2023-07-15 20:10:15,125
2023-07-15 20:10:30,125
2023-07-15 20:10:45,125
2023-07-15 20:11:00,125
2023-07-15 20:11:15,125
2023-07-15 20:11:30,125
2023-07-15 20:11:45,125
2023-07-15 20:12:00,125
2023-07-15 20:12:15,125
2023-07-15 20:12:30,125
2023-07-15 20:12:45,125
2023-07-15 20:13:00,125
2023-07-15 20:13:15,125
2023-07-15 20:13:30,125
2023-07-15 20:13:45,125
2023-07-15 20:14:00,125
2023-07-15 20:14:15,125
2023-07-15 20:14:30,125
2023-07-15 20:14:45,125
2023-07-15 20:15:00,125
2023-07-15 20:15:15,125
2023-07-15 20:15:30,125
2023-07-15 20:15:45,125
2023-07-15 20:16:00,125
2023-07-15 20:16:15,125
2023-07-15 20:16:30,125
2023-07-15 20:16:45,125
2023-07-15 20:17:00,125
2023-07-15 20:17:15,125
2023-07-15 20:17:30,125
2023-07-15 20:17:45,125
2023-07-15 20:18:00,125
2023-07-15 20:18:15,125
2023-07-15 20:18:30,125
2023-07-15 20:18:45,125
2023-07-15 20:19:00,125
2023-07-15 20:19:15,125
2023-07-15 20:19:30,125
2023-07-15 20:19:45,125
2023-07-15 20:20:00,125
2023-07-15 20:20:15,125
2023-07-15 20:20:30,125
2023-07-15 20:20:45,125
2023-07-15 20:21:00,125
2023-07-15 20:21:15,125
2023-07-15 20:21:30,125
2023-07-15 20:21:45,125
2023-07-15 20:22:00,125
2023-07-15 20:22:15,125
2023-07-15 20:22:30,125
2023-07-15 20:22:45,125
2023-07-15 20:23:00,125
2023-07-15 20:23:15,125
2023-07-15 20:23:30,125
2023-07-15 20:23:45,125
2023-07-15 20:24:00,125
2023-07-15 20:24:15,125
2023-07-15 20:24:30,125
2023-07-15 20:24:45,125
2023-07-15 20:25:00,125
2023-07-15 20:25:15,125
2023-07-15 20:25:30,125
2023-07-15 20:25:45,125
2023-07-15 20:26:00,125
2023-07-15 20:26:15,125
2023-07-15 20:26:30,125
2023-07-15 20:26:45,125
2023-07-15 20:27:00,125
2023-07-15 20:27:15,125
2023-07-15 20:27:30,125
2023-07-15 20:27:45,125
2023-07-15 20:28:00,125
2023-07-15 20:28:15,125

