"Time","emqx-0"
2023-07-17 21:07:00,1.71 GB
2023-07-17 21:07:15,1.70 GB
2023-07-17 21:07:30,1.70 GB
2023-07-17 21:07:45,1.71 GB
2023-07-17 21:08:00,1.72 GB
2023-07-17 21:08:15,1.73 GB
2023-07-17 21:08:30,1.76 GB
2023-07-17 21:08:45,1.77 GB
2023-07-17 21:09:00,1.83 GB
2023-07-17 21:09:15,1.84 GB
2023-07-17 21:09:30,1.87 GB
2023-07-17 21:09:45,1.92 GB
2023-07-17 21:10:00,2.03 GB
2023-07-17 21:10:15,2.06 GB
2023-07-17 21:10:30,2.11 GB
2023-07-17 21:10:45,2.13 GB
2023-07-17 21:11:00,2.12 GB
2023-07-17 21:11:15,2.14 GB
2023-07-17 21:11:30,2.16 GB
2023-07-17 21:11:45,2.16 GB
2023-07-17 21:12:00,2.17 GB
2023-07-17 21:12:15,2.18 GB
2023-07-17 21:12:30,2.23 GB
2023-07-17 21:12:45,2.24 GB
2023-07-17 21:13:00,2.29 GB
2023-07-17 21:13:15,2.32 GB
2023-07-17 21:13:30,2.36 GB
2023-07-17 21:13:45,2.39 GB
2023-07-17 21:14:00,2.40 GB
2023-07-17 21:14:15,2.42 GB
2023-07-17 21:14:30,2.43 GB
2023-07-17 21:14:45,2.46 GB
2023-07-17 21:15:00,2.47 GB
2023-07-17 21:15:15,2.48 GB
2023-07-17 21:15:30,2.54 GB
2023-07-17 21:15:45,2.58 GB
2023-07-17 21:16:00,2.67 GB
2023-07-17 21:16:15,2.33 GB
2023-07-17 21:16:30,2.49 GB
2023-07-17 21:16:45,2.57 GB
2023-07-17 21:17:00,2.66 GB
2023-07-17 21:17:15,2.76 GB
2023-07-17 21:17:30,2.89 GB
2023-07-17 21:17:45,2.92 GB
2023-07-17 21:18:00,2.94 GB
2023-07-17 21:18:15,2.93 GB
2023-07-17 21:18:30,2.95 GB
2023-07-17 21:18:45,2.95 GB
2023-07-17 21:19:00,2.98 GB
2023-07-17 21:19:15,3.01 GB
2023-07-17 21:19:30,3.15 GB
2023-07-17 21:19:45,3.20 GB
2023-07-17 21:20:00,3.19 GB
2023-07-17 21:20:15,3.23 GB
2023-07-17 21:20:30,3.25 GB
2023-07-17 21:20:45,3.29 GB
2023-07-17 21:21:00,3.30 GB
2023-07-17 21:21:15,3.35 GB
2023-07-17 21:21:30,3.44 GB
2023-07-17 21:21:45,3.53 GB
2023-07-17 21:22:00,3.72 GB
2023-07-17 21:22:15,3.73 GB
2023-07-17 21:22:30,3.75 GB
2023-07-17 21:23:00,3.82 GB
2023-07-17 21:23:15,3.65 GB
2023-07-17 21:23:30,3.69 GB
2023-07-17 21:23:45,3.69 GB
2023-07-17 21:24:00,3.75 GB
2023-07-17 21:24:30,3.73 GB
2023-07-17 21:24:45,3.73 GB
2023-07-17 21:25:00,3.77 GB
2023-07-17 21:25:15,3.77 GB
2023-07-17 21:26:00,3.68 GB
2023-07-17 21:26:15,3.73 GB
2023-07-17 21:26:30,3.70 GB
2023-07-17 21:26:45,3.70 GB
2023-07-17 21:27:15,3.66 GB
2023-07-17 21:27:30,3.62 GB
2023-07-17 21:27:45,3.63 GB
2023-07-17 21:28:00,3.60 GB
2023-07-17 21:28:15,3.61 GB
2023-07-17 21:28:30,3.59 GB
2023-07-17 21:28:45,3.60 GB
2023-07-17 21:29:00,3.58 GB
2023-07-17 21:29:15,3.59 GB
2023-07-17 21:29:30,3.58 GB
2023-07-17 21:29:45,3.57 GB
2023-07-17 21:30:00,3.56 GB
2023-07-17 21:30:15,3.57 GB
2023-07-17 21:30:30,3.57 GB
2023-07-17 21:30:45,3.57 GB
2023-07-17 21:31:00,3.57 GB
2023-07-17 21:31:15,2.62 GB
2023-07-17 21:31:30,2.82 GB
2023-07-17 21:31:45,2.97 GB
2023-07-17 21:32:00,3.04 GB
2023-07-17 21:32:15,3.06 GB
2023-07-17 21:32:30,3.09 GB
2023-07-17 21:32:45,3.11 GB
2023-07-17 21:33:00,3.10 GB
2023-07-17 21:33:15,3.10 GB
2023-07-17 21:33:30,3.10 GB
2023-07-17 21:33:45,3.13 GB
2023-07-17 21:34:00,3.14 GB
2023-07-17 21:34:15,3.15 GB
2023-07-17 21:34:30,3.15 GB
2023-07-17 21:34:45,3.16 GB
2023-07-17 21:35:00,3.14 GB
2023-07-17 21:35:15,3.16 GB
2023-07-17 21:35:30,3.15 GB
2023-07-17 21:35:45,3.16 GB
2023-07-17 21:36:00,3.16 GB
2023-07-17 21:36:15,3.15 GB
2023-07-17 21:36:30,3.16 GB
2023-07-17 21:36:45,3.16 GB
2023-07-17 21:37:00,3.16 GB
2023-07-17 21:37:15,3.15 GB
2023-07-17 21:37:30,3.15 GB
2023-07-17 21:37:45,3.16 GB
2023-07-17 21:38:00,3.16 GB
2023-07-17 21:38:15,3.16 GB
2023-07-17 21:38:30,3.16 GB
2023-07-17 21:38:45,3.16 GB
2023-07-17 21:39:00,3.14 GB
2023-07-17 21:39:15,3.15 GB
2023-07-17 21:39:30,3.15 GB
2023-07-17 21:39:45,3.15 GB
2023-07-17 21:40:00,3.16 GB
2023-07-17 21:40:15,3.15 GB
2023-07-17 21:40:30,3.15 GB
2023-07-17 21:40:45,3.16 GB
2023-07-17 21:41:00,3.17 GB
2023-07-17 21:41:15,3.17 GB
2023-07-17 21:41:30,3.18 GB
2023-07-17 21:41:45,3.18 GB
2023-07-17 21:42:00,3.17 GB
2023-07-17 21:42:15,3.19 GB
2023-07-17 21:42:30,3.20 GB
2023-07-17 21:42:45,3.20 GB
2023-07-17 21:43:00,3.20 GB
2023-07-17 21:43:15,3.20 GB
2023-07-17 21:43:30,3.21 GB
2023-07-17 21:43:45,3.21 GB
2023-07-17 21:44:00,3.22 GB
2023-07-17 21:44:15,3.22 GB
2023-07-17 21:44:30,3.22 GB
2023-07-17 21:44:45,3.23 GB
2023-07-17 21:45:00,3.22 GB
2023-07-17 21:45:15,3.22 GB
2023-07-17 21:45:30,3.22 GB
2023-07-17 21:45:45,3.22 GB
2023-07-17 21:46:00,3.22 GB
2023-07-17 21:46:15,2.40 GB
2023-07-17 21:46:30,2.41 GB
2023-07-17 21:46:45,2.54 GB
2023-07-17 21:47:00,2.69 GB
2023-07-17 21:47:15,2.76 GB
2023-07-17 21:47:30,2.83 GB
2023-07-17 21:47:45,2.88 GB
2023-07-17 21:48:00,2.93 GB
2023-07-17 21:48:15,2.98 GB
2023-07-17 21:48:30,3.06 GB
2023-07-17 21:48:45,3.10 GB
2023-07-17 21:49:00,3.06 GB
2023-07-17 21:49:15,3.08 GB
2023-07-17 21:49:30,3.09 GB
2023-07-17 21:49:45,3.07 GB
2023-07-17 21:50:00,3.01 GB
2023-07-17 21:50:15,3.03 GB
2023-07-17 21:50:30,3.03 GB
2023-07-17 21:50:45,3.04 GB
2023-07-17 21:51:00,3.08 GB
2023-07-17 21:51:15,3.08 GB
2023-07-17 21:51:30,3.10 GB
2023-07-17 21:51:45,3.10 GB
2023-07-17 21:52:00,3.12 GB
2023-07-17 21:52:15,3.12 GB
2023-07-17 21:52:30,3.09 GB
2023-07-17 21:52:45,3.10 GB
2023-07-17 21:53:00,3.08 GB
2023-07-17 21:53:15,3.08 GB
2023-07-17 21:53:30,3.09 GB
2023-07-17 21:53:45,3.08 GB
2023-07-17 21:54:00,3.08 GB
2023-07-17 21:54:15,3.08 GB
2023-07-17 21:54:30,3.07 GB
2023-07-17 21:54:45,3.07 GB
2023-07-17 21:55:00,3.07 GB
2023-07-17 21:55:15,3.08 GB
2023-07-17 21:55:30,3.08 GB
2023-07-17 21:55:45,3.07 GB
2023-07-17 21:56:00,3.05 GB
2023-07-17 21:56:15,3.05 GB
2023-07-17 21:56:30,3.06 GB
2023-07-17 21:56:45,3.06 GB
2023-07-17 21:57:00,3.06 GB
2023-07-17 21:57:15,3.06 GB
2023-07-17 21:57:30,3.05 GB
2023-07-17 21:57:45,3.06 GB
2023-07-17 21:58:00,3.06 GB
2023-07-17 21:58:15,3.06 GB
2023-07-17 21:58:30,3.06 GB
2023-07-17 21:58:45,3.07 GB
2023-07-17 21:59:00,3.06 GB
2023-07-17 21:59:15,3.06 GB
2023-07-17 21:59:30,3.03 GB
2023-07-17 21:59:45,3.04 GB
2023-07-17 22:00:00,3.03 GB
2023-07-17 22:00:15,3.03 GB
2023-07-17 22:00:30,3.03 GB
2023-07-17 22:00:45,3.03 GB
2023-07-17 22:01:00,3.02 GB
2023-07-17 22:01:15,2.24 GB
2023-07-17 22:01:30,2.32 GB
2023-07-17 22:01:45,2.47 GB
2023-07-17 22:02:00,2.62 GB
2023-07-17 22:02:15,2.71 GB
2023-07-17 22:02:30,2.77 GB
2023-07-17 22:02:45,2.80 GB
2023-07-17 22:03:00,2.85 GB
2023-07-17 22:03:15,2.87 GB
2023-07-17 22:03:30,2.94 GB
2023-07-17 22:03:45,2.99 GB
2023-07-17 22:04:00,2.98 GB
2023-07-17 22:04:15,2.95 GB
2023-07-17 22:04:30,2.97 GB
2023-07-17 22:04:45,2.97 GB
2023-07-17 22:05:00,2.91 GB
2023-07-17 22:05:15,2.89 GB
2023-07-17 22:05:30,2.91 GB
2023-07-17 22:05:45,2.91 GB
2023-07-17 22:06:00,2.95 GB
2023-07-17 22:06:15,2.97 GB
2023-07-17 22:06:30,2.98 GB
2023-07-17 22:06:45,2.99 GB
2023-07-17 22:07:00,3.01 GB

