"Time","emqx-0","emqx-1"
2023-06-26 15:23:30,0,0
2023-06-26 15:23:45,0,0
2023-06-26 15:24:00,0,0
2023-06-26 15:24:15,0,0
2023-06-26 15:24:30,0,0
2023-06-26 15:24:45,0,0
2023-06-26 15:25:00,0,0
2023-06-26 15:25:15,0,0
2023-06-26 15:25:30,0,0
2023-06-26 15:25:45,0,0
2023-06-26 15:26:00,0,0
2023-06-26 15:26:15,0,0
2023-06-26 15:26:30,0,0
2023-06-26 15:26:45,0,0
2023-06-26 15:27:00,0,0
2023-06-26 15:27:15,0,0
2023-06-26 15:27:30,0,0
2023-06-26 15:27:45,0,0
2023-06-26 15:28:00,0,0
2023-06-26 15:28:15,2,3
2023-06-26 15:28:30,2,3
2023-06-26 15:28:45,4,4
2023-06-26 15:29:00,4,6
2023-06-26 15:29:15,115,76
2023-06-26 15:29:30,226,333
2023-06-26 15:29:45,474,454
2023-06-26 15:30:00,649,818
2023-06-26 15:30:15,988,987
2023-06-26 15:30:30,1152,1293
2023-06-26 15:30:45,1455,1448
2023-06-26 15:31:00,1686,1799
2023-06-26 15:31:15,1957,1940
2023-06-26 15:31:30,2144,2267
2023-06-26 15:31:45,2467,2462
2023-06-26 15:32:00,2628,2740
2023-06-26 15:32:15,2928,2938
2023-06-26 15:32:30,3130,3279
2023-06-26 15:32:45,3384,3432
2023-06-26 15:33:00,3589,3761
2023-06-26 15:33:15,3911,3965
2023-06-26 15:33:30,4066,4224
2023-06-26 15:33:45,4422,4430
2023-06-26 15:34:00,4610,4708
2023-06-26 15:34:15,4790,4795
2023-06-26 15:34:30,4887,4945
2023-06-26 15:34:45,4943,4975
2023-06-26 15:35:00,4943,5001
2023-06-26 15:35:15,5025,5038
2023-06-26 15:35:30,5044,5078
2023-06-26 15:35:45,5064,5098
2023-06-26 15:36:00,5101,5185
2023-06-26 15:36:15,5130,5200
2023-06-26 15:36:30,5135,5201
2023-06-26 15:36:45,5139,5201
2023-06-26 15:37:00,5139,5201
2023-06-26 15:37:15,5140,5202
2023-06-26 15:37:30,5142,5208
2023-06-26 15:37:45,5142,5208
2023-06-26 15:38:00,5142,5208
2023-06-26 15:38:15,5142,5208
2023-06-26 15:38:30,5142,5208
2023-06-26 15:38:45,5142,5208
2023-06-26 15:39:00,5142,5208
2023-06-26 15:39:15,5142,5208
2023-06-26 15:39:30,5142,5208
2023-06-26 15:39:45,5142,5208
2023-06-26 15:40:00,5142,5208
2023-06-26 15:40:15,5142,5208
2023-06-26 15:40:30,5142,5208
2023-06-26 15:40:45,5142,5208
2023-06-26 15:41:00,5142,5208
2023-06-26 15:41:15,5142,5208
2023-06-26 15:41:30,5142,5208
2023-06-26 15:41:45,5142,5208
2023-06-26 15:42:00,5142,5208
2023-06-26 15:42:15,5142,5208
2023-06-26 15:42:30,5142,5208
2023-06-26 15:42:45,5142,5208
2023-06-26 15:43:00,5142,5208
2023-06-26 15:43:15,5142,5208
2023-06-26 15:43:30,5142,5208
2023-06-26 15:43:45,5142,5208
2023-06-26 15:44:00,5142,5208
2023-06-26 15:44:15,5142,5208
2023-06-26 15:44:30,5142,5208
2023-06-26 15:44:45,5142,5208
2023-06-26 15:45:00,5142,5208
2023-06-26 15:45:15,5142,5208
2023-06-26 15:45:30,5142,5208
2023-06-26 15:45:45,5142,5208
2023-06-26 15:46:00,5142,5208
2023-06-26 15:46:15,5142,5208
2023-06-26 15:46:30,5142,5208
2023-06-26 15:46:45,5142,5208
2023-06-26 15:47:00,5142,5208
2023-06-26 15:47:15,5142,5208
2023-06-26 15:47:30,5142,5208
2023-06-26 15:47:45,5142,5208
2023-06-26 15:48:00,5142,5208
2023-06-26 15:48:15,5142,5208
2023-06-26 15:48:30,5142,5208
2023-06-26 15:48:45,5142,5208
2023-06-26 15:49:00,5142,5208
2023-06-26 15:49:15,5142,5208
2023-06-26 15:49:30,5142,5208
2023-06-26 15:49:45,5142,5208
2023-06-26 15:50:00,5142,5208
2023-06-26 15:50:15,5142,5208
2023-06-26 15:50:30,5142,5208
2023-06-26 15:50:45,5142,5208
2023-06-26 15:51:00,5142,5208
2023-06-26 15:51:15,5142,5208
2023-06-26 15:51:30,5142,5208
2023-06-26 15:51:45,5142,5208
2023-06-26 15:52:00,5142,5208
2023-06-26 15:52:15,5142,5208
2023-06-26 15:52:30,5142,5208
2023-06-26 15:52:45,5142,5208
2023-06-26 15:53:00,5142,5208
2023-06-26 15:53:15,5142,5208
2023-06-26 15:53:30,5142,5208
2023-06-26 15:53:45,5142,5208
2023-06-26 15:54:00,5142,5208
2023-06-26 15:54:15,5142,5208
2023-06-26 15:54:30,5142,5208
2023-06-26 15:54:45,5142,5208
2023-06-26 15:55:00,5142,5208
2023-06-26 15:55:15,5142,5208
2023-06-26 15:55:30,5142,5208
2023-06-26 15:55:45,5142,5208
2023-06-26 15:56:00,5142,5208
2023-06-26 15:56:15,5142,5208
2023-06-26 15:56:30,5142,5208
2023-06-26 15:56:45,5142,5208
2023-06-26 15:57:00,5142,5208
2023-06-26 15:57:15,5142,5208
2023-06-26 15:57:30,5142,5208
2023-06-26 15:57:45,5142,5208
2023-06-26 15:58:00,5142,5208
2023-06-26 15:58:15,5142,5208
2023-06-26 15:58:30,5142,5208
2023-06-26 15:58:45,5142,5208
2023-06-26 15:59:00,5142,5208
2023-06-26 15:59:15,5142,5208
2023-06-26 15:59:30,5142,5208
2023-06-26 15:59:45,5142,5208
2023-06-26 16:00:00,5142,5208
2023-06-26 16:00:15,5142,5208
2023-06-26 16:00:30,5142,5208
2023-06-26 16:00:45,5142,5208
2023-06-26 16:01:00,5142,5208
2023-06-26 16:01:15,5142,5208
2023-06-26 16:01:30,5142,5208
2023-06-26 16:01:45,5142,5208
2023-06-26 16:02:00,5142,5208
2023-06-26 16:02:15,5142,5208
2023-06-26 16:02:30,5142,5208
2023-06-26 16:02:45,5142,5208
2023-06-26 16:03:00,5142,5208
2023-06-26 16:03:15,5142,5208
2023-06-26 16:03:30,5142,5208
2023-06-26 16:03:45,5142,5208
2023-06-26 16:04:00,5142,5208
2023-06-26 16:04:15,5142,5208
2023-06-26 16:04:30,5142,5208

