"Time","emqx-0","emqx-1"
2023-06-26 15:23:30,0,0
2023-06-26 15:23:45,0,0
2023-06-26 15:24:00,0,0
2023-06-26 15:24:15,0,0
2023-06-26 15:24:30,0,0
2023-06-26 15:24:45,0,0
2023-06-26 15:25:00,0,0
2023-06-26 15:25:15,0,0
2023-06-26 15:25:30,0,0
2023-06-26 15:25:45,0,0
2023-06-26 15:26:00,0,0
2023-06-26 15:26:15,0,0
2023-06-26 15:26:30,0,0
2023-06-26 15:26:45,0,0
2023-06-26 15:27:00,0,0
2023-06-26 15:27:15,0,0
2023-06-26 15:27:30,0,0
2023-06-26 15:27:45,0,0
2023-06-26 15:28:00,0,0
2023-06-26 15:28:15,4,6
2023-06-26 15:28:30,4,6
2023-06-26 15:28:45,10,11
2023-06-26 15:29:00,10,15
2023-06-26 15:29:15,1108,820
2023-06-26 15:29:30,4591,11320
2023-06-26 15:29:45,16161,18405
2023-06-26 15:30:00,25239,42877
2023-06-26 15:30:15,49475,58247
2023-06-26 15:30:30,65341,99083
2023-06-26 15:30:45,101362,122705
2023-06-26 15:31:00,122770,178773
2023-06-26 15:31:15,173457,210413
2023-06-26 15:31:30,200453,283316
2023-06-26 15:31:45,259469,325329
2023-06-26 15:32:00,291741,415350
2023-06-26 15:32:15,366243,463086
2023-06-26 15:32:30,408185,563550
2023-06-26 15:32:45,499716,616792
2023-06-26 15:33:00,549673,729965
2023-06-26 15:33:15,655279,791329
2023-06-26 15:33:30,711230,921799
2023-06-26 15:33:45,829003,989838
2023-06-26 15:34:00,894525,1131893
2023-06-26 15:34:15,1028959,1204565
2023-06-26 15:34:30,1100856,1353977
2023-06-26 15:34:45,1246831,1429686
2023-06-26 15:35:00,1320589,1581882
2023-06-26 15:35:15,1468045,1658926
2023-06-26 15:35:30,1542401,1814819
2023-06-26 15:35:45,1690871,1893619
2023-06-26 15:36:00,1765662,2053325
2023-06-26 15:36:15,1915137,2134221
2023-06-26 15:36:30,1990441,2295862
2023-06-26 15:36:45,2141423,2376801
2023-06-26 15:37:00,2217311,2538602
2023-06-26 15:37:15,2368416,2619557
2023-06-26 15:37:30,2444639,2781646
2023-06-26 15:37:45,2596457,2862442
2023-06-26 15:38:00,2672615,3023536
2023-06-26 15:38:15,2824315,3104255
2023-06-26 15:38:30,2900548,3265300
2023-06-26 15:38:45,3051785,3345441
2023-06-26 15:39:00,3127738,3505451
2023-06-26 15:39:15,3278830,3585563
2023-06-26 15:39:30,3354579,3745412
2023-06-26 15:39:45,3504652,3825282
2023-06-26 15:40:00,3579967,3984869
2023-06-26 15:40:15,3729775,4064746
2023-06-26 15:40:30,3804783,4223877
2023-06-26 15:40:45,3953731,4303317
2023-06-26 15:41:00,4028590,4462317
2023-06-26 15:41:15,4177503,4541653
2023-06-26 15:41:30,4252210,4699484
2023-06-26 15:41:45,4400737,4778478
2023-06-26 15:42:00,4475407,4936322
2023-06-26 15:42:15,4623405,5015112
2023-06-26 15:42:30,4697531,5172599
2023-06-26 15:42:45,4844859,5251336
2023-06-26 15:43:00,4918952,5408470
2023-06-26 15:43:15,5066049,5486582
2023-06-26 15:43:30,5139989,5642800
2023-06-26 15:43:45,5287075,5720965
2023-06-26 15:44:00,5360969,5876561
2023-06-26 15:44:15,5507842,5954022
2023-06-26 15:44:30,5581718,6108928
2023-06-26 15:44:45,5728387,6186413
2023-06-26 15:45:00,5801547,6341228
2023-06-26 15:45:15,5946838,6418649
2023-06-26 15:45:30,6019845,6573466
2023-06-26 15:45:45,6164909,6650810
2023-06-26 15:46:00,6237273,6804116
2023-06-26 15:46:15,6378292,6877868
2023-06-26 15:46:30,6446990,7020038
2023-06-26 15:46:45,6577712,7088503
2023-06-26 15:47:00,6640682,7217698
2023-06-26 15:47:15,6761246,7279847
2023-06-26 15:47:30,6819435,7394334
2023-06-26 15:47:45,6932562,7448116
2023-06-26 15:48:00,6986342,7548475
2023-06-26 15:48:15,7089531,7595162
2023-06-26 15:48:30,7139752,7681349
2023-06-26 15:48:45,7233249,7721069
2023-06-26 15:49:00,7277546,7797634
2023-06-26 15:49:15,7353927,7834219
2023-06-26 15:49:30,7389958,7903279
2023-06-26 15:49:45,7453272,7934456
2023-06-26 15:50:00,7483447,7990963
2023-06-26 15:50:15,7538115,8014391
2023-06-26 15:50:30,7563484,8056677
2023-06-26 15:50:45,7606239,8075181
2023-06-26 15:51:00,7625031,8109473
2023-06-26 15:51:15,7658503,8125558
2023-06-26 15:51:30,7673485,8156314
2023-06-26 15:51:45,7702704,8171704
2023-06-26 15:52:00,7717683,8202456
2023-06-26 15:52:15,7746907,8217848
2023-06-26 15:52:30,7761881,8248601
2023-06-26 15:52:45,7791097,8263991
2023-06-26 15:53:00,7806033,8294720
2023-06-26 15:53:15,7835261,8310127
2023-06-26 15:53:30,7850222,8340862
2023-06-26 15:53:45,7879424,8356241
2023-06-26 15:54:00,7894390,8386965
2023-06-26 15:54:15,7923356,8402345
2023-06-26 15:54:30,7937230,8432268
2023-06-26 15:54:45,7962661,8446998
2023-06-26 15:55:00,7975605,8475797
2023-06-26 15:55:15,8000149,8489187
2023-06-26 15:55:30,8012492,8514520
2023-06-26 15:55:45,8036021,8527150
2023-06-26 15:56:00,8047116,8551522
2023-06-26 15:56:15,8067203,8563552
2023-06-26 15:56:30,8077498,8586777
2023-06-26 15:56:45,8096698,8597279
2023-06-26 15:57:00,8106467,8617075
2023-06-26 15:57:15,8125118,8626715
2023-06-26 15:57:30,8134476,8643437
2023-06-26 15:57:45,8152132,8651314
2023-06-26 15:58:00,8161004,8666591
2023-06-26 15:58:15,8175818,8673872
2023-06-26 15:58:30,8183045,8688086
2023-06-26 15:58:45,8195860,8695055
2023-06-26 15:59:00,8201406,8708234
2023-06-26 15:59:15,8211047,8714754
2023-06-26 15:59:30,8215676,8727247
2023-06-26 15:59:45,8221958,8733199
2023-06-26 16:00:00,8225125,8744724
2023-06-26 16:00:15,8230269,8749774
2023-06-26 16:00:30,8232806,8757796
2023-06-26 16:00:45,8232806,8757796
2023-06-26 16:01:00,8239354,8767300
2023-06-26 16:01:15,8242657,8769132
2023-06-26 16:01:30,8244605,8772549
2023-06-26 16:01:45,8247800,8774347
2023-06-26 16:02:00,8249749,8777759
2023-06-26 16:02:15,8252952,8779560
2023-06-26 16:02:30,8254896,8782971
2023-06-26 16:02:45,8258097,8784778
2023-06-26 16:03:00,8260040,8788183
2023-06-26 16:03:15,8263243,8789991
2023-06-26 16:03:30,8265184,8793395
2023-06-26 16:03:45,8268390,8795202
2023-06-26 16:04:00,8270326,8798604
2023-06-26 16:04:15,8273534,8800414
2023-06-26 16:04:30,8275469,8803815

