"Time","emqx-0","emqx-1","Used Memory"
2023-06-26 15:23:30,1.83 GB,2.47 GB,4.29 GB
2023-06-26 15:23:45,1.82 GB,2.47 GB,4.29 GB
2023-06-26 15:24:00,1.82 GB,2.46 GB,4.29 GB
2023-06-26 15:24:15,1.82 GB,2.46 GB,4.29 GB
2023-06-26 15:24:30,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:24:45,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:25:00,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:25:15,1.82 GB,2.45 GB,4.27 GB
2023-06-26 15:25:30,1.82 GB,2.45 GB,4.27 GB
2023-06-26 15:25:45,1.82 GB,2.52 GB,4.34 GB
2023-06-26 15:26:00,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:26:15,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:26:30,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:26:45,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:27:00,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:27:15,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:27:30,1.81 GB,2.46 GB,4.27 GB
2023-06-26 15:27:45,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:28:00,1.82 GB,2.45 GB,4.27 GB
2023-06-26 15:28:15,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:28:30,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:28:45,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:29:00,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:29:15,1.82 GB,2.46 GB,4.28 GB
2023-06-26 15:29:30,1.83 GB,2.47 GB,4.30 GB
2023-06-26 15:29:45,1.85 GB,2.48 GB,4.33 GB
2023-06-26 15:30:00,1.86 GB,2.50 GB,4.36 GB
2023-06-26 15:30:15,1.88 GB,2.51 GB,4.40 GB
2023-06-26 15:30:30,1.90 GB,2.55 GB,4.45 GB
2023-06-26 15:30:45,1.93 GB,2.57 GB,4.50 GB
2023-06-26 15:31:00,1.94 GB,2.59 GB,4.53 GB
2023-06-26 15:31:15,1.94 GB,2.59 GB,4.53 GB
2023-06-26 15:31:30,1.96 GB,2.60 GB,4.56 GB
2023-06-26 15:31:45,2.03 GB,2.61 GB,4.64 GB
2023-06-26 15:32:00,2.06 GB,2.67 GB,4.73 GB
2023-06-26 15:32:15,2.08 GB,2.69 GB,4.78 GB
2023-06-26 15:32:30,2.10 GB,2.75 GB,4.85 GB
2023-06-26 15:32:45,2.12 GB,2.76 GB,4.88 GB
2023-06-26 15:33:00,2.14 GB,2.77 GB,4.91 GB
2023-06-26 15:33:15,2.14 GB,2.78 GB,4.92 GB
2023-06-26 15:33:30,2.14 GB,2.79 GB,4.94 GB
2023-06-26 15:33:45,2.17 GB,2.79 GB,4.96 GB
2023-06-26 15:34:00,2.20 GB,2.82 GB,5.03 GB
2023-06-26 15:34:15,2.21 GB,2.82 GB,5.03 GB
2023-06-26 15:34:30,2.21 GB,2.82 GB,5.03 GB
2023-06-26 15:34:45,2.21 GB,2.83 GB,5.04 GB
2023-06-26 15:35:00,2.21 GB,2.83 GB,5.04 GB
2023-06-26 15:35:15,2.23 GB,2.83 GB,5.06 GB
2023-06-26 15:35:30,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:35:45,2.24 GB,2.84 GB,5.08 GB
2023-06-26 15:36:00,2.24 GB,2.83 GB,5.08 GB
2023-06-26 15:36:15,2.22 GB,2.84 GB,5.07 GB
2023-06-26 15:36:30,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:36:45,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:37:00,2.24 GB,2.83 GB,5.07 GB
2023-06-26 15:37:15,2.23 GB,2.85 GB,5.08 GB
2023-06-26 15:37:30,2.24 GB,2.84 GB,5.07 GB
2023-06-26 15:37:45,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:38:00,2.24 GB,2.84 GB,5.08 GB
2023-06-26 15:38:15,2.13 GB,2.73 GB,4.86 GB
2023-06-26 15:38:30,2.16 GB,2.82 GB,4.98 GB
2023-06-26 15:38:45,2.17 GB,2.83 GB,5.01 GB
2023-06-26 15:39:00,2.19 GB,2.86 GB,5.04 GB
2023-06-26 15:39:15,2.20 GB,2.87 GB,5.08 GB
2023-06-26 15:39:30,2.23 GB,2.90 GB,5.13 GB
2023-06-26 15:39:45,2.25 GB,2.89 GB,5.14 GB
2023-06-26 15:40:00,2.24 GB,2.90 GB,5.14 GB
2023-06-26 15:40:15,2.24 GB,2.90 GB,5.14 GB
2023-06-26 15:40:30,2.24 GB,2.90 GB,5.14 GB
2023-06-26 15:40:45,2.25 GB,2.90 GB,5.14 GB
2023-06-26 15:41:00,2.24 GB,2.90 GB,5.14 GB
2023-06-26 15:41:15,2.24 GB,2.90 GB,5.14 GB
2023-06-26 15:41:30,2.24 GB,2.90 GB,5.14 GB
2023-06-26 15:41:45,2.25 GB,2.90 GB,5.15 GB
2023-06-26 15:42:00,2.24 GB,2.88 GB,5.11 GB
2023-06-26 15:42:15,2.22 GB,2.86 GB,5.07 GB
2023-06-26 15:42:30,2.21 GB,2.85 GB,5.06 GB
2023-06-26 15:42:45,2.21 GB,2.85 GB,5.06 GB
2023-06-26 15:43:00,2.22 GB,2.84 GB,5.05 GB
2023-06-26 15:43:15,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:43:30,2.24 GB,2.84 GB,5.08 GB
2023-06-26 15:43:45,2.24 GB,2.83 GB,5.08 GB
2023-06-26 15:44:00,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:44:15,2.25 GB,2.84 GB,5.08 GB
2023-06-26 15:44:30,2.25 GB,2.83 GB,5.08 GB
2023-06-26 15:44:45,2.25 GB,2.82 GB,5.08 GB
2023-06-26 15:45:00,2.24 GB,2.84 GB,5.07 GB
2023-06-26 15:45:15,2.25 GB,2.84 GB,5.09 GB
2023-06-26 15:45:30,2.25 GB,2.84 GB,5.09 GB
2023-06-26 15:45:45,2.25 GB,2.84 GB,5.09 GB
2023-06-26 15:46:00,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:46:15,2.24 GB,2.84 GB,5.08 GB
2023-06-26 15:46:30,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:46:45,2.25 GB,2.85 GB,5.09 GB
2023-06-26 15:47:00,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:47:15,2.24 GB,2.84 GB,5.08 GB
2023-06-26 15:47:30,2.24 GB,2.84 GB,5.08 GB
2023-06-26 15:47:45,2.24 GB,2.83 GB,5.06 GB
2023-06-26 15:48:00,2.23 GB,2.83 GB,5.07 GB
2023-06-26 15:48:15,2.24 GB,2.83 GB,5.08 GB
2023-06-26 15:48:30,2.24 GB,2.84 GB,5.08 GB
2023-06-26 15:48:45,2.24 GB,2.83 GB,5.07 GB
2023-06-26 15:49:00,2.24 GB,2.84 GB,5.09 GB
2023-06-26 15:49:15,2.24 GB,2.84 GB,5.07 GB
2023-06-26 15:49:30,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:49:45,2.24 GB,2.83 GB,5.08 GB
2023-06-26 15:50:00,2.24 GB,2.83 GB,5.07 GB
2023-06-26 15:50:15,2.24 GB,2.83 GB,5.07 GB
2023-06-26 15:50:30,2.23 GB,2.83 GB,5.07 GB
2023-06-26 15:50:45,2.24 GB,2.83 GB,5.07 GB
2023-06-26 15:51:00,2.23 GB,2.82 GB,5.05 GB
2023-06-26 15:51:15,2.23 GB,2.82 GB,5.05 GB
2023-06-26 15:51:30,2.23 GB,2.83 GB,5.06 GB
2023-06-26 15:51:45,2.23 GB,2.83 GB,5.05 GB
2023-06-26 15:52:00,2.23 GB,2.84 GB,5.07 GB
2023-06-26 15:52:15,2.23 GB,2.83 GB,5.06 GB
2023-06-26 15:52:30,2.23 GB,2.82 GB,5.05 GB
2023-06-26 15:52:45,2.23 GB,2.83 GB,5.05 GB
2023-06-26 15:53:00,2.23 GB,2.82 GB,5.05 GB
2023-06-26 15:53:15,2.13 GB,2.80 GB,4.93 GB
2023-06-26 15:53:30,2.07 GB,2.72 GB,4.79 GB
2023-06-26 15:53:45,2.13 GB,2.76 GB,4.88 GB
2023-06-26 15:54:00,2.14 GB,2.76 GB,4.90 GB
2023-06-26 15:54:15,2.15 GB,2.77 GB,4.92 GB
2023-06-26 15:54:30,2.15 GB,2.78 GB,4.93 GB
2023-06-26 15:54:45,2.16 GB,2.78 GB,4.94 GB
2023-06-26 15:55:00,2.16 GB,2.78 GB,4.94 GB
2023-06-26 15:55:15,2.18 GB,2.79 GB,4.98 GB
2023-06-26 15:55:30,2.19 GB,2.80 GB,4.99 GB
2023-06-26 15:55:45,2.21 GB,2.81 GB,5.01 GB
2023-06-26 15:56:00,2.21 GB,2.81 GB,5.03 GB
2023-06-26 15:56:15,2.20 GB,2.81 GB,5.01 GB
2023-06-26 15:56:30,2.21 GB,2.81 GB,5.02 GB
2023-06-26 15:56:45,2.23 GB,2.81 GB,5.04 GB
2023-06-26 15:57:00,2.22 GB,2.81 GB,5.03 GB
2023-06-26 15:57:15,2.22 GB,2.81 GB,5.03 GB
2023-06-26 15:57:30,2.22 GB,2.81 GB,5.03 GB
2023-06-26 15:57:45,2.22 GB,2.80 GB,5.01 GB
2023-06-26 15:58:00,2.21 GB,2.80 GB,5.02 GB
2023-06-26 15:58:15,2.22 GB,2.81 GB,5.02 GB
2023-06-26 15:58:30,2.21 GB,2.80 GB,5.01 GB
2023-06-26 15:58:45,2.22 GB,2.80 GB,5.01 GB
2023-06-26 15:59:00,2.22 GB,2.81 GB,5.03 GB
2023-06-26 15:59:15,2.22 GB,2.80 GB,5.02 GB
2023-06-26 15:59:30,2.21 GB,2.80 GB,5.01 GB
2023-06-26 15:59:45,2.21 GB,2.79 GB,5.00 GB
2023-06-26 16:00:00,2.21 GB,2.79 GB,5.00 GB
2023-06-26 16:00:15,2.22 GB,2.79 GB,5.01 GB
2023-06-26 16:00:30,2.21 GB,2.80 GB,5.01 GB
2023-06-26 16:00:45,2.21 GB,2.80 GB,5.01 GB
2023-06-26 16:01:00,2.21 GB,2.79 GB,5.01 GB
2023-06-26 16:01:15,2.21 GB,2.80 GB,5.02 GB
2023-06-26 16:01:30,2.21 GB,2.80 GB,5.01 GB
2023-06-26 16:01:45,2.21 GB,2.80 GB,5.02 GB
2023-06-26 16:02:00,2.22 GB,2.80 GB,5.02 GB
2023-06-26 16:02:15,2.22 GB,2.81 GB,5.03 GB
2023-06-26 16:02:30,2.21 GB,2.81 GB,5.02 GB
2023-06-26 16:02:45,2.22 GB,2.81 GB,5.03 GB
2023-06-26 16:03:00,2.21 GB,2.81 GB,5.02 GB
2023-06-26 16:03:15,2.22 GB,2.80 GB,5.02 GB
2023-06-26 16:03:30,2.22 GB,2.81 GB,5.02 GB
2023-06-26 16:03:45,2.21 GB,2.81 GB,5.02 GB
2023-06-26 16:04:00,2.21 GB,2.80 GB,5.02 GB
2023-06-26 16:04:15,2.22 GB,2.81 GB,5.02 GB
2023-06-26 16:04:30,2.21 GB,2.82 GB,5.03 GB

