"Time","emqx-0","emqx-1"
2023-06-27 18:34:00,7.63,16.7
2023-06-27 18:34:15,7.63,16.7
2023-06-27 18:34:30,7.63,16.7
2023-06-27 18:34:45,7.63,16.7
2023-06-27 18:35:00,7.63,16.7
2023-06-27 18:35:15,7.63,16.7
2023-06-27 18:35:30,7.63,16.7
2023-06-27 18:35:45,7.63,16.7
2023-06-27 18:36:00,7.63,16.7
2023-06-27 18:36:15,7.63,16.7
2023-06-27 18:36:30,7.63,16.7
2023-06-27 18:36:45,7.63,16.7
2023-06-27 18:37:00,7.63,16.7
2023-06-27 18:37:15,7.64,16.7
2023-06-27 18:37:30,7.64,16.7
2023-06-27 18:37:45,7.64,16.7
2023-06-27 18:38:00,7.64,16.7
2023-06-27 18:38:15,7.64,16.7
2023-06-27 18:38:30,7.64,16.7
2023-06-27 18:38:45,7.64,16.7
2023-06-27 18:39:00,7.65,16.7
2023-06-27 18:39:15,7.65,16.7
2023-06-27 18:39:30,7.65,16.7
2023-06-27 18:39:45,7.65,16.7
2023-06-27 18:40:00,7.65,16.7
2023-06-27 18:40:15,7.65,16.7
2023-06-27 18:40:30,7.66,16.7
2023-06-27 18:40:45,7.66,16.7
2023-06-27 18:41:00,7.66,16.7
2023-06-27 18:41:15,7.66,16.7
2023-06-27 18:41:30,7.67,16.7
2023-06-27 18:41:45,7.67,16.7
2023-06-27 18:42:00,7.67,16.7
2023-06-27 18:42:15,7.67,16.7
2023-06-27 18:42:30,7.68,16.7
2023-06-27 18:42:45,7.68,16.7
2023-06-27 18:43:00,7.68,16.7
2023-06-27 18:43:15,7.68,16.7
2023-06-27 18:43:30,7.69,16.7
2023-06-27 18:43:45,7.69,16.7
2023-06-27 18:44:00,7.69,16.7
2023-06-27 18:44:15,7.69,16.7
2023-06-27 18:44:30,7.70,16.7
2023-06-27 18:44:45,7.70,16.7
2023-06-27 18:45:00,7.70,16.7
2023-06-27 18:45:15,7.70,16.7
2023-06-27 18:45:30,7.71,16.7
2023-06-27 18:45:45,7.71,16.7
2023-06-27 18:46:00,7.71,16.7
2023-06-27 18:46:15,7.71,16.7
2023-06-27 18:46:30,7.72,16.7
2023-06-27 18:46:45,7.72,16.8
2023-06-27 18:47:00,7.72,16.8
2023-06-27 18:47:15,7.72,16.8
2023-06-27 18:47:30,7.73,16.8
2023-06-27 18:47:45,7.73,16.8
2023-06-27 18:48:00,7.73,16.8
2023-06-27 18:48:15,7.73,16.8
2023-06-27 18:48:30,7.74,16.8
2023-06-27 18:48:45,7.74,16.8
2023-06-27 18:49:00,7.74,16.8
2023-06-27 18:49:15,7.74,16.8
2023-06-27 18:49:30,7.75,16.8
2023-06-27 18:49:45,7.75,16.8
2023-06-27 18:50:00,7.75,16.8
2023-06-27 18:50:15,7.75,16.8
2023-06-27 18:50:30,7.76,16.8
2023-06-27 18:50:45,7.76,16.8
2023-06-27 18:51:00,7.76,16.8
2023-06-27 18:51:15,7.76,16.8
2023-06-27 18:51:30,7.77,16.8
2023-06-27 18:51:45,7.77,16.8
2023-06-27 18:52:00,7.77,16.8
2023-06-27 18:52:15,7.77,16.8
2023-06-27 18:52:30,7.78,16.8
2023-06-27 18:52:45,7.78,16.8
2023-06-27 18:53:00,7.78,16.8
2023-06-27 18:53:15,7.78,16.8
2023-06-27 18:53:30,7.79,16.8
2023-06-27 18:53:45,7.79,16.8
2023-06-27 18:54:00,7.79,16.8
2023-06-27 18:54:15,7.79,16.8
2023-06-27 18:54:30,7.79,16.8
2023-06-27 18:54:45,7.80,16.8
2023-06-27 18:55:00,7.80,16.8
2023-06-27 18:55:15,7.80,16.8
2023-06-27 18:55:30,7.80,16.8
2023-06-27 18:55:45,7.80,16.8
2023-06-27 18:56:00,7.81,16.8
2023-06-27 18:56:15,7.81,16.8
2023-06-27 18:56:30,7.81,16.8
2023-06-27 18:56:45,7.81,16.8
2023-06-27 18:57:00,7.81,16.8
2023-06-27 18:57:15,7.81,16.8
2023-06-27 18:57:30,7.82,16.8
2023-06-27 18:57:45,7.82,16.8
2023-06-27 18:58:00,7.82,16.8
2023-06-27 18:58:15,7.82,16.8
2023-06-27 18:58:30,7.82,16.8
2023-06-27 18:58:45,7.82,16.8
2023-06-27 18:59:00,7.82,16.8
2023-06-27 18:59:15,7.82,16.8
2023-06-27 18:59:30,7.83,16.8
2023-06-27 18:59:45,7.83,16.8
2023-06-27 19:00:00,7.83,16.8
2023-06-27 19:00:15,7.83,16.8
2023-06-27 19:00:30,7.83,16.8
2023-06-27 19:00:45,7.83,16.8
2023-06-27 19:01:00,7.83,16.8
2023-06-27 19:01:15,7.83,16.8
2023-06-27 19:01:30,7.83,16.8
2023-06-27 19:01:45,7.83,16.8
2023-06-27 19:02:00,7.83,16.8
2023-06-27 19:02:15,7.83,16.8
2023-06-27 19:02:30,7.83,16.8
2023-06-27 19:02:45,7.83,16.8
2023-06-27 19:03:00,7.84,16.8
2023-06-27 19:03:15,7.84,16.8
2023-06-27 19:03:30,7.84,16.8
2023-06-27 19:03:45,7.84,16.8
2023-06-27 19:04:00,7.84,16.8
2023-06-27 19:04:15,7.84,16.8
2023-06-27 19:04:30,7.84,16.8
2023-06-27 19:04:45,7.84,16.8
2023-06-27 19:05:00,7.84,16.8
2023-06-27 19:05:15,7.84,16.8
2023-06-27 19:05:30,7.84,16.8
2023-06-27 19:05:45,7.84,16.8
2023-06-27 19:06:00,7.84,16.8
2023-06-27 19:06:15,7.84,16.8
2023-06-27 19:06:30,7.84,16.8
2023-06-27 19:06:45,7.84,16.9
2023-06-27 19:07:00,7.84,16.9
2023-06-27 19:07:15,7.84,16.9
2023-06-27 19:07:30,7.84,16.9
2023-06-27 19:07:45,7.84,16.9
2023-06-27 19:08:00,7.84,16.9
2023-06-27 19:08:15,7.84,16.9
2023-06-27 19:08:30,7.84,16.9
2023-06-27 19:08:45,7.85,16.9
2023-06-27 19:09:00,7.85,16.9
2023-06-27 19:09:15,7.85,16.9
2023-06-27 19:09:30,7.85,16.9
2023-06-27 19:09:45,7.85,16.9
2023-06-27 19:10:00,7.85,16.9
2023-06-27 19:10:15,7.85,16.9
2023-06-27 19:10:30,7.85,16.9
2023-06-27 19:10:45,7.85,16.9
2023-06-27 19:11:00,7.85,16.9
2023-06-27 19:11:15,7.85,16.9

