"Time","Messages"
2023-06-23 16:52:15,0
2023-06-23 16:52:30,0
2023-06-23 16:52:45,0
2023-06-23 16:53:00,0
2023-06-23 16:53:15,0
2023-06-23 16:53:30,0
2023-06-23 16:53:45,0
2023-06-23 16:54:00,0
2023-06-23 16:54:15,0
2023-06-23 16:54:30,0
2023-06-23 16:54:45,5
2023-06-23 16:55:00,4
2023-06-23 16:55:15,5
2023-06-23 16:55:30,4
2023-06-23 16:55:45,5
2023-06-23 16:56:00,8
2023-06-23 16:56:15,14
2023-06-23 16:56:30,17
2023-06-23 16:56:45,5
2023-06-23 16:57:00,16
2023-06-23 16:57:15,17
2023-06-23 16:57:30,17
2023-06-23 16:57:45,13
2023-06-23 16:58:00,10
2023-06-23 16:58:15,6
2023-06-23 16:58:30,13
2023-06-23 16:58:45,7
2023-06-23 16:59:00,16
2023-06-23 16:59:15,20
2023-06-23 16:59:30,25
2023-06-23 16:59:45,42
2023-06-23 17:00:00,43
2023-06-23 17:00:15,28
2023-06-23 17:00:30,28
2023-06-23 17:00:45,39
2023-06-23 17:01:00,39
2023-06-23 17:01:15,36
2023-06-23 17:01:30,50
2023-06-23 17:01:45,56
2023-06-23 17:02:00,56
2023-06-23 17:02:15,43
2023-06-23 17:02:30,44
2023-06-23 17:02:45,71
2023-06-23 17:03:00,75
2023-06-23 17:03:15,70
2023-06-23 17:03:30,73
2023-06-23 17:03:45,95
2023-06-23 17:04:00,114
2023-06-23 17:04:15,99
2023-06-23 17:04:30,124
2023-06-23 17:04:45,118
2023-06-23 17:05:00,114
2023-06-23 17:05:15,114
2023-06-23 17:05:30,135
2023-06-23 17:05:45,149
2023-06-23 17:06:00,113
2023-06-23 17:06:15,184
2023-06-23 17:06:30,161
2023-06-23 17:06:45,163
2023-06-23 17:07:00,177
2023-06-23 17:07:15,166
2023-06-23 17:07:30,159
2023-06-23 17:07:45,154
2023-06-23 17:08:00,157
2023-06-23 17:08:15,117
2023-06-23 17:08:30,173
2023-06-23 17:08:45,290
2023-06-23 17:09:00,171
2023-06-23 17:09:15,128
2023-06-23 17:09:30,121
2023-06-23 17:09:45,231
2023-06-23 17:10:00,200
2023-06-23 17:10:15,117
2023-06-23 17:10:30,184
2023-06-23 17:10:45,245
2023-06-23 17:11:00,173
2023-06-23 17:11:15,168
2023-06-23 17:11:30,146
2023-06-23 17:11:45,132
2023-06-23 17:12:00,104
2023-06-23 17:12:15,113
2023-06-23 17:12:30,86
2023-06-23 17:12:45,99
2023-06-23 17:13:00,86
2023-06-23 17:13:15,69
2023-06-23 17:13:30,106
2023-06-23 17:13:45,93
2023-06-23 17:14:00,93
2023-06-23 17:14:15,73
2023-06-23 17:14:30,70
2023-06-23 17:14:45,60
2023-06-23 17:15:00,54
2023-06-23 17:15:15,51
2023-06-23 17:15:30,44
2023-06-23 17:15:45,53
2023-06-23 17:16:00,45
2023-06-23 17:16:15,40
2023-06-23 17:16:30,27
2023-06-23 17:16:45,42
2023-06-23 17:17:00,43
2023-06-23 17:17:15,85
2023-06-23 17:17:30,80
2023-06-23 17:17:45,20
2023-06-23 17:18:00,22
2023-06-23 17:18:15,18
2023-06-23 17:18:30,21
2023-06-23 17:18:45,20
2023-06-23 17:19:00,22
2023-06-23 17:19:15,16
2023-06-23 17:19:30,15
2023-06-23 17:19:45,12
2023-06-23 17:20:00,16
2023-06-23 17:20:15,12
2023-06-23 17:20:30,10
2023-06-23 17:20:45,4
2023-06-23 17:21:00,6
2023-06-23 17:21:15,3
2023-06-23 17:21:30,3
2023-06-23 17:21:45,1
2023-06-23 17:22:00,1
2023-06-23 17:22:15,0
2023-06-23 17:22:30,0
2023-06-23 17:22:45,0
2023-06-23 17:23:00,0
2023-06-23 17:23:15,0
2023-06-23 17:23:30,0
2023-06-23 17:23:45,0
2023-06-23 17:24:00,0
2023-06-23 17:24:15,0
2023-06-23 17:24:30,0
2023-06-23 17:24:45,0
2023-06-23 17:25:00,0
2023-06-23 17:25:15,0
2023-06-23 17:25:30,0
2023-06-23 17:25:45,0
2023-06-23 17:26:00,0
2023-06-23 17:26:15,0
2023-06-23 17:26:30,0
2023-06-23 17:26:45,0
2023-06-23 17:27:00,0
2023-06-23 17:27:15,0
2023-06-23 17:27:30,0
2023-06-23 17:27:45,0
2023-06-23 17:28:00,0
2023-06-23 17:28:15,0
2023-06-23 17:28:30,0
2023-06-23 17:28:45,0
2023-06-23 17:29:00,0
2023-06-23 17:29:15,0
2023-06-23 17:29:30,0
2023-06-23 17:29:45,0
2023-06-23 17:30:00,0
2023-06-23 17:30:15,0
2023-06-23 17:30:30,0
2023-06-23 17:30:45,0
2023-06-23 17:31:00,0
2023-06-23 17:31:15,0
2023-06-23 17:31:30,0
2023-06-23 17:31:45,0
2023-06-23 17:32:00,0
2023-06-23 17:32:15,0
2023-06-23 17:32:30,0
2023-06-23 17:32:45,0
2023-06-23 17:33:00,0
2023-06-23 17:33:15,0

