"Time","total","emqx-1","emqx-0"
2023-06-23 16:51:15,0,0,0
2023-06-23 16:51:30,0,0,0
2023-06-23 16:51:45,0,0,0
2023-06-23 16:52:00,0,0,0
2023-06-23 16:52:15,0,0,0
2023-06-23 16:52:30,0,0,0
2023-06-23 16:52:45,0,0,0
2023-06-23 16:53:00,0,0,0
2023-06-23 16:53:15,5,0,5
2023-06-23 16:53:30,5,0,5
2023-06-23 16:53:45,7,0,7
2023-06-23 16:54:00,9,2,7
2023-06-23 16:54:15,12,4,8
2023-06-23 16:54:30,13,4,9
2023-06-23 16:54:45,16,7,9
2023-06-23 16:55:00,17,7,10
2023-06-23 16:55:15,20,7,13
2023-06-23 16:55:30,21,8,13
2023-06-23 16:55:45,24,8,16
2023-06-23 16:56:00,25,9,16
2023-06-23 16:56:15,29,12,17
2023-06-23 16:56:30,29,12,17
2023-06-23 16:56:45,33,13,20
2023-06-23 16:57:00,34,13,21
2023-06-23 16:57:15,37,14,23
2023-06-23 16:57:30,38,15,23
2023-06-23 16:57:45,41,16,25
2023-06-23 16:58:00,42,17,25
2023-06-23 16:58:15,44,17,27
2023-06-23 16:58:30,46,18,28
2023-06-23 16:58:45,49,18,31
2023-06-23 16:59:00,51,19,32
2023-06-23 16:59:15,53,20,33
2023-06-23 16:59:30,55,21,34
2023-06-23 16:59:45,57,22,35
2023-06-23 17:00:00,59,24,35
2023-06-23 17:00:15,61,25,36
2023-06-23 17:00:30,64,27,37
2023-06-23 17:00:45,66,27,39
2023-06-23 17:01:00,68,29,39
2023-06-23 17:01:15,69,29,40
2023-06-23 17:01:30,73,33,40
2023-06-23 17:01:45,74,33,41
2023-06-23 17:02:00,75,34,41
2023-06-23 17:02:15,78,34,44
2023-06-23 17:02:30,80,36,44
2023-06-23 17:02:45,81,36,45
2023-06-23 17:03:00,83,37,46
2023-06-23 17:03:15,84,38,46
2023-06-23 17:03:30,86,39,47
2023-06-23 17:03:45,86,39,47
2023-06-23 17:04:00,87,40,47
2023-06-23 17:04:15,89,40,49
2023-06-23 17:04:30,89,40,49
2023-06-23 17:04:45,89,40,49
2023-06-23 17:05:00,91,41,50
2023-06-23 17:05:15,91,41,50
2023-06-23 17:05:30,91,41,50
2023-06-23 17:05:45,93,41,52
2023-06-23 17:06:00,93,41,52
2023-06-23 17:06:15,93,41,52
2023-06-23 17:06:30,94,41,53
2023-06-23 17:06:45,95,41,54
2023-06-23 17:07:00,95,41,54
2023-06-23 17:07:15,96,41,55
2023-06-23 17:07:30,96,41,55
2023-06-23 17:07:45,97,41,56
2023-06-23 17:08:00,97,41,56
2023-06-23 17:08:15,97,41,56
2023-06-23 17:08:30,98,42,56
2023-06-23 17:08:45,98,42,56
2023-06-23 17:09:00,98,42,56
2023-06-23 17:09:15,98,42,56
2023-06-23 17:09:30,99,42,57
2023-06-23 17:09:45,99,42,57
2023-06-23 17:10:00,99,42,57
2023-06-23 17:10:15,99,42,57
2023-06-23 17:10:30,100,43,57
2023-06-23 17:10:45,100,43,57
2023-06-23 17:11:00,100,43,57
2023-06-23 17:11:15,100,43,57
2023-06-23 17:11:30,100,43,57
2023-06-23 17:11:45,100,43,57
2023-06-23 17:12:00,100,43,57
2023-06-23 17:12:15,100,43,57
2023-06-23 17:12:30,100,43,57
2023-06-23 17:12:45,100,43,57
2023-06-23 17:13:00,100,43,57
2023-06-23 17:13:15,100,43,57
2023-06-23 17:13:30,100,43,57
2023-06-23 17:13:45,100,43,57
2023-06-23 17:14:00,100,43,57
2023-06-23 17:14:15,100,43,57
2023-06-23 17:14:30,100,43,57
2023-06-23 17:14:45,100,43,57
2023-06-23 17:15:00,100,43,57
2023-06-23 17:15:15,100,43,57
2023-06-23 17:15:30,100,43,57
2023-06-23 17:15:45,100,43,57
2023-06-23 17:16:00,100,43,57
2023-06-23 17:16:15,100,43,57
2023-06-23 17:16:30,100,43,57
2023-06-23 17:16:45,100,43,57
2023-06-23 17:17:00,100,43,57
2023-06-23 17:17:15,100,43,57
2023-06-23 17:17:30,100,43,57
2023-06-23 17:17:45,100,43,57
2023-06-23 17:18:00,100,43,57
2023-06-23 17:18:15,100,43,57
2023-06-23 17:18:30,100,43,57
2023-06-23 17:18:45,100,43,57
2023-06-23 17:19:00,100,43,57
2023-06-23 17:19:15,100,43,57
2023-06-23 17:19:30,100,43,57
2023-06-23 17:19:45,100,43,57
2023-06-23 17:20:00,100,43,57
2023-06-23 17:20:15,100,43,57
2023-06-23 17:20:30,100,43,57
2023-06-23 17:20:45,100,43,57
2023-06-23 17:21:00,100,43,57
2023-06-23 17:21:15,100,43,57
2023-06-23 17:21:30,100,43,57
2023-06-23 17:21:45,100,43,57
2023-06-23 17:22:00,100,43,57
2023-06-23 17:22:15,100,43,57
2023-06-23 17:22:30,100,43,57
