"Time","emqx-0","emqx-1"
2023-07-15 18:24:30,5.25,5.18
2023-07-15 18:24:45,5.26,5.18
2023-07-15 18:25:00,5.26,5.18
2023-07-15 18:25:15,5.26,5.18
2023-07-15 18:25:30,5.26,5.18
2023-07-15 18:25:45,5.26,5.18
2023-07-15 18:26:00,5.26,5.18
2023-07-15 18:26:15,5.26,5.18
2023-07-15 18:26:30,5.26,5.18
2023-07-15 18:26:45,5.26,5.18
2023-07-15 18:27:00,5.26,5.18
2023-07-15 18:27:15,5.26,5.18
2023-07-15 18:27:30,5.26,5.18
2023-07-15 18:27:45,5.26,5.18
2023-07-15 18:28:00,5.26,5.18
2023-07-15 18:28:15,5.26,5.18
2023-07-15 18:28:30,5.26,5.18
2023-07-15 18:28:45,5.26,5.18
2023-07-15 18:29:00,5.27,5.19
2023-07-15 18:29:15,5.27,5.19
2023-07-15 18:29:30,5.27,5.19
2023-07-15 18:29:45,5.27,5.19
2023-07-15 18:30:00,5.27,5.19
2023-07-15 18:30:15,5.27,5.19
2023-07-15 18:30:30,5.27,5.19
2023-07-15 18:30:45,5.27,5.19
2023-07-15 18:31:00,5.28,5.19
2023-07-15 18:31:15,5.28,5.20
2023-07-15 18:31:30,5.28,5.20
2023-07-15 18:31:45,5.28,5.20
2023-07-15 18:32:00,5.28,5.20
2023-07-15 18:32:15,5.28,5.20
2023-07-15 18:32:30,5.28,5.20
2023-07-15 18:32:45,5.28,5.20
2023-07-15 18:33:00,5.29,5.20
2023-07-15 18:33:15,5.29,5.21
2023-07-15 18:33:30,5.29,5.21
2023-07-15 18:33:45,5.29,5.21
2023-07-15 18:34:00,5.29,5.21
2023-07-15 18:34:15,5.29,5.21
2023-07-15 18:34:30,5.29,5.21
2023-07-15 18:34:45,5.30,5.21
2023-07-15 18:35:00,5.30,5.22
2023-07-15 18:35:15,5.30,5.22
2023-07-15 18:35:30,5.30,5.22
2023-07-15 18:35:45,5.30,5.22
2023-07-15 18:36:00,5.30,5.22
2023-07-15 18:36:15,5.31,5.22
2023-07-15 18:36:30,5.31,5.23
2023-07-15 18:36:45,5.31,5.23
2023-07-15 18:37:00,5.31,5.23
2023-07-15 18:37:15,5.31,5.23
2023-07-15 18:37:30,5.31,5.23
2023-07-15 18:37:45,5.31,5.23
2023-07-15 18:38:00,5.32,5.24
2023-07-15 18:38:15,5.32,5.24
2023-07-15 18:38:30,5.32,5.24
2023-07-15 18:38:45,5.32,5.24
2023-07-15 18:39:00,5.32,5.24
2023-07-15 18:39:15,5.32,5.24
2023-07-15 18:39:30,5.33,5.25
2023-07-15 18:39:45,5.33,5.25
2023-07-15 18:40:00,5.33,5.25
2023-07-15 18:40:15,5.33,5.25
2023-07-15 18:40:30,5.33,5.25
2023-07-15 18:40:45,5.33,5.25
2023-07-15 18:41:00,5.34,5.26
2023-07-15 18:41:15,5.34,5.26
2023-07-15 18:41:30,5.34,5.26
2023-07-15 18:41:45,5.34,5.26
2023-07-15 18:42:00,5.34,5.26
2023-07-15 18:42:15,5.34,5.26
2023-07-15 18:42:30,5.35,5.26
2023-07-15 18:42:45,5.35,5.27
2023-07-15 18:43:00,5.35,5.27
2023-07-15 18:43:15,5.35,5.27
2023-07-15 18:43:30,5.35,5.27
2023-07-15 18:43:45,5.35,5.27
2023-07-15 18:44:00,5.35,5.27
2023-07-15 18:44:15,5.36,5.28
2023-07-15 18:44:30,5.36,5.28
2023-07-15 18:44:45,5.36,5.28
2023-07-15 18:45:00,5.36,5.28
2023-07-15 18:45:15,5.36,5.28
2023-07-15 18:45:30,5.36,5.28
2023-07-15 18:45:45,5.37,5.28
2023-07-15 18:46:00,5.37,5.29
2023-07-15 18:46:15,5.37,5.29
2023-07-15 18:46:30,5.37,5.29
2023-07-15 18:46:45,5.37,5.29
2023-07-15 18:47:00,5.37,5.29
2023-07-15 18:47:15,5.37,5.29
2023-07-15 18:47:30,5.38,5.30
2023-07-15 18:47:45,5.38,5.30
2023-07-15 18:48:00,5.38,5.30
2023-07-15 18:48:15,5.38,5.30
2023-07-15 18:48:30,5.38,5.30
2023-07-15 18:48:45,5.38,5.30
2023-07-15 18:49:00,5.38,5.30
2023-07-15 18:49:15,5.38,5.30
2023-07-15 18:49:30,5.39,5.31
2023-07-15 18:49:45,5.39,5.31
2023-07-15 18:50:00,5.39,5.31
2023-07-15 18:50:15,5.39,5.31
2023-07-15 18:50:30,5.39,5.31
2023-07-15 18:50:45,5.39,5.31
2023-07-15 18:51:00,5.39,5.31
2023-07-15 18:51:15,5.39,5.31
2023-07-15 18:51:30,5.40,5.32
2023-07-15 18:51:45,5.40,5.32
2023-07-15 18:52:00,5.40,5.32
2023-07-15 18:52:15,5.40,5.32
2023-07-15 18:52:30,5.40,5.32
2023-07-15 18:52:45,5.40,5.32
2023-07-15 18:53:00,5.40,5.32
2023-07-15 18:53:15,5.40,5.32
2023-07-15 18:53:30,5.40,5.32
2023-07-15 18:53:45,5.40,5.32
2023-07-15 18:54:00,5.40,5.33
2023-07-15 18:54:15,5.40,5.33
2023-07-15 18:54:30,5.41,5.33
2023-07-15 18:54:45,5.41,5.33
2023-07-15 18:55:00,5.41,5.33
2023-07-15 18:55:15,5.41,5.33
2023-07-15 18:55:30,5.41,5.33
2023-07-15 18:55:45,5.41,5.33
2023-07-15 18:56:00,5.41,5.33
2023-07-15 18:56:15,5.41,5.33
2023-07-15 18:56:30,5.41,5.33
2023-07-15 18:56:45,5.41,5.33
2023-07-15 18:57:00,5.41,5.33
2023-07-15 18:57:15,5.41,5.33
2023-07-15 18:57:30,5.41,5.33
2023-07-15 18:57:45,5.41,5.33
2023-07-15 18:58:00,5.41,5.33
2023-07-15 18:58:15,5.41,5.34
2023-07-15 18:58:30,5.41,5.34
2023-07-15 18:58:45,5.41,5.34
2023-07-15 18:59:00,5.42,5.34
2023-07-15 18:59:15,5.42,5.34
2023-07-15 18:59:30,5.42,5.34
2023-07-15 18:59:45,5.42,5.34
2023-07-15 19:00:00,5.42,5.34
2023-07-15 19:00:15,5.42,5.34
2023-07-15 19:00:30,5.42,5.34
2023-07-15 19:00:45,5.42,5.34
