"Time","emqx-0","emqx-1"
2023-07-15 18:24:30,930,4286
2023-07-15 18:24:45,1058,4397
2023-07-15 18:25:00,1280,4612
2023-07-15 18:25:15,1429,4760
2023-07-15 18:25:30,1767,5080
2023-07-15 18:25:45,1940,5237
2023-07-15 18:26:00,2220,5518
2023-07-15 18:26:15,2379,5683
2023-07-15 18:26:30,2715,6024
2023-07-15 18:26:45,2837,6144
2023-07-15 18:27:00,3200,6494
2023-07-15 18:27:15,3346,6644
2023-07-15 18:27:30,3674,6918
2023-07-15 18:27:45,3826,7080
2023-07-15 18:28:00,4182,7397
2023-07-15 18:28:15,4283,7508
2023-07-15 18:28:30,4634,7876
2023-07-15 18:28:45,4759,8002
2023-07-15 18:29:00,5088,8309
2023-07-15 18:29:15,5213,8446
2023-07-15 18:29:30,5570,8830
2023-07-15 18:29:45,5656,8921
2023-07-15 18:30:00,6021,9332
2023-07-15 18:30:15,6151,9458
2023-07-15 18:30:30,6461,9809
2023-07-15 18:30:45,6594,9943
2023-07-15 18:31:00,6950,10290
2023-07-15 18:31:15,7047,10397
2023-07-15 18:31:30,7420,10772
2023-07-15 18:31:45,7542,10918
2023-07-15 18:32:00,7850,11256
2023-07-15 18:32:15,8004,11393
2023-07-15 18:32:30,8381,11749
2023-07-15 18:32:45,8478,11847
2023-07-15 18:33:00,8883,12226
2023-07-15 18:33:15,9023,12343
2023-07-15 18:33:30,9365,12670
2023-07-15 18:33:45,9510,12792
2023-07-15 18:34:00,9884,13165
2023-07-15 18:34:15,9983,13250
2023-07-15 18:34:30,10366,13640
2023-07-15 18:34:45,10465,13777
2023-07-15 18:35:00,10793,14099
2023-07-15 18:35:15,10943,14235
2023-07-15 18:35:30,11301,14593
2023-07-15 18:35:45,11404,14703
2023-07-15 18:36:00,11784,15111
2023-07-15 18:36:15,11905,15238
2023-07-15 18:36:30,12268,15543
2023-07-15 18:36:45,12387,15683
2023-07-15 18:37:00,12752,16039
2023-07-15 18:37:15,12835,16125
2023-07-15 18:37:30,13073,16381
2023-07-15 18:37:45,13113,16406
2023-07-15 18:38:00,13139,16445
2023-07-15 18:38:15,13173,16490
2023-07-15 18:38:30,13215,16541
2023-07-15 18:38:45,13223,16549
2023-07-15 18:39:00,13301,16629
2023-07-15 18:39:15,13328,16645
2023-07-15 18:39:30,13357,16672
2023-07-15 18:39:45,13395,16716
2023-07-15 18:40:00,13432,16753
2023-07-15 18:40:15,13442,16760
2023-07-15 18:40:30,13519,16850
2023-07-15 18:40:45,13532,16864
2023-07-15 18:41:00,13558,16906
2023-07-15 18:41:15,13599,16953
2023-07-15 18:41:30,13626,16982
2023-07-15 18:41:45,13642,16996
2023-07-15 18:42:00,13728,17076
2023-07-15 18:42:15,13737,17082
2023-07-15 18:42:30,13776,17126
2023-07-15 18:42:45,13818,17166
2023-07-15 18:43:00,13843,17187
2023-07-15 18:43:15,13843,17187
2023-07-15 18:43:30,13843,17187
2023-07-15 18:43:45,13844,17187
2023-07-15 18:44:00,13850,17191
2023-07-15 18:44:15,13850,17191
2023-07-15 18:44:30,13850,17191
2023-07-15 18:44:45,13850,17193
2023-07-15 18:45:00,13857,17195
2023-07-15 18:45:15,13857,17195
2023-07-15 18:45:30,13857,17196
2023-07-15 18:45:45,13858,17200
2023-07-15 18:46:00,13862,17201
2023-07-15 18:46:15,13862,17201
2023-07-15 18:46:30,13864,17201
2023-07-15 18:46:45,13869,17204
2023-07-15 18:47:00,13869,17204
2023-07-15 18:47:15,13869,17204
2023-07-15 18:47:30,13869,17204
2023-07-15 18:47:45,13869,17204
2023-07-15 18:48:00,13869,17204
2023-07-15 18:48:15,13869,17204
2023-07-15 18:48:30,13869,17204
2023-07-15 18:48:45,13869,17204
2023-07-15 18:49:00,13869,17204
2023-07-15 18:49:15,13869,17204
2023-07-15 18:49:30,13869,17204
2023-07-15 18:49:45,13869,17204
2023-07-15 18:50:00,13869,17204
2023-07-15 18:50:15,13869,17204
2023-07-15 18:50:30,13869,17204
2023-07-15 18:50:45,13869,17204
2023-07-15 18:51:00,13869,17204
2023-07-15 18:51:15,13869,17204
2023-07-15 18:51:30,13869,17204
2023-07-15 18:51:45,13869,17204
2023-07-15 18:52:00,13869,17204
2023-07-15 18:52:15,13869,17204
2023-07-15 18:52:30,13869,17204
2023-07-15 18:52:45,13869,17204
2023-07-15 18:53:00,13869,17204
2023-07-15 18:53:15,13869,17204
2023-07-15 18:53:30,13869,17204
2023-07-15 18:53:45,13869,17204
2023-07-15 18:54:00,13869,17204
2023-07-15 18:54:15,13869,17204
2023-07-15 18:54:30,13869,17204
2023-07-15 18:54:45,13869,17204
2023-07-15 18:55:00,13869,17204
2023-07-15 18:55:15,13869,17204
2023-07-15 18:55:30,13869,17204
2023-07-15 18:55:45,13869,17204
2023-07-15 18:56:00,13869,17204
2023-07-15 18:56:15,13869,17204
2023-07-15 18:56:30,13869,17204
2023-07-15 18:56:45,13869,17204
2023-07-15 18:57:00,13869,17204
2023-07-15 18:57:15,13869,17204
2023-07-15 18:57:30,13869,17204
2023-07-15 18:57:45,13869,17204
2023-07-15 18:58:00,13869,17204
2023-07-15 18:58:15,13869,17204
2023-07-15 18:58:30,13869,17204
2023-07-15 18:58:45,13869,17204
2023-07-15 18:59:00,13869,17204
2023-07-15 18:59:15,13869,17204
2023-07-15 18:59:30,13869,17204
2023-07-15 18:59:45,13869,17204
2023-07-15 19:00:00,13869,17204
2023-07-15 19:00:15,13869,17204
2023-07-15 19:00:30,13869,17204
2023-07-15 19:00:45,13869,17204
2023-07-15 19:01:00,13869,17204
2023-07-15 19:01:15,13869,17204
2023-07-15 19:01:30,13869,17204
2023-07-15 19:01:45,13869,17204
2023-07-15 19:02:00,13869,17204
2023-07-15 19:02:15,13869,17204
2023-07-15 19:02:30,13869,17204
2023-07-15 19:02:45,13869,17204
2023-07-15 19:03:00,13869,17204
2023-07-15 19:03:15,13869,17204
2023-07-15 19:03:30,13869,17204
2023-07-15 19:03:45,13869,17204
2023-07-15 19:04:00,13869,17204
2023-07-15 19:04:15,13869,17204
2023-07-15 19:04:30,13869,17204
2023-07-15 19:04:45,13869,17204
2023-07-15 19:05:00,13869,17204
2023-07-15 19:05:15,13869,17204
2023-07-15 19:05:30,13869,17204
2023-07-15 19:05:45,13869,17204
2023-07-15 19:06:00,13869,17204
2023-07-15 19:06:15,13869,17204
2023-07-15 19:06:30,13869,17204

