"Time","emqx-0","emqx-1"
2023-07-15 18:24:30,1617,7150
2023-07-15 18:24:45,4768,7966
2023-07-15 18:25:00,20733,12339
2023-07-15 18:25:15,31522,16152
2023-07-15 18:25:30,61349,32518
2023-07-15 18:25:45,79867,43006
2023-07-15 18:26:00,123146,73649
2023-07-15 18:26:15,146856,92095
2023-07-15 18:26:30,199461,139387
2023-07-15 18:26:45,228208,167530
2023-07-15 18:27:00,290828,230310
2023-07-15 18:27:15,327349,265003
2023-07-15 18:27:30,405937,339362
2023-07-15 18:27:45,449694,380005
2023-07-15 18:28:00,544197,468315
2023-07-15 18:28:15,594024,514829
2023-07-15 18:28:30,703986,614645
2023-07-15 18:28:45,761867,666839
2023-07-15 18:29:00,888818,776535
2023-07-15 18:29:15,954899,833669
2023-07-15 18:29:30,1096656,956803
2023-07-15 18:29:45,1170511,1020826
2023-07-15 18:30:00,1325361,1156165
2023-07-15 18:30:15,1406802,1227432
2023-07-15 18:30:30,1575645,1376462
2023-07-15 18:30:45,1663652,1454962
2023-07-15 18:31:00,1847922,1616191
2023-07-15 18:31:15,1943692,1700391
2023-07-15 18:31:30,2141482,1876367
2023-07-15 18:31:45,2242497,1968547
2023-07-15 18:32:00,2449905,2163326
2023-07-15 18:32:15,2555115,2264204
2023-07-15 18:32:30,2771117,2480327
2023-07-15 18:32:45,2879953,2591525
2023-07-15 18:33:00,3103851,2825544
2023-07-15 18:33:15,3217941,2945941
2023-07-15 18:33:30,3452290,3195297
2023-07-15 18:33:45,3572130,3323387
2023-07-15 18:34:00,3821388,3585928
2023-07-15 18:34:15,3950069,3719022
2023-07-15 18:34:30,4214042,3992458
2023-07-15 18:34:45,4348233,4134033
2023-07-15 18:35:00,4621162,4425050
2023-07-15 18:35:15,4760771,4573477
2023-07-15 18:35:30,5050738,4876537
2023-07-15 18:35:45,5198628,5029210
2023-07-15 18:36:00,5506776,5341377
2023-07-15 18:36:15,5662596,5500014
2023-07-15 18:36:30,5979536,5826658
2023-07-15 18:36:45,6140328,5989247
2023-07-15 18:37:00,6466599,6323584
2023-07-15 18:37:15,6630053,6493810
2023-07-15 18:37:30,6965618,6840430
2023-07-15 18:37:45,7135462,7018276
2023-07-15 18:38:00,7475331,7373360
2023-07-15 18:38:15,7644286,7548931
2023-07-15 18:38:30,7982056,7896340
2023-07-15 18:38:45,8151093,8071238
2023-07-15 18:39:00,8492916,8428262
2023-07-15 18:39:15,8666698,8609236
2023-07-15 18:39:30,9008719,8964834
2023-07-15 18:39:45,9181634,9144996
2023-07-15 18:40:00,9528028,9505704
2023-07-15 18:40:15,9699853,9683726
2023-07-15 18:40:30,10045647,10042441
2023-07-15 18:40:45,10222518,10223441
2023-07-15 18:41:00,10572716,10589139
2023-07-15 18:41:15,10747974,10771971
2023-07-15 18:41:30,11094934,11131927
2023-07-15 18:41:45,11268410,11313302
2023-07-15 18:42:00,11610145,11680805
2023-07-15 18:42:15,11779082,11860838
2023-07-15 18:42:30,12111273,12222110
2023-07-15 18:42:45,12281828,12404396
2023-07-15 18:43:00,12622311,12769146
2023-07-15 18:43:15,12784368,12949766
2023-07-15 18:43:30,13106010,13310239
2023-07-15 18:43:45,13263961,13488108
2023-07-15 18:44:00,13578642,13844469
2023-07-15 18:44:15,13730429,14019751
2023-07-15 18:44:30,14031456,14369462
2023-07-15 18:44:45,14176742,14543631
2023-07-15 18:45:00,14465212,14891617
2023-07-15 18:45:15,14604645,15062209
2023-07-15 18:45:30,14877871,15405234
2023-07-15 18:45:45,15010324,15577034
2023-07-15 18:46:00,15268538,15920559
2023-07-15 18:46:15,15394022,16089607
2023-07-15 18:46:30,15639945,16426171
2023-07-15 18:46:45,15759233,16594229
2023-07-15 18:47:00,15992905,16915082
2023-07-15 18:47:15,16104313,17054877
2023-07-15 18:47:30,16324167,17332991
2023-07-15 18:47:45,16429422,17466758
2023-07-15 18:48:00,16636814,17733252
2023-07-15 18:48:15,16736251,17860960
2023-07-15 18:48:30,16933539,18114227
2023-07-15 18:48:45,17028587,18235593
2023-07-15 18:49:00,17217004,18471753
2023-07-15 18:49:15,17308809,18585316
2023-07-15 18:49:30,17491081,18803539
2023-07-15 18:49:45,17578936,18908181
2023-07-15 18:50:00,17750443,19110038
2023-07-15 18:50:15,17832082,19206479
2023-07-15 18:50:30,17991537,19394382
2023-07-15 18:50:45,18065630,19483512
2023-07-15 18:51:00,18209128,19660566
2023-07-15 18:51:15,18275321,19744629
2023-07-15 18:51:30,18405277,19907644
2023-07-15 18:51:45,18466608,19982299
2023-07-15 18:52:00,18586887,20128841
2023-07-15 18:52:15,18640583,20197986
2023-07-15 18:52:30,18741570,20334743
2023-07-15 18:52:45,18787199,20399337
