"Time","total","emqx-0","emqx-1"
2023-07-15 18:24:30,12,9,3
2023-07-15 18:24:45,13,9,4
2023-07-15 18:25:00,16,9,7
2023-07-15 18:25:15,16,9,7
2023-07-15 18:25:30,20,11,9
2023-07-15 18:25:45,20,11,9
2023-07-15 18:26:00,24,14,10
2023-07-15 18:26:15,24,14,10
2023-07-15 18:26:30,29,16,13
2023-07-15 18:26:45,29,16,13
2023-07-15 18:27:00,32,19,13
2023-07-15 18:27:15,33,20,13
2023-07-15 18:27:30,36,21,15
2023-07-15 18:27:45,37,22,15
2023-07-15 18:28:00,40,23,17
2023-07-15 18:28:15,42,25,17
2023-07-15 18:28:30,44,26,18
2023-07-15 18:28:45,45,26,19
2023-07-15 18:29:00,49,29,20
2023-07-15 18:29:15,49,29,20
2023-07-15 18:29:30,53,31,22
2023-07-15 18:29:45,53,31,22
2023-07-15 18:30:00,56,32,24
2023-07-15 18:30:15,58,33,25
2023-07-15 18:30:30,61,33,28
2023-07-15 18:30:45,61,33,28
2023-07-15 18:31:00,65,33,32
2023-07-15 18:31:15,66,33,33
2023-07-15 18:31:30,67,33,34
2023-07-15 18:31:45,70,35,35
2023-07-15 18:32:00,71,35,36
2023-07-15 18:32:15,74,36,38
2023-07-15 18:32:30,75,37,38
2023-07-15 18:32:45,78,39,39
2023-07-15 18:33:00,79,40,39
2023-07-15 18:33:15,82,40,42
2023-07-15 18:33:30,83,40,43
2023-07-15 18:33:45,86,42,44
2023-07-15 18:34:00,88,44,44
2023-07-15 18:34:15,90,46,44
2023-07-15 18:34:30,91,46,45
2023-07-15 18:34:45,95,48,47
2023-07-15 18:35:00,95,48,47
2023-07-15 18:35:15,98,48,50
2023-07-15 18:35:30,100,49,51
2023-07-15 18:35:45,102,50,52
2023-07-15 18:36:00,103,50,53
2023-07-15 18:36:15,104,50,54
2023-07-15 18:36:30,106,50,56
2023-07-15 18:36:45,106,50,56
2023-07-15 18:37:00,108,51,57
2023-07-15 18:37:15,108,51,57
2023-07-15 18:37:30,110,52,58
2023-07-15 18:37:45,111,52,59
2023-07-15 18:38:00,111,52,59
2023-07-15 18:38:15,111,52,59
2023-07-15 18:38:30,113,53,60
2023-07-15 18:38:45,113,53,60
2023-07-15 18:39:00,113,53,60
2023-07-15 18:39:15,115,55,60
2023-07-15 18:39:30,115,55,60
2023-07-15 18:39:45,115,55,60
2023-07-15 18:40:00,116,55,61
2023-07-15 18:40:15,117,55,62
2023-07-15 18:40:30,117,55,62
2023-07-15 18:40:45,118,55,63
2023-07-15 18:41:00,119,56,63
2023-07-15 18:41:15,119,56,63
2023-07-15 18:41:30,120,57,63
2023-07-15 18:41:45,120,57,63
2023-07-15 18:42:00,121,58,63
2023-07-15 18:42:15,121,58,63
2023-07-15 18:42:30,121,58,63
2023-07-15 18:42:45,121,58,63
2023-07-15 18:43:00,122,59,63
2023-07-15 18:43:15,122,59,63
2023-07-15 18:43:30,122,59,63
2023-07-15 18:43:45,122,59,63
2023-07-15 18:44:00,123,60,63
2023-07-15 18:44:15,123,60,63
2023-07-15 18:44:30,123,60,63
2023-07-15 18:44:45,124,60,64
2023-07-15 18:45:00,124,60,64
2023-07-15 18:45:15,124,60,64
2023-07-15 18:45:30,125,60,65
2023-07-15 18:45:45,125,60,65
2023-07-15 18:46:00,125,60,65
2023-07-15 18:46:15,125,60,65
2023-07-15 18:46:30,125,60,65
2023-07-15 18:46:45,125,60,65
2023-07-15 18:47:00,125,60,65
2023-07-15 18:47:15,125,60,65
2023-07-15 18:47:30,125,60,65
2023-07-15 18:47:45,125,60,65
2023-07-15 18:48:00,125,60,65
2023-07-15 18:48:15,125,60,65
2023-07-15 18:48:30,125,60,65
2023-07-15 18:48:45,125,60,65
2023-07-15 18:49:00,125,60,65
2023-07-15 18:49:15,125,60,65
2023-07-15 18:49:30,125,60,65
2023-07-15 18:49:45,125,60,65
2023-07-15 18:50:00,125,60,65
2023-07-15 18:50:15,125,60,65
2023-07-15 18:50:30,125,60,65
2023-07-15 18:50:45,125,60,65
2023-07-15 18:51:00,125,60,65
2023-07-15 18:51:15,125,60,65
2023-07-15 18:51:30,125,60,65
2023-07-15 18:51:45,125,60,65
2023-07-15 18:52:00,125,60,65
2023-07-15 18:52:15,125,60,65
2023-07-15 18:52:30,125,60,65
2023-07-15 18:52:45,125,60,65
2023-07-15 18:53:00,125,60,65
2023-07-15 18:53:15,125,60,65
2023-07-15 18:53:30,125,60,65
2023-07-15 18:53:45,125,60,65
2023-07-15 18:54:00,125,60,65
