"Time","Bytes Sent","Bytes received"
2023-07-15 18:24:30,28310,133201
2023-07-15 18:24:45,487561,620571
2023-07-15 18:25:00,3718426,3909878
2023-07-15 18:25:15,6705782,6935319
2023-07-15 18:25:30,16663629,16968508
2023-07-15 18:25:45,23184415,23486415
2023-07-15 18:26:00,40194812,40466700
2023-07-15 18:26:15,50152996,50385355
2023-07-15 18:26:30,74009792,74168201
2023-07-15 18:26:45,87481394,87594087
2023-07-15 18:27:00,118249446,118302507
2023-07-15 18:27:15,135230074,135275930
2023-07-15 18:27:30,172917636,172975096
2023-07-15 18:27:45,193344955,193399103
2023-07-15 18:28:00,238228363,238256401
2023-07-15 18:28:15,262069616,262082766
2023-07-15 18:28:30,313686130,313712354
2023-07-15 18:28:45,340908249,340930592
2023-07-15 18:29:00,399270119,399273907
2023-07-15 18:29:15,429978356,429948964
2023-07-15 18:29:30,495334584,495221740
2023-07-15 18:29:45,529612366,529458102
2023-07-15 18:30:00,601932878,601689190
2023-07-15 18:30:15,639793101,639520814
2023-07-15 18:30:30,719072779,718798818
2023-07-15 18:30:45,760456415,760185157
2023-07-15 18:31:00,846799671,846576627
2023-07-15 18:31:15,891717299,891486861
2023-07-15 18:31:30,985142729,984880912
2023-07-15 18:31:45,1033579242,1033273858
2023-07-15 18:32:00,1134125512,1133694441
2023-07-15 18:32:15,1186063824,1185583968
2023-07-15 18:32:30,1293924950,1293322467
2023-07-15 18:32:45,1349539355,1348860828
2023-07-15 18:33:00,1464603586,1463785816
2023-07-15 18:33:15,1523822408,1522953736
2023-07-15 18:33:30,1646024195,1644986219
2023-07-15 18:33:45,1708789795,1707724881
2023-07-15 18:34:00,1838142225,1837074170
2023-07-15 18:34:15,1904484210,1903414937
2023-07-15 18:34:30,2040754806,2039604100
2023-07-15 18:34:45,2110545988,2109325912
2023-07-15 18:35:00,2253786383,2252409117
2023-07-15 18:35:15,2327164788,2325746391
2023-07-15 18:35:30,2477553594,2476040140
2023-07-15 18:35:45,2554316482,2552872461
2023-07-15 18:36:00,2711597328,2710078163
2023-07-15 18:36:15,2792095610,2790559981
2023-07-15 18:36:30,2952976017,2954376599
2023-07-15 18:36:45,3033140719,3037727770
2023-07-15 18:37:00,3192015624,3208789039
2023-07-15 18:37:15,3273689672,3296150803
2023-07-15 18:37:30,3437731491,3472662233
2023-07-15 18:37:45,3524779226,3561675058
2023-07-15 18:38:00,3692449521,3739073520
2023-07-15 18:38:15,3769443045,3828569526
2023-07-15 18:38:30,3911327770,4005962089
2023-07-15 18:38:45,3983732009,4095184141
2023-07-15 18:39:00,4133984503,4274356282
2023-07-15 18:39:15,4218403375,4364155360
2023-07-15 18:39:30,4363370217,4542347532
2023-07-15 18:39:45,4441270826,4631999657
2023-07-15 18:40:00,4590518115,4811609138
2023-07-15 18:40:15,4663862024,4901325340
2023-07-15 18:40:30,4807997874,5080558059
2023-07-15 18:40:45,4888866519,5170131427
2023-07-15 18:41:00,5044487410,5349836221
2023-07-15 18:41:15,5121806187,5439797665
2023-07-15 18:41:30,5260781990,5617771019
2023-07-15 18:41:45,5336971556,5706423679
2023-07-15 18:42:00,5497561860,5879634702
2023-07-15 18:42:15,5575449190,5964706924
2023-07-15 18:42:30,5732695220,6132422953
2023-07-15 18:42:45,5814708651,6214728196
2023-07-15 18:43:00,5980926585,6375442391
2023-07-15 18:43:15,6060826797,6454272363
2023-07-15 18:43:30,6219660598,6608837480
2023-07-15 18:43:45,6299366707,6684264326
2023-07-15 18:44:00,6458269890,6831974515
2023-07-15 18:44:15,6537273957,6904060524
2023-07-15 18:44:30,6693097591,7045054129
