"Time","emqx-0","emqx-1","Used Memory"
2023-07-15 18:24:30,3.04 GB,3.10 GB,6.14 GB
2023-07-15 18:24:45,3.04 GB,3.10 GB,6.14 GB
2023-07-15 18:25:00,3.04 GB,3.10 GB,6.14 GB
2023-07-15 18:25:15,3.04 GB,3.10 GB,6.14 GB
2023-07-15 18:25:30,3.06 GB,3.10 GB,6.16 GB
2023-07-15 18:25:45,3.07 GB,3.10 GB,6.17 GB
2023-07-15 18:26:00,3.10 GB,3.11 GB,6.21 GB
2023-07-15 18:26:15,3.12 GB,3.11 GB,6.23 GB
2023-07-15 18:26:30,3.16 GB,3.11 GB,6.28 GB
2023-07-15 18:26:45,3.17 GB,3.11 GB,6.29 GB
2023-07-15 18:27:00,3.19 GB,3.13 GB,6.31 GB
2023-07-15 18:27:15,3.19 GB,3.13 GB,6.32 GB
2023-07-15 18:27:30,3.22 GB,3.14 GB,6.37 GB
2023-07-15 18:27:45,3.23 GB,3.15 GB,6.38 GB
2023-07-15 18:28:00,3.26 GB,3.17 GB,6.43 GB
2023-07-15 18:28:15,3.27 GB,3.18 GB,6.45 GB
2023-07-15 18:28:30,3.30 GB,3.20 GB,6.50 GB
2023-07-15 18:28:45,3.31 GB,3.22 GB,6.53 GB
2023-07-15 18:29:00,3.36 GB,3.27 GB,6.62 GB
2023-07-15 18:29:15,3.36 GB,3.29 GB,6.65 GB
2023-07-15 18:29:30,3.39 GB,3.31 GB,6.70 GB
2023-07-15 18:29:45,3.41 GB,3.32 GB,6.72 GB
2023-07-15 18:30:00,3.43 GB,3.34 GB,6.76 GB
2023-07-15 18:30:15,3.43 GB,3.33 GB,6.76 GB
2023-07-15 18:30:30,3.44 GB,3.37 GB,6.80 GB
2023-07-15 18:30:45,3.43 GB,3.39 GB,6.82 GB
2023-07-15 18:31:00,3.47 GB,3.46 GB,6.93 GB
2023-07-15 18:31:15,3.50 GB,3.45 GB,6.95 GB
2023-07-15 18:31:30,3.51 GB,3.47 GB,6.99 GB
2023-07-15 18:31:45,3.51 GB,3.47 GB,6.98 GB
2023-07-15 18:32:00,3.52 GB,3.49 GB,7.02 GB
2023-07-15 18:32:15,3.52 GB,3.49 GB,7.01 GB
2023-07-15 18:32:30,3.55 GB,3.51 GB,7.07 GB
2023-07-15 18:32:45,3.54 GB,3.51 GB,7.05 GB
2023-07-15 18:33:00,3.56 GB,3.52 GB,7.08 GB
2023-07-15 18:33:15,3.59 GB,3.53 GB,7.12 GB
2023-07-15 18:33:30,3.60 GB,3.53 GB,7.13 GB
2023-07-15 18:33:45,3.60 GB,3.53 GB,7.13 GB
2023-07-15 18:34:00,3.63 GB,3.58 GB,7.21 GB
2023-07-15 18:34:15,3.64 GB,3.59 GB,7.23 GB
2023-07-15 18:34:30,3.67 GB,3.60 GB,7.27 GB
2023-07-15 18:34:45,3.67 GB,3.60 GB,7.28 GB
