"Time","emqx-0","emqx-1"
2023-07-17 15:39:45,5.49,5.64
2023-07-17 15:40:00,5.49,5.64
2023-07-17 15:40:15,5.49,5.64
2023-07-17 15:40:30,5.49,5.64
2023-07-17 15:40:45,5.49,5.64
2023-07-17 15:41:00,5.49,5.64
2023-07-17 15:41:15,5.49,5.64
2023-07-17 15:41:30,5.49,5.64
2023-07-17 15:41:45,5.49,5.65
2023-07-17 15:42:00,5.49,5.65
2023-07-17 15:42:15,5.49,5.65
2023-07-17 15:42:30,5.49,5.65
2023-07-17 15:42:45,5.49,5.65
2023-07-17 15:43:00,5.49,5.65
2023-07-17 15:43:15,5.49,5.65
2023-07-17 15:43:30,5.49,5.65
2023-07-17 15:43:45,5.50,5.65
2023-07-17 15:44:00,5.50,5.65
2023-07-17 15:44:15,5.50,5.65
2023-07-17 15:44:30,5.50,5.65
2023-07-17 15:44:45,5.50,5.65
2023-07-17 15:45:00,5.50,5.65
2023-07-17 15:45:15,5.50,5.66
2023-07-17 15:45:30,5.50,5.66
2023-07-17 15:45:45,5.50,5.66
2023-07-17 15:46:00,5.50,5.66
2023-07-17 15:46:15,5.50,5.66
2023-07-17 15:46:30,5.51,5.66
2023-07-17 15:46:45,5.51,5.66
2023-07-17 15:47:00,5.51,5.66
2023-07-17 15:47:15,5.51,5.66
2023-07-17 15:47:30,5.51,5.67
2023-07-17 15:47:45,5.51,5.67
2023-07-17 15:48:00,5.51,5.67
2023-07-17 15:48:15,5.51,5.67
2023-07-17 15:48:30,5.52,5.67
2023-07-17 15:48:45,5.52,5.67
2023-07-17 15:49:00,5.52,5.67
2023-07-17 15:49:15,5.52,5.67
2023-07-17 15:49:30,5.52,5.68
2023-07-17 15:49:45,5.52,5.68
2023-07-17 15:50:00,5.52,5.68
2023-07-17 15:50:15,5.52,5.68
2023-07-17 15:50:30,5.53,5.68
2023-07-17 15:50:45,5.53,5.68
2023-07-17 15:51:00,5.53,5.68
2023-07-17 15:51:15,5.53,5.68
2023-07-17 15:51:30,5.53,5.69
2023-07-17 15:51:45,5.53,5.69
2023-07-17 15:52:00,5.53,5.69
2023-07-17 15:52:15,5.53,5.69
2023-07-17 15:52:30,5.54,5.69
2023-07-17 15:52:45,5.54,5.69
2023-07-17 15:53:00,5.54,5.69
2023-07-17 15:53:15,5.54,5.70
2023-07-17 15:53:30,5.54,5.70
2023-07-17 15:53:45,5.54,5.70
2023-07-17 15:54:00,5.54,5.70
2023-07-17 15:54:15,5.55,5.70
2023-07-17 15:54:30,5.55,5.70
2023-07-17 15:54:45,,5.70
2023-07-17 15:55:00,5.55,5.71
2023-07-17 15:55:15,5.55,5.71
2023-07-17 15:55:30,5.55,5.71
2023-07-17 15:55:45,5.55,
2023-07-17 15:56:00,,5.71
2023-07-17 15:56:15,5.56,5.71
2023-07-17 15:56:30,5.56,5.71
2023-07-17 15:56:45,5.56,5.72
2023-07-17 15:57:00,5.56,5.72
2023-07-17 15:57:15,,5.72
2023-07-17 15:57:30,5.56,5.72
2023-07-17 15:57:45,5.57,5.72
2023-07-17 15:58:00,5.57,5.72
2023-07-17 15:58:15,5.57,5.72
2023-07-17 15:58:30,,5.73
2023-07-17 15:58:45,5.57,5.73
2023-07-17 15:59:00,5.57,5.73
2023-07-17 15:59:15,5.57,5.73
2023-07-17 15:59:30,5.58,5.73
2023-07-17 15:59:45,,5.73
2023-07-17 16:00:00,5.58,5.73
2023-07-17 16:00:15,5.58,5.74
2023-07-17 16:00:30,5.58,5.74
2023-07-17 16:00:45,5.58,5.74
2023-07-17 16:01:00,5.58,5.74
2023-07-17 16:01:15,5.58,5.74
2023-07-17 16:01:30,5.59,5.74
2023-07-17 16:01:45,5.59,5.74
2023-07-17 16:02:00,5.59,5.74
2023-07-17 16:02:15,5.59,5.75
2023-07-17 16:02:30,5.59,5.75
2023-07-17 16:02:45,5.59,5.75
2023-07-17 16:03:00,5.59,5.75
2023-07-17 16:03:15,5.60,5.75
2023-07-17 16:03:30,5.60,5.75
2023-07-17 16:03:45,5.60,5.75
2023-07-17 16:04:00,5.60,5.76
2023-07-17 16:04:15,5.60,5.76
2023-07-17 16:04:30,5.60,5.76
2023-07-17 16:04:45,5.60,5.76
2023-07-17 16:05:00,5.60,5.76
2023-07-17 16:05:15,5.61,5.76
2023-07-17 16:05:30,5.61,5.76
2023-07-17 16:05:45,5.61,5.76
2023-07-17 16:06:00,5.61,5.77
2023-07-17 16:06:15,5.61,5.77
2023-07-17 16:06:30,5.61,5.77
2023-07-17 16:06:45,5.61,5.77
2023-07-17 16:07:00,5.61,5.77
2023-07-17 16:07:15,5.61,5.77
2023-07-17 16:07:30,5.62,5.77
2023-07-17 16:07:45,5.62,5.77
2023-07-17 16:08:00,5.62,5.78
2023-07-17 16:08:15,5.62,5.78
2023-07-17 16:08:30,5.62,5.78
2023-07-17 16:08:45,5.62,5.78
2023-07-17 16:09:00,5.62,5.78
2023-07-17 16:09:15,5.62,5.78
2023-07-17 16:09:30,5.62,5.78
2023-07-17 16:09:45,5.62,5.78
2023-07-17 16:10:00,5.63,5.78
2023-07-17 16:10:15,5.63,5.79
2023-07-17 16:10:30,5.63,5.79
2023-07-17 16:10:45,5.63,5.79
2023-07-17 16:11:00,5.63,5.79
2023-07-17 16:11:15,5.63,5.79
2023-07-17 16:11:30,5.63,5.79
2023-07-17 16:11:45,5.63,5.79
2023-07-17 16:12:00,5.63,5.79
2023-07-17 16:12:15,5.63,5.79
2023-07-17 16:12:30,5.63,5.79
2023-07-17 16:12:45,5.63,5.79
2023-07-17 16:13:00,5.63,5.80
2023-07-17 16:13:15,5.63,5.80
2023-07-17 16:13:30,5.64,5.80
2023-07-17 16:13:45,5.64,5.80
2023-07-17 16:14:00,5.64,5.80
2023-07-17 16:14:15,5.64,5.80
2023-07-17 16:14:30,5.64,5.80
2023-07-17 16:14:45,5.64,5.80
2023-07-17 16:15:00,5.64,5.80
2023-07-17 16:15:15,5.64,5.80
2023-07-17 16:15:30,5.64,5.80
2023-07-17 16:15:45,5.64,5.80
2023-07-17 16:16:00,5.64,5.80
2023-07-17 16:16:15,5.64,5.81
2023-07-17 16:16:30,5.64,5.81
2023-07-17 16:16:45,5.64,5.81
2023-07-17 16:17:00,5.64,5.81
2023-07-17 16:17:15,5.64,5.81
2023-07-17 16:17:30,5.64,5.81
2023-07-17 16:17:45,5.64,5.81
2023-07-17 16:18:00,5.65,5.81
2023-07-17 16:18:15,5.65,5.81
2023-07-17 16:18:30,5.65,5.81
2023-07-17 16:18:45,5.65,5.81
2023-07-17 16:19:00,5.65,5.81
2023-07-17 16:19:15,5.65,5.81
2023-07-17 16:19:30,5.65,5.81
2023-07-17 16:19:45,5.65,5.81
2023-07-17 16:20:00,5.65,5.81
2023-07-17 16:20:15,5.65,5.82
2023-07-17 16:20:30,5.65,5.82
2023-07-17 16:20:45,5.65,5.82
2023-07-17 16:21:00,5.65,5.82
2023-07-17 16:21:15,5.65,5.82
2023-07-17 16:21:30,5.65,5.82
2023-07-17 16:21:45,5.65,5.82
2023-07-17 16:22:00,5.65,5.82
2023-07-17 16:22:15,5.65,5.82
2023-07-17 16:22:30,5.65,5.82
2023-07-17 16:22:45,5.65,5.82
2023-07-17 16:23:00,5.65,5.82
2023-07-17 16:23:15,5.65,5.82
2023-07-17 16:23:30,5.65,5.82
2023-07-17 16:23:45,5.66,5.82
2023-07-17 16:24:00,5.66,5.82
2023-07-17 16:24:15,5.66,5.82
2023-07-17 16:24:30,5.66,5.82
2023-07-17 16:24:45,5.66,5.82
2023-07-17 16:25:00,5.66,5.83
2023-07-17 16:25:15,5.66,5.83
2023-07-17 16:25:30,5.66,5.83
2023-07-17 16:25:45,5.66,5.83
2023-07-17 16:26:00,5.66,5.83
2023-07-17 16:26:15,5.66,5.83
2023-07-17 16:26:30,5.66,5.83
2023-07-17 16:26:45,5.66,5.83
2023-07-17 16:27:00,5.66,5.83
2023-07-17 16:27:15,5.66,5.83

