"Time","emqx-0"
2023-07-17 15:39:45,6
2023-07-17 15:40:00,161
2023-07-17 15:40:15,267
2023-07-17 15:40:30,551
2023-07-17 15:40:45,726
2023-07-17 15:41:00,1052
2023-07-17 15:41:15,1203
2023-07-17 15:41:30,1546
2023-07-17 15:41:45,1750
2023-07-17 15:42:00,1999
2023-07-17 15:42:15,2190
2023-07-17 15:42:30,2490
2023-07-17 15:42:45,2655
2023-07-17 15:43:00,2975
2023-07-17 15:43:15,3169
2023-07-17 15:43:30,3420
2023-07-17 15:43:45,3631
2023-07-17 15:44:00,3936
2023-07-17 15:44:15,4105
2023-07-17 15:44:30,4431
2023-07-17 15:44:45,4621
2023-07-17 15:45:00,4870
2023-07-17 15:45:15,5104
2023-07-17 15:45:30,5385
2023-07-17 15:45:45,5567
2023-07-17 15:46:00,5873
2023-07-17 15:46:15,6062
2023-07-17 15:46:30,6337
2023-07-17 15:46:45,6544
2023-07-17 15:47:00,6832
2023-07-17 15:47:15,7004
2023-07-17 15:47:30,7321
2023-07-17 15:47:45,7495
2023-07-17 15:48:00,7785
2023-07-17 15:48:15,7972
2023-07-17 15:48:30,8258
2023-07-17 15:48:45,8440
2023-07-17 15:49:00,8768
2023-07-17 15:49:15,8939
2023-07-17 15:49:30,9204
2023-07-17 15:49:45,9408
2023-07-17 15:50:00,9672
2023-07-17 15:50:15,9858
2023-07-17 15:50:30,10175
2023-07-17 15:50:45,10321
2023-07-17 15:51:00,10620
2023-07-17 15:51:15,10832
2023-07-17 15:51:30,11120
2023-07-17 15:51:45,11291
2023-07-17 15:52:00,11627
2023-07-17 15:52:15,11779
2023-07-17 15:52:30,12094
2023-07-17 15:52:45,12288
2023-07-17 15:53:00,12565
2023-07-17 15:53:15,12762
2023-07-17 15:53:30,13109
2023-07-17 15:53:45,13241
2023-07-17 15:54:00,13486
2023-07-17 15:54:15,13647
2023-07-17 15:54:30,13881
2023-07-17 15:55:00,14319
2023-07-17 15:55:15,14443
2023-07-17 15:55:30,14737
2023-07-17 15:55:45,14875
2023-07-17 15:56:15,15266
2023-07-17 15:56:30,15563
2023-07-17 15:56:45,15701
2023-07-17 15:57:00,15988
2023-07-17 15:57:30,16455
2023-07-17 15:57:45,16644
2023-07-17 15:58:00,17002
2023-07-17 15:58:15,17129
2023-07-17 15:58:45,17616
2023-07-17 15:59:00,17863
2023-07-17 15:59:15,18028
2023-07-17 15:59:30,18266
2023-07-17 16:00:00,18430
2023-07-17 16:00:15,18451
2023-07-17 16:00:30,18487
2023-07-17 16:00:45,18533
2023-07-17 16:01:00,18574
2023-07-17 16:01:15,18582
2023-07-17 16:01:30,18670
2023-07-17 16:01:45,18682
2023-07-17 16:02:00,18682
2023-07-17 16:02:15,18682
2023-07-17 16:02:30,18686
2023-07-17 16:02:45,18689
2023-07-17 16:03:00,18689
2023-07-17 16:03:15,18689
2023-07-17 16:03:30,18695
2023-07-17 16:03:45,18695
2023-07-17 16:04:00,18695
2023-07-17 16:04:15,18695
2023-07-17 16:04:30,18702
2023-07-17 16:04:45,18702
2023-07-17 16:05:00,18702
2023-07-17 16:05:15,18702
2023-07-17 16:05:30,18704
2023-07-17 16:05:45,18704
2023-07-17 16:06:00,18705
2023-07-17 16:06:15,18707
2023-07-17 16:06:30,18708
2023-07-17 16:06:45,18708
2023-07-17 16:07:00,18708
2023-07-17 16:07:15,18708
2023-07-17 16:07:30,18708
2023-07-17 16:07:45,18708
2023-07-17 16:08:00,18708
2023-07-17 16:08:15,18708
2023-07-17 16:08:30,18708
2023-07-17 16:08:45,18708
2023-07-17 16:09:00,18708
2023-07-17 16:09:15,18708
2023-07-17 16:09:30,18708
2023-07-17 16:09:45,18708
2023-07-17 16:10:00,18708
2023-07-17 16:10:15,18708
2023-07-17 16:10:30,18708
2023-07-17 16:10:45,18708
2023-07-17 16:11:00,18708
2023-07-17 16:11:15,18708
2023-07-17 16:11:30,18708
2023-07-17 16:11:45,18708
2023-07-17 16:12:00,18708
2023-07-17 16:12:15,18708
2023-07-17 16:12:30,18708
2023-07-17 16:12:45,18708
2023-07-17 16:13:00,18708
2023-07-17 16:13:15,18708
2023-07-17 16:13:30,18708
2023-07-17 16:13:45,18708
2023-07-17 16:14:00,18708
2023-07-17 16:14:15,18708
2023-07-17 16:14:30,18708
2023-07-17 16:14:45,18708
2023-07-17 16:15:00,18708
2023-07-17 16:15:15,18708
2023-07-17 16:15:30,18708
2023-07-17 16:15:45,18708
2023-07-17 16:16:00,18708
2023-07-17 16:16:15,18708
2023-07-17 16:16:30,18708
2023-07-17 16:16:45,18708
2023-07-17 16:17:00,18708
2023-07-17 16:17:15,18708
2023-07-17 16:17:30,18708
2023-07-17 16:17:45,18708
2023-07-17 16:18:00,18708
2023-07-17 16:18:15,18708
2023-07-17 16:18:30,18708
2023-07-17 16:18:45,18708
2023-07-17 16:19:00,18708
2023-07-17 16:19:15,18708
2023-07-17 16:19:30,18708
2023-07-17 16:19:45,18708
2023-07-17 16:20:00,18708
2023-07-17 16:20:15,18708
2023-07-17 16:20:30,18708
2023-07-17 16:20:45,18708
2023-07-17 16:21:00,18708
2023-07-17 16:21:15,18708
2023-07-17 16:21:30,18708
2023-07-17 16:21:45,18708
2023-07-17 16:22:00,18708
2023-07-17 16:22:15,18708
2023-07-17 16:22:30,18708
2023-07-17 16:22:45,18708
2023-07-17 16:23:00,18708
2023-07-17 16:23:15,18708
2023-07-17 16:23:30,18708
2023-07-17 16:23:45,18708
2023-07-17 16:24:00,18708
2023-07-17 16:24:15,18708
2023-07-17 16:24:30,18708
2023-07-17 16:24:45,18708
2023-07-17 16:25:00,18708
2023-07-17 16:25:15,18708
2023-07-17 16:25:30,18708
2023-07-17 16:25:45,18708
2023-07-17 16:26:00,18708
2023-07-17 16:26:15,18708
2023-07-17 16:26:30,18708
2023-07-17 16:26:45,18708
2023-07-17 16:27:00,18708
2023-07-17 16:27:15,18708

