"Time","emqx-0"
2023-07-17 15:39:45,0
2023-07-17 15:40:00,2633
2023-07-17 15:40:15,7069
2023-07-17 15:40:30,19355
2023-07-17 15:40:45,27456
2023-07-17 15:41:00,47461
2023-07-17 15:41:15,59444
2023-07-17 15:41:30,87018
2023-07-17 15:41:45,103290
2023-07-17 15:42:00,138161
2023-07-17 15:42:15,157254
2023-07-17 15:42:30,202049
2023-07-17 15:42:45,226035
2023-07-17 15:43:00,275956
2023-07-17 15:43:15,302510
2023-07-17 15:43:30,358601
2023-07-17 15:43:45,389222
2023-07-17 15:44:00,455285
2023-07-17 15:44:15,490226
2023-07-17 15:44:30,562348
2023-07-17 15:44:45,599546
2023-07-17 15:45:00,675690
2023-07-17 15:45:15,716441
2023-07-17 15:45:30,800226
2023-07-17 15:45:45,843179
2023-07-17 15:46:00,932042
2023-07-17 15:46:15,978260
2023-07-17 15:46:30,1072916
2023-07-17 15:46:45,1121429
2023-07-17 15:47:00,1220500
2023-07-17 15:47:15,1270592
2023-07-17 15:47:30,1375408
2023-07-17 15:47:45,1430422
2023-07-17 15:48:00,1543354
2023-07-17 15:48:15,1602682
2023-07-17 15:48:30,1723792
2023-07-17 15:48:45,1786960
2023-07-17 15:49:00,1915870
2023-07-17 15:49:15,1983421
2023-07-17 15:49:30,2122385
2023-07-17 15:49:45,2193085
2023-07-17 15:50:00,2336298
2023-07-17 15:50:15,2408462
2023-07-17 15:50:30,2558721
2023-07-17 15:50:45,2635414
2023-07-17 15:51:00,2789633
2023-07-17 15:51:15,2866834
2023-07-17 15:51:30,3022913
2023-07-17 15:51:45,3101987
2023-07-17 15:52:00,3260546
2023-07-17 15:52:15,3336939
2023-07-17 15:52:30,3496512
2023-07-17 15:52:45,3572575
2023-07-17 15:53:00,3705361
2023-07-17 15:53:15,3765545
2023-07-17 15:53:30,3883754
2023-07-17 15:53:45,3939633
2023-07-17 15:54:00,4051919
2023-07-17 15:54:15,4108875
2023-07-17 15:54:30,4227971
2023-07-17 15:55:00,4421129
2023-07-17 15:55:15,4485258
2023-07-17 15:55:30,4613266
2023-07-17 15:55:45,4676039
2023-07-17 15:56:15,4867710
2023-07-17 15:56:30,4994774
2023-07-17 15:56:45,5057446
