"Time","Messages"
2023-07-17 15:39:45,0
2023-07-17 15:40:00,0
2023-07-17 15:40:15,5
2023-07-17 15:40:30,3
2023-07-17 15:40:45,3
2023-07-17 15:41:00,6
2023-07-17 15:41:15,10
2023-07-17 15:41:30,6
2023-07-17 15:41:45,8
2023-07-17 15:42:00,11
2023-07-17 15:42:15,15
2023-07-17 15:42:30,8
2023-07-17 15:42:45,12
2023-07-17 15:43:00,26
2023-07-17 15:43:15,8
2023-07-17 15:43:30,10
2023-07-17 15:43:45,13
2023-07-17 15:44:00,14
2023-07-17 15:44:15,19
2023-07-17 15:44:30,16
2023-07-17 15:44:45,14
2023-07-17 15:45:00,15
2023-07-17 15:45:15,19
2023-07-17 15:45:30,18
2023-07-17 15:45:45,26
2023-07-17 15:46:00,29
2023-07-17 15:46:15,20
2023-07-17 15:46:30,29
2023-07-17 15:46:45,36
2023-07-17 15:47:00,36
2023-07-17 15:47:15,35
2023-07-17 15:47:30,48
2023-07-17 15:47:45,51
2023-07-17 15:48:00,43
2023-07-17 15:48:15,66
2023-07-17 15:48:30,80
2023-07-17 15:48:45,55
2023-07-17 15:49:00,60
2023-07-17 15:49:15,87
2023-07-17 15:49:30,60
2023-07-17 15:49:45,100
2023-07-17 15:50:00,119
2023-07-17 15:50:15,128
2023-07-17 15:50:30,145
2023-07-17 15:50:45,274
2023-07-17 15:51:00,238
2023-07-17 15:51:15,154
2023-07-17 15:51:30,185
2023-07-17 15:51:45,208
2023-07-17 15:52:00,433
2023-07-17 15:52:15,710
2023-07-17 15:52:30,632
2023-07-17 15:52:45,606
2023-07-17 15:53:00,1159
2023-07-17 15:53:15,1170
2023-07-17 15:53:30,1170
2023-07-17 15:53:45,1248
2023-07-17 15:54:00,1239
2023-07-17 15:54:15,1393
2023-07-17 15:54:30,1393
2023-07-17 15:54:45,1393
2023-07-17 15:55:00,1378
2023-07-17 15:55:15,1378
2023-07-17 15:55:30,1311
2023-07-17 15:55:45,1311
2023-07-17 15:56:00,1311
2023-07-17 15:56:15,1224
2023-07-17 15:56:30,1224
2023-07-17 15:56:45,1354
2023-07-17 15:57:00,1354
2023-07-17 15:57:15,1354
2023-07-17 15:57:30,1359
2023-07-17 15:57:45,1315
2023-07-17 15:58:00,1315
2023-07-17 15:58:15,1348
2023-07-17 15:58:30,1348
2023-07-17 15:58:45,1348
2023-07-17 15:59:00,1378
2023-07-17 15:59:15,1378
2023-07-17 15:59:30,1053
2023-07-17 15:59:45,1053
2023-07-17 16:00:00,1053
2023-07-17 16:00:15,1179
2023-07-17 16:00:30,1025
2023-07-17 16:00:45,586
