"Time","emqx-0","emqx-1"
2023-07-17 15:39:45,16,11
2023-07-17 15:40:00,4339,1064
2023-07-17 15:40:15,11410,6856
2023-07-17 15:40:30,31471,11192
2023-07-17 15:40:45,46086,27757
2023-07-17 15:41:00,81999,38738
2023-07-17 15:41:15,104082,68858
2023-07-17 15:41:30,154776,86021
2023-07-17 15:41:45,184943,126860
2023-07-17 15:42:00,251452,150873
2023-07-17 15:42:15,287892,204662
2023-07-17 15:42:30,371431,234464
2023-07-17 15:42:45,416511,299274
2023-07-17 15:43:00,512545,336593
2023-07-17 15:43:15,564201,416920
2023-07-17 15:43:30,672898,460867
2023-07-17 15:43:45,731773,554532
2023-07-17 15:44:00,857381,603801
2023-07-17 15:44:15,924341,709442
2023-07-17 15:44:30,1062875,765095
2023-07-17 15:44:45,1135884,889159
2023-07-17 15:45:00,1285210,953532
2023-07-17 15:45:15,1365125,1089984
2023-07-17 15:45:30,1529761,1161879
2023-07-17 15:45:45,1615389,1313757
2023-07-17 15:46:00,1792178,1393163
2023-07-17 15:46:15,1884393,1559159
2023-07-17 15:46:30,2075207,1645646
2023-07-17 15:46:45,2173906,1825330
2023-07-17 15:47:00,2377020,1920022
2023-07-17 15:47:15,2481157,2116368
2023-07-17 15:47:30,2696937,2217862
2023-07-17 15:47:45,2809934,2426740
2023-07-17 15:48:00,3040433,2532985
2023-07-17 15:48:15,3161603,2753865
2023-07-17 15:48:30,3408065,2866274
2023-07-17 15:48:45,3536617,3098280
2023-07-17 15:49:00,3798015,3216951
2023-07-17 15:49:15,3934773,3461212
2023-07-17 15:49:30,4213297,3584586
2023-07-17 15:49:45,4356165,3841581
2023-07-17 15:50:00,4646258,3974264
2023-07-17 15:50:15,4793831,4246416
2023-07-17 15:50:30,5097769,4384864
2023-07-17 15:50:45,5253744,4669572
2023-07-17 15:51:00,5569148,4817007
2023-07-17 15:51:15,5729014,5120963
2023-07-17 15:51:30,6053067,5276294
2023-07-17 15:51:45,6218797,5597483
2023-07-17 15:52:00,6551434,5760457
2023-07-17 15:52:15,6718066,6097464
2023-07-17 15:52:30,7059051,6267826
2023-07-17 15:52:45,7229477,6613682
2023-07-17 15:53:00,7551085,6784721
2023-07-17 15:53:15,7708592,7141600
2023-07-17 15:53:30,8023804,7322198
2023-07-17 15:53:45,8180419,7669351
2023-07-17 15:54:00,8494429,7839914
2023-07-17 15:54:15,8653897,8180942
2023-07-17 15:54:30,8979420,8351379
2023-07-17 15:54:45,,8693409
2023-07-17 15:55:00,9488196,8868046
2023-07-17 15:55:15,9659305,9214353
2023-07-17 15:55:30,10002495,9388626
2023-07-17 15:55:45,10174479,
2023-07-17 15:56:00,,9913066
2023-07-17 15:56:15,10694263,10272781
2023-07-17 15:56:30,11040834,10452904
2023-07-17 15:56:45,11216677,10820913
2023-07-17 15:57:00,11558831,11007081
2023-07-17 15:57:15,,11378537
2023-07-17 15:57:30,12080469,11563409
2023-07-17 15:57:45,12252846,11933874
2023-07-17 15:58:00,12604287,12120904
2023-07-17 15:58:15,12778954,12489135
2023-07-17 15:58:30,,12671421
2023-07-17 15:58:45,13292667,13030543
2023-07-17 15:59:00,13633799,13206822
2023-07-17 15:59:15,13802350,13561342
2023-07-17 15:59:30,14139947,13738877
2023-07-17 15:59:45,,14092267
2023-07-17 16:00:00,14660759,14269074
2023-07-17 16:00:15,14837333,14623629
2023-07-17 16:00:30,15177556,14798560
2023-07-17 16:00:45,15345610,15160530
2023-07-17 16:01:00,15679838,15340492
2023-07-17 16:01:15,15845422,15716498
2023-07-17 16:01:30,16173049,15907135
2023-07-17 16:01:45,16337080,16272701
2023-07-17 16:02:00,16656214,16455441
2023-07-17 16:02:15,16812462,16828200
2023-07-17 16:02:30,17117662,17014719
2023-07-17 16:02:45,17268913,17388605
2023-07-17 16:03:00,17563565,17568253
2023-07-17 16:03:15,17708653,17928725
2023-07-17 16:03:30,17991610,18106347
2023-07-17 16:03:45,18131988,18465032
2023-07-17 16:04:00,18407171,18641070
2023-07-17 16:04:15,18543992,19007940
2023-07-17 16:04:30,18811699,19145701
2023-07-17 16:04:45,18942931,19439471
2023-07-17 16:05:00,19198912,19582809
2023-07-17 16:05:15,19322445,19864085
2023-07-17 16:05:30,19565233,20001425
2023-07-17 16:05:45,19682142,20269902
2023-07-17 16:06:00,19908781,20400809
2023-07-17 16:06:15,20017819,20659371
2023-07-17 16:06:30,20228556,20785167
2023-07-17 16:06:45,20331255,21029215
2023-07-17 16:07:00,20530577,21146031
2023-07-17 16:07:15,20628841,21375073
2023-07-17 16:07:30,20813035,21484622
2023-07-17 16:07:45,20903791,21699512
2023-07-17 16:08:00,21078641,21800652
2023-07-17 16:08:15,21164225,21996716
2023-07-17 16:08:30,21327569,22089869
2023-07-17 16:08:45,21406339,22272286
2023-07-17 16:09:00,21554866,22359574
2023-07-17 16:09:15,21626990,22525679
2023-07-17 16:09:30,21766519,22603881
2023-07-17 16:09:45,21832746,22752725
2023-07-17 16:10:00,21961100,22822623
2023-07-17 16:10:15,22022372,22955718
2023-07-17 16:10:30,22136549,23017749
2023-07-17 16:10:45,22191675,23139181
2023-07-17 16:11:00,22289841,23196053
2023-07-17 16:11:15,22336844,23306252
2023-07-17 16:11:30,22421488,23357223
2023-07-17 16:11:45,22462488,23455681
2023-07-17 16:12:00,22537264,23499584
2023-07-17 16:12:15,22574283,23586778
2023-07-17 16:12:30,22643840,23627119
2023-07-17 16:12:45,22677353,23706054
2023-07-17 16:13:00,22740789,23743634
2023-07-17 16:13:15,22771383,23815835
2023-07-17 16:13:30,22828127,23850663
2023-07-17 16:13:45,22853889,23919838
2023-07-17 16:14:00,22903068,23952429
2023-07-17 16:14:15,22928020,24017223
2023-07-17 16:14:30,22976142,24048680
2023-07-17 16:14:45,22999881,24111226
2023-07-17 16:15:00,23044253,24141348
2023-07-17 16:15:15,23066994,24203071
2023-07-17 16:15:30,23108948,24232801
2023-07-17 16:15:45,23129751,24293288
2023-07-17 16:16:00,23169875,24322587
2023-07-17 16:16:15,23190339,24380157
2023-07-17 16:16:30,23229411,24407618
2023-07-17 16:16:45,23249570,24463186
2023-07-17 16:17:00,23287763,24489155
2023-07-17 16:17:15,23307320,24541408
2023-07-17 16:17:30,23344911,24566525
2023-07-17 16:17:45,23364052,24615866
2023-07-17 16:18:00,23400612,24639195
2023-07-17 16:18:15,23419441,24686557
2023-07-17 16:18:30,23455035,24708412
2023-07-17 16:18:45,23473276,24752632
2023-07-17 16:19:00,23507895,24773899
2023-07-17 16:19:15,23524781,24817106
2023-07-17 16:19:30,23556032,24837784
2023-07-17 16:19:45,23572000,24880302
2023-07-17 16:20:00,23600270,24900401
2023-07-17 16:20:15,23614578,24941841
2023-07-17 16:20:30,23641037,24961662
2023-07-17 16:20:45,23653761,25002119
2023-07-17 16:21:00,23676958,25021459
2023-07-17 16:21:15,23689082,25060408
2023-07-17 16:21:30,23711295,25077957
2023-07-17 16:21:45,23722970,25113996
2023-07-17 16:22:00,23744566,25130593
2023-07-17 16:22:15,23755688,25163186
2023-07-17 16:22:30,23776406,25178420
2023-07-17 16:22:45,23787253,25209041
2023-07-17 16:23:00,23806842,25222466
2023-07-17 16:23:15,23817219,25250341
2023-07-17 16:23:30,23836118,25262819
2023-07-17 16:23:45,23845892,25287168
2023-07-17 16:24:00,23863956,25298420
2023-07-17 16:24:15,23873368,25320711
2023-07-17 16:24:30,23890248,25330032
2023-07-17 16:24:45,23899264,25349889
2023-07-17 16:25:00,23915466,25358183
2023-07-17 16:25:15,23923884,25374404
2023-07-17 16:25:30,23939266,25381602
2023-07-17 16:25:45,23947296,25395564
2023-07-17 16:26:00,23961326,25400911
2023-07-17 16:26:15,23968941,25412992
2023-07-17 16:26:30,23980988,25417991
2023-07-17 16:26:45,23986637,25428925
2023-07-17 16:27:00,23996546,25433600
2023-07-17 16:27:15,24002156,25444450

