"Time","emqx-0","emqx-1","Used Memory"
2023-07-17 15:39:45,2.96 GB,2.79 GB,5.75 GB
2023-07-17 15:40:00,2.97 GB,2.80 GB,5.76 GB
2023-07-17 15:40:15,2.98 GB,2.81 GB,5.78 GB
2023-07-17 15:40:30,2.99 GB,2.82 GB,5.81 GB
2023-07-17 15:40:45,3.00 GB,2.85 GB,5.85 GB
2023-07-17 15:41:00,3.03 GB,2.87 GB,5.90 GB
2023-07-17 15:41:15,3.05 GB,2.89 GB,5.94 GB
2023-07-17 15:41:30,3.08 GB,2.90 GB,5.98 GB
2023-07-17 15:41:45,3.09 GB,2.93 GB,6.03 GB
2023-07-17 15:42:00,3.13 GB,2.95 GB,6.08 GB
2023-07-17 15:42:15,3.15 GB,2.96 GB,6.11 GB
2023-07-17 15:42:30,3.15 GB,2.99 GB,6.14 GB
2023-07-17 15:42:45,3.16 GB,3.00 GB,6.17 GB
2023-07-17 15:43:00,3.18 GB,3.01 GB,6.19 GB
2023-07-17 15:43:15,3.20 GB,3.05 GB,6.25 GB
2023-07-17 15:43:30,3.22 GB,3.07 GB,6.29 GB
2023-07-17 15:43:45,3.23 GB,3.08 GB,6.31 GB
2023-07-17 15:44:00,3.26 GB,3.09 GB,6.35 GB
2023-07-17 15:44:15,3.30 GB,3.10 GB,6.40 GB
2023-07-17 15:44:30,3.31 GB,3.11 GB,6.41 GB
2023-07-17 15:44:45,3.35 GB,3.10 GB,6.45 GB
2023-07-17 15:45:00,3.37 GB,3.14 GB,6.51 GB
2023-07-17 15:45:15,3.38 GB,3.18 GB,6.56 GB
2023-07-17 15:45:30,3.40 GB,3.19 GB,6.59 GB
2023-07-17 15:45:45,3.41 GB,3.23 GB,6.64 GB
2023-07-17 15:46:00,3.42 GB,3.22 GB,6.64 GB
2023-07-17 15:46:15,3.43 GB,3.25 GB,6.67 GB
2023-07-17 15:46:30,3.42 GB,3.28 GB,6.71 GB
2023-07-17 15:46:45,3.43 GB,3.32 GB,6.74 GB
2023-07-17 15:47:00,3.46 GB,3.31 GB,6.77 GB
2023-07-17 15:47:15,3.49 GB,3.32 GB,6.81 GB
2023-07-17 15:47:30,3.52 GB,3.32 GB,6.85 GB
2023-07-17 15:47:45,3.53 GB,3.35 GB,6.87 GB
2023-07-17 15:48:00,3.55 GB,3.34 GB,6.88 GB
2023-07-17 15:48:15,3.56 GB,3.36 GB,6.92 GB
2023-07-17 15:48:30,3.56 GB,3.38 GB,6.94 GB
2023-07-17 15:48:45,3.57 GB,3.42 GB,6.99 GB
2023-07-17 15:49:00,3.62 GB,3.46 GB,7.08 GB
2023-07-17 15:49:15,3.62 GB,3.51 GB,7.13 GB
2023-07-17 15:49:30,3.64 GB,3.52 GB,7.16 GB
2023-07-17 15:49:45,3.65 GB,3.54 GB,7.19 GB
2023-07-17 15:50:00,3.67 GB,3.53 GB,7.21 GB
2023-07-17 15:50:15,3.67 GB,3.55 GB,7.22 GB
2023-07-17 15:50:30,3.69 GB,3.55 GB,7.24 GB
2023-07-17 15:50:45,3.70 GB,3.58 GB,7.27 GB
2023-07-17 15:51:00,3.71 GB,3.58 GB,7.29 GB
2023-07-17 15:51:15,3.73 GB,3.62 GB,7.35 GB
2023-07-17 15:51:30,3.67 GB,3.43 GB,7.11 GB
2023-07-17 15:51:45,3.68 GB,3.51 GB,7.19 GB
2023-07-17 15:52:00,3.73 GB,3.53 GB,7.26 GB
2023-07-17 15:52:15,3.76 GB,3.63 GB,7.39 GB
2023-07-17 15:52:30,3.80 GB,3.69 GB,7.50 GB
2023-07-17 15:52:45,3.80 GB,3.73 GB,7.53 GB
2023-07-17 15:53:00,3.79 GB,3.81 GB,7.60 GB
2023-07-17 15:53:15,3.81 GB,3.81 GB,7.62 GB
2023-07-17 15:53:30,3.80 GB,3.80 GB,7.60 GB
2023-07-17 15:53:45,3.76 GB,3.82 GB,7.58 GB
2023-07-17 15:54:00,3.78 GB,3.78 GB,7.57 GB
2023-07-17 15:54:15,3.78 GB,3.78 GB,7.56 GB
2023-07-17 15:54:30,3.61 GB,3.78 GB,7.39 GB
2023-07-17 15:54:45,,3.76 GB,3.76 GB
2023-07-17 15:55:00,3.66 GB,3.79 GB,7.45 GB
2023-07-17 15:55:15,3.65 GB,3.80 GB,7.45 GB
2023-07-17 15:55:30,3.67 GB,3.80 GB,7.47 GB
2023-07-17 15:55:45,3.69 GB,,3.69 GB
2023-07-17 15:56:00,,3.79 GB,3.79 GB
2023-07-17 15:56:15,3.77 GB,3.76 GB,7.52 GB
2023-07-17 15:56:30,3.75 GB,3.74 GB,7.49 GB
2023-07-17 15:56:45,3.79 GB,3.77 GB,7.55 GB
2023-07-17 15:57:00,3.79 GB,3.76 GB,7.55 GB
2023-07-17 15:57:15,,3.75 GB,3.75 GB
2023-07-17 15:57:30,3.74 GB,3.76 GB,7.50 GB
2023-07-17 15:57:45,3.77 GB,3.77 GB,7.54 GB
2023-07-17 15:58:00,3.76 GB,3.79 GB,7.56 GB
2023-07-17 15:58:15,3.75 GB,3.80 GB,7.55 GB
2023-07-17 15:58:30,,3.78 GB,3.78 GB
2023-07-17 15:58:45,3.75 GB,3.77 GB,7.52 GB
2023-07-17 15:59:00,3.79 GB,3.77 GB,7.56 GB
2023-07-17 15:59:15,3.76 GB,3.75 GB,7.51 GB
2023-07-17 15:59:30,3.80 GB,3.73 GB,7.54 GB
2023-07-17 15:59:45,,3.70 GB,3.70 GB
2023-07-17 16:00:00,3.78 GB,3.72 GB,7.50 GB
2023-07-17 16:00:15,3.78 GB,3.73 GB,7.51 GB
2023-07-17 16:00:30,3.77 GB,3.72 GB,7.49 GB
2023-07-17 16:00:45,3.78 GB,3.71 GB,7.49 GB
2023-07-17 16:01:00,3.77 GB,3.67 GB,7.44 GB
2023-07-17 16:01:15,3.77 GB,3.68 GB,7.45 GB
2023-07-17 16:01:30,3.77 GB,3.68 GB,7.45 GB
2023-07-17 16:01:45,3.75 GB,3.67 GB,7.42 GB
2023-07-17 16:02:00,3.76 GB,3.67 GB,7.43 GB
2023-07-17 16:02:15,3.76 GB,3.68 GB,7.44 GB
2023-07-17 16:02:30,3.76 GB,3.67 GB,7.43 GB
2023-07-17 16:02:45,3.76 GB,3.66 GB,7.41 GB
2023-07-17 16:03:00,3.75 GB,3.66 GB,7.41 GB
2023-07-17 16:03:15,3.77 GB,3.66 GB,7.42 GB
2023-07-17 16:03:30,3.75 GB,3.66 GB,7.41 GB
2023-07-17 16:03:45,3.76 GB,3.66 GB,7.41 GB
2023-07-17 16:04:00,3.75 GB,3.66 GB,7.41 GB
2023-07-17 16:04:15,3.75 GB,3.67 GB,7.42 GB
2023-07-17 16:04:30,3.75 GB,3.66 GB,7.40 GB
2023-07-17 16:04:45,3.75 GB,3.66 GB,7.41 GB
2023-07-17 16:05:00,3.74 GB,3.66 GB,7.41 GB
2023-07-17 16:05:15,3.75 GB,3.66 GB,7.41 GB
2023-07-17 16:05:30,3.75 GB,3.66 GB,7.40 GB
2023-07-17 16:05:45,3.75 GB,3.65 GB,7.40 GB
2023-07-17 16:06:00,3.76 GB,3.66 GB,7.41 GB
2023-07-17 16:06:15,3.76 GB,3.65 GB,7.41 GB
2023-07-17 16:06:30,3.10 GB,3.65 GB,6.75 GB
2023-07-17 16:06:45,3.00 GB,3.10 GB,6.10 GB
2023-07-17 16:07:00,3.23 GB,3.24 GB,6.47 GB
2023-07-17 16:07:15,3.26 GB,3.30 GB,6.56 GB
2023-07-17 16:07:30,3.27 GB,3.31 GB,6.58 GB
2023-07-17 16:07:45,3.28 GB,3.32 GB,6.61 GB
2023-07-17 16:08:00,3.28 GB,3.33 GB,6.61 GB
2023-07-17 16:08:15,3.29 GB,3.33 GB,6.62 GB
2023-07-17 16:08:30,3.29 GB,3.33 GB,6.62 GB
2023-07-17 16:08:45,3.29 GB,3.35 GB,6.64 GB
2023-07-17 16:09:00,3.30 GB,3.34 GB,6.64 GB
2023-07-17 16:09:15,3.30 GB,3.35 GB,6.65 GB
2023-07-17 16:09:30,3.29 GB,3.36 GB,6.64 GB
2023-07-17 16:09:45,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:10:00,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:10:15,3.30 GB,3.37 GB,6.66 GB
2023-07-17 16:10:30,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:10:45,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:11:00,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:11:15,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:11:30,3.28 GB,3.36 GB,6.64 GB
2023-07-17 16:11:45,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:12:00,3.29 GB,3.36 GB,6.64 GB
2023-07-17 16:12:15,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:12:30,3.30 GB,3.35 GB,6.65 GB
2023-07-17 16:12:45,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:13:00,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:13:15,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:13:30,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:13:45,3.29 GB,3.36 GB,6.64 GB
2023-07-17 16:14:00,3.29 GB,3.35 GB,6.65 GB
2023-07-17 16:14:15,3.30 GB,3.36 GB,6.65 GB
2023-07-17 16:14:30,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:14:45,3.29 GB,3.35 GB,6.64 GB
2023-07-17 16:15:00,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:15:15,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:15:30,3.30 GB,3.36 GB,6.67 GB
2023-07-17 16:15:45,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:16:00,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:16:15,3.29 GB,3.35 GB,6.64 GB
2023-07-17 16:16:30,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:16:45,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:17:00,3.29 GB,3.36 GB,6.66 GB
2023-07-17 16:17:15,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:17:30,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:17:45,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:18:00,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:18:15,3.29 GB,3.36 GB,6.65 GB
2023-07-17 16:18:30,3.30 GB,3.36 GB,6.66 GB
2023-07-17 16:18:45,3.31 GB,3.37 GB,6.68 GB
