"Time","emqx-1","emqx-0","emqx-2"
2023-06-26 16:13:30,6.97,18.7,5.76
2023-06-26 16:13:45,6.97,18.7,5.76
2023-06-26 16:14:00,6.97,18.7,5.76
2023-06-26 16:14:15,6.97,18.7,5.76
2023-06-26 16:14:30,6.97,18.7,5.76
2023-06-26 16:14:45,6.97,18.7,5.76
2023-06-26 16:15:00,6.97,18.7,5.76
2023-06-26 16:15:15,6.97,18.7,5.76
2023-06-26 16:15:30,6.98,18.7,5.76
2023-06-26 16:15:45,6.98,18.7,5.76
2023-06-26 16:16:00,6.98,18.7,5.76
2023-06-26 16:16:15,6.98,18.7,5.76
2023-06-26 16:16:30,6.98,18.7,5.76
2023-06-26 16:16:45,6.98,18.7,5.76
2023-06-26 16:17:00,6.98,18.7,5.77
2023-06-26 16:17:15,6.98,18.7,5.77
2023-06-26 16:17:30,6.99,18.7,5.77
2023-06-26 16:17:45,6.99,18.7,5.77
2023-06-26 16:18:00,6.99,18.7,5.77
2023-06-26 16:18:15,6.99,18.7,5.77
2023-06-26 16:18:30,6.99,18.7,5.78
2023-06-26 16:18:45,6.99,18.7,5.78
2023-06-26 16:19:00,7.00,18.7,5.78
2023-06-26 16:19:15,7.00,18.7,5.78
2023-06-26 16:19:30,7.00,18.7,5.78
2023-06-26 16:19:45,7.00,18.7,5.79
2023-06-26 16:20:00,7.01,18.7,5.79
2023-06-26 16:20:15,7.01,18.7,5.79
2023-06-26 16:20:30,7.01,18.7,5.79
2023-06-26 16:20:45,7.01,18.7,5.79
2023-06-26 16:21:00,7.01,18.7,5.80
2023-06-26 16:21:15,7.02,18.7,5.80
2023-06-26 16:21:30,7.02,18.7,5.80
2023-06-26 16:21:45,7.02,18.7,5.80
2023-06-26 16:22:00,7.02,18.7,5.81
2023-06-26 16:22:15,7.02,18.7,5.81
2023-06-26 16:22:30,7.03,18.7,5.81
2023-06-26 16:22:45,7.03,18.7,5.81
2023-06-26 16:23:00,7.03,18.7,5.81
2023-06-26 16:23:15,7.03,18.7,5.82
2023-06-26 16:23:30,7.04,18.7,5.82
2023-06-26 16:23:45,7.04,18.7,5.82
2023-06-26 16:24:00,7.04,18.7,5.82
2023-06-26 16:24:15,7.04,18.7,5.82
2023-06-26 16:24:30,7.04,18.7,5.83
2023-06-26 16:24:45,7.05,18.7,5.83
2023-06-26 16:25:00,7.05,18.7,5.83
2023-06-26 16:25:15,7.05,18.7,5.83
2023-06-26 16:25:30,7.05,18.7,5.84
2023-06-26 16:25:45,7.05,18.7,5.84
2023-06-26 16:26:00,7.06,18.7,5.84
2023-06-26 16:26:15,7.06,18.7,5.84
2023-06-26 16:26:30,7.06,18.7,5.85
2023-06-26 16:26:45,7.06,18.7,5.85
2023-06-26 16:27:00,7.07,18.7,5.85
2023-06-26 16:27:15,7.07,18.7,5.85
2023-06-26 16:27:30,7.07,18.7,5.85
2023-06-26 16:27:45,7.07,18.7,5.86
2023-06-26 16:28:00,7.08,18.7,5.86
2023-06-26 16:28:15,7.08,18.7,5.86
2023-06-26 16:28:30,7.08,18.7,5.86
2023-06-26 16:28:45,7.08,18.7,5.86
2023-06-26 16:29:00,7.08,18.7,5.87
