"Time","emqx-1","emqx-0","emqx-2","Used Memory"
2023-06-26 16:13:30,1.83 GB,2.46 GB,2.29 GB,6.59 GB
2023-06-26 16:13:45,1.83 GB,2.47 GB,2.30 GB,6.59 GB
2023-06-26 16:14:00,1.83 GB,2.46 GB,2.29 GB,6.59 GB
2023-06-26 16:14:15,1.83 GB,2.47 GB,2.30 GB,6.59 GB
2023-06-26 16:14:30,1.83 GB,2.47 GB,2.30 GB,6.60 GB
2023-06-26 16:14:45,1.84 GB,2.48 GB,2.30 GB,6.62 GB
2023-06-26 16:15:00,1.86 GB,2.49 GB,2.32 GB,6.67 GB
2023-06-26 16:15:15,1.86 GB,2.51 GB,2.33 GB,6.70 GB
2023-06-26 16:15:30,1.88 GB,2.52 GB,2.33 GB,6.73 GB
2023-06-26 16:15:45,1.89 GB,2.54 GB,2.35 GB,6.78 GB
2023-06-26 16:16:00,1.92 GB,2.56 GB,2.36 GB,6.84 GB
2023-06-26 16:16:15,1.93 GB,2.57 GB,2.37 GB,6.87 GB
2023-06-26 16:16:30,1.96 GB,2.58 GB,2.38 GB,6.92 GB
2023-06-26 16:16:45,1.95 GB,2.59 GB,2.40 GB,6.94 GB
2023-06-26 16:17:00,1.97 GB,2.60 GB,2.42 GB,7.00 GB
2023-06-26 16:17:15,1.97 GB,2.61 GB,2.44 GB,7.02 GB
2023-06-26 16:17:30,2.00 GB,2.64 GB,2.45 GB,7.09 GB
2023-06-26 16:17:45,2.01 GB,2.64 GB,2.46 GB,7.11 GB
2023-06-26 16:18:00,2.03 GB,2.66 GB,2.47 GB,7.16 GB
2023-06-26 16:18:15,2.04 GB,2.66 GB,2.47 GB,7.17 GB
2023-06-26 16:18:30,2.05 GB,2.68 GB,2.50 GB,7.23 GB
2023-06-26 16:18:45,2.05 GB,2.69 GB,2.50 GB,7.24 GB
2023-06-26 16:19:00,2.07 GB,2.70 GB,2.53 GB,7.30 GB
2023-06-26 16:19:15,2.08 GB,2.70 GB,2.53 GB,7.32 GB
2023-06-26 16:19:30,2.09 GB,2.73 GB,2.56 GB,7.37 GB
2023-06-26 16:19:45,2.09 GB,2.73 GB,2.56 GB,7.38 GB
2023-06-26 16:20:00,2.10 GB,2.75 GB,2.56 GB,7.40 GB
2023-06-26 16:20:15,2.10 GB,2.75 GB,2.57 GB,7.42 GB
2023-06-26 16:20:30,2.10 GB,2.75 GB,2.56 GB,7.42 GB
2023-06-26 16:20:45,2.11 GB,2.75 GB,2.58 GB,7.44 GB
2023-06-26 16:21:00,2.11 GB,2.76 GB,2.57 GB,7.44 GB
2023-06-26 16:21:15,2.10 GB,2.75 GB,2.57 GB,7.42 GB
2023-06-26 16:21:30,2.11 GB,2.77 GB,2.56 GB,7.44 GB
2023-06-26 16:21:45,2.11 GB,2.77 GB,2.56 GB,7.44 GB
2023-06-26 16:22:00,2.10 GB,2.77 GB,2.56 GB,7.44 GB
2023-06-26 16:22:15,2.10 GB,2.76 GB,2.56 GB,7.42 GB
2023-06-26 16:22:30,2.10 GB,2.76 GB,2.56 GB,7.42 GB
2023-06-26 16:22:45,2.10 GB,2.76 GB,2.56 GB,7.42 GB
2023-06-26 16:23:00,2.10 GB,2.76 GB,2.55 GB,7.41 GB
2023-06-26 16:23:15,2.10 GB,2.75 GB,2.56 GB,7.41 GB
2023-06-26 16:23:30,2.09 GB,2.75 GB,2.56 GB,7.40 GB
2023-06-26 16:23:45,2.10 GB,2.75 GB,2.56 GB,7.41 GB
2023-06-26 16:24:00,2.09 GB,2.74 GB,2.56 GB,7.39 GB
2023-06-26 16:24:15,2.09 GB,2.75 GB,2.55 GB,7.39 GB
2023-06-26 16:24:30,2.08 GB,2.75 GB,2.55 GB,7.38 GB
2023-06-26 16:24:45,2.08 GB,2.75 GB,2.56 GB,7.39 GB
2023-06-26 16:25:00,2.09 GB,2.76 GB,2.56 GB,7.41 GB
2023-06-26 16:25:15,2.08 GB,2.76 GB,2.57 GB,7.42 GB
2023-06-26 16:25:30,2.08 GB,2.76 GB,2.57 GB,7.40 GB
2023-06-26 16:25:45,2.08 GB,2.77 GB,2.57 GB,7.41 GB
2023-06-26 16:26:00,2.05 GB,2.68 GB,2.51 GB,7.24 GB
