"Time","total","emqx-0","emqx-1","emqx-2"
2023-06-27 14:59:45,0,0,0,0
2023-06-27 15:00:00,0,0,0,0
2023-06-27 15:00:15,0,0,0,0
2023-06-27 15:00:30,0,0,0,0
2023-06-27 15:00:45,0,0,0,0
2023-06-27 15:01:00,0,0,0,0
2023-06-27 15:01:15,0,0,0,0
2023-06-27 15:01:30,0,0,0,0
2023-06-27 15:01:45,5,4,0,1
2023-06-27 15:02:00,5,4,0,1
2023-06-27 15:02:15,9,6,1,2
2023-06-27 15:02:30,10,7,1,2
2023-06-27 15:02:45,13,8,2,3
2023-06-27 15:03:00,15,9,3,3
2023-06-27 15:03:15,16,10,3,3
2023-06-27 15:03:30,20,11,6,3
2023-06-27 15:03:45,20,11,6,3
2023-06-27 15:04:00,24,12,9,3
2023-06-27 15:04:15,25,12,9,4
2023-06-27 15:04:30,28,13,11,4
2023-06-27 15:04:45,29,13,11,5
2023-06-27 15:05:00,32,14,13,5
2023-06-27 15:05:15,33,14,14,5
2023-06-27 15:05:30,36,15,16,5
2023-06-27 15:05:45,37,15,16,6
2023-06-27 15:06:00,41,16,17,8
2023-06-27 15:06:15,42,16,18,8
2023-06-27 15:06:30,44,16,19,9
2023-06-27 15:06:45,45,17,19,9
2023-06-27 15:07:00,49,19,20,10
2023-06-27 15:07:15,49,19,20,10
2023-06-27 15:07:30,53,19,24,10
2023-06-27 15:07:45,53,19,24,10
2023-06-27 15:08:00,57,22,25,10
2023-06-27 15:08:15,58,23,25,10
2023-06-27 15:08:30,61,25,26,10
2023-06-27 15:08:45,61,25,26,10
2023-06-27 15:09:00,64,26,27,11
2023-06-27 15:09:15,64,26,27,11
2023-06-27 15:09:30,64,26,27,11
2023-06-27 15:09:45,67,27,27,13
2023-06-27 15:10:00,67,27,27,13
2023-06-27 15:10:15,67,27,27,13
2023-06-27 15:10:30,68,27,28,13
2023-06-27 15:10:45,69,27,29,13
2023-06-27 15:11:00,69,27,29,13
2023-06-27 15:11:15,70,27,29,14
2023-06-27 15:11:30,71,27,30,14
2023-06-27 15:11:45,71,27,30,14
2023-06-27 15:12:00,72,27,31,14
2023-06-27 15:12:15,72,27,31,14
2023-06-27 15:12:30,73,27,31,15
2023-06-27 15:12:45,73,27,31,15
2023-06-27 15:13:00,73,27,31,15
2023-06-27 15:13:15,73,27,31,15
2023-06-27 15:13:30,74,28,31,15
2023-06-27 15:13:45,74,28,31,15
2023-06-27 15:14:00,74,28,31,15
2023-06-27 15:14:15,75,28,31,16
2023-06-27 15:14:30,75,28,31,16
2023-06-27 15:14:45,75,28,31,16
2023-06-27 15:15:00,75,28,31,16
2023-06-27 15:15:15,75,28,31,16
2023-06-27 15:15:30,75,28,31,16
2023-06-27 15:15:45,75,28,31,16
2023-06-27 15:16:00,75,28,31,16
2023-06-27 15:16:15,75,28,31,16
2023-06-27 15:16:30,75,28,31,16
2023-06-27 15:16:45,75,28,31,16
2023-06-27 15:17:00,75,28,31,16
2023-06-27 15:17:15,75,28,31,16
2023-06-27 15:17:30,75,28,31,16
2023-06-27 15:17:45,75,28,31,16
2023-06-27 15:18:00,75,28,31,16
2023-06-27 15:18:15,75,28,31,16
2023-06-27 15:18:30,75,28,31,16
2023-06-27 15:18:45,75,28,31,16
2023-06-27 15:19:00,75,28,31,16
2023-06-27 15:19:15,75,28,31,16
2023-06-27 15:19:30,75,28,31,16
2023-06-27 15:19:45,75,28,31,16
2023-06-27 15:20:00,75,28,31,16
2023-06-27 15:20:15,75,28,31,16
2023-06-27 15:20:30,75,28,31,16
2023-06-27 15:20:45,75,28,31,16
