"Time","emqx-1","emqx-2","emqx-0"
2023-06-22 17:27:45,0,0,
2023-06-22 17:28:00,0,0,0
2023-06-22 17:28:15,0,0,0
2023-06-22 17:28:30,0,0,0
2023-06-22 17:28:45,0,0,0
2023-06-22 17:29:00,0,0,0
2023-06-22 17:29:15,0,0,0
2023-06-22 17:29:30,0,0,0
2023-06-22 17:29:45,0,0,0
2023-06-22 17:30:00,0,0,0
2023-06-22 17:30:15,2,2,1
2023-06-22 17:30:30,2,2,1
2023-06-22 17:30:45,3,4,2
2023-06-22 17:31:00,3,4,3
2023-06-22 17:31:15,105,122,30
2023-06-22 17:31:30,182,202,191
2023-06-22 17:31:45,346,392,257
2023-06-22 17:32:00,454,512,514
2023-06-22 17:32:15,663,732,599
2023-06-22 17:32:30,776,822,816
2023-06-22 17:32:45,976,1045,894
2023-06-22 17:33:00,1104,1184,1151
2023-06-22 17:33:15,1274,1351,1202
2023-06-22 17:33:30,1385,1478,1479
2023-06-22 17:33:45,1599,1664,1553
2023-06-22 17:34:00,1719,1761,1760
2023-06-22 17:34:15,1907,1952,1839
2023-06-22 17:34:30,2050,2069,2115
2023-06-22 17:34:45,2227,2271,2183
2023-06-22 17:35:00,2361,2413,2415
2023-06-22 17:35:15,2566,2625,2507
2023-06-22 17:35:30,2665,2747,2716
2023-06-22 17:35:45,2862,2975,2796
2023-06-22 17:36:00,2989,3105,3069
2023-06-22 17:36:15,3161,3257,3134
2023-06-22 17:36:30,3291,3402,3396
2023-06-22 17:36:45,3509,3613,3474
2023-06-22 17:37:00,3606,3721,3722
2023-06-22 17:37:15,3805,3929,3805
2023-06-22 17:37:30,3940,4064,4050
2023-06-22 17:37:45,4085,4263,4112
2023-06-22 17:38:00,4217,4400,4361
2023-06-22 17:38:15,4403,4601,4463
2023-06-22 17:38:30,4507,4719,4683
2023-06-22 17:38:45,4740,4936,4764
2023-06-22 17:39:00,4861,5063,5016
2023-06-22 17:39:15,5042,5237,5088
2023-06-22 17:39:30,5187,5356,5360
2023-06-22 17:39:45,5398,5547,5444
2023-06-22 17:40:00,5498,5662,5662
2023-06-22 17:40:15,5721,5891,5752
2023-06-22 17:40:30,5857,6004,5995
2023-06-22 17:40:45,6047,6187,6066
2023-06-22 17:41:00,6183,6331,6314
2023-06-22 17:41:15,6312,6459,6394
2023-06-22 17:41:30,6373,6516,6516
2023-06-22 17:41:45,6432,6578,6541
2023-06-22 17:42:00,6444,6584,6565
2023-06-22 17:42:15,6476,6621,6579
2023-06-22 17:42:30,6501,6649,6629
2023-06-22 17:42:45,6522,6659,6641
