"Time","emqx-1","emqx-2","emqx-0"
2023-06-22 17:27:45,0,0,
2023-06-22 17:28:00,0,0,0
2023-06-22 17:28:15,0,0,0
2023-06-22 17:28:30,0,0,0
2023-06-22 17:28:45,0,0,0
2023-06-22 17:29:00,0,0,0
2023-06-22 17:29:15,0,0,0
2023-06-22 17:29:30,0,0,0
2023-06-22 17:29:45,0,0,0
2023-06-22 17:30:00,0,0,0
2023-06-22 17:30:15,4,4,2
2023-06-22 17:30:30,4,4,2
2023-06-22 17:30:45,8,10,5
2023-06-22 17:31:00,8,10,7
2023-06-22 17:31:15,2794,1961,192
2023-06-22 17:31:30,7356,4893,3994
2023-06-22 17:31:45,19438,13951,7106
2023-06-22 17:32:00,27804,21602,18716
2023-06-22 17:32:15,48264,40563,26630
2023-06-22 17:32:30,61564,53235,47207
2023-06-22 17:32:45,92584,81644,58772
2023-06-22 17:33:00,110753,98501,86726
2023-06-22 17:33:15,151384,136694,103567
2023-06-22 17:33:30,173713,157423,141251
2023-06-22 17:33:45,225097,201817,163468
2023-06-22 17:34:00,253942,224926,211169
2023-06-22 17:34:15,318720,274916,236794
2023-06-22 17:34:30,354519,301894,292389
2023-06-22 17:34:45,431050,361247,321317
2023-06-22 17:35:00,472792,393999,381987
2023-06-22 17:35:15,563146,463177,412899
2023-06-22 17:35:30,612504,500195,479304
2023-06-22 17:35:45,713250,578136,513655
2023-06-22 17:36:00,766524,621622,588930
2023-06-22 17:36:15,876611,710475,627920
2023-06-22 17:36:30,935835,757684,709212
2023-06-22 17:36:45,1060445,856509,750667
2023-06-22 17:37:00,1124773,910062,837856
2023-06-22 17:37:15,1256527,1023367,882485
2023-06-22 17:37:30,1325257,1082837,975547
2023-06-22 17:37:45,1467175,1204471,1025254
2023-06-22 17:38:00,1541349,1267193,1128359
2023-06-22 17:38:15,1694932,1396959,1182277
2023-06-22 17:38:30,1773699,1464740,1294831
2023-06-22 17:38:45,1936164,1605277,1352317
2023-06-22 17:39:00,2019905,1678992,1473664
2023-06-22 17:39:15,2189409,1831117,1535341
2023-06-22 17:39:30,2276873,1911562,1664575
2023-06-22 17:39:45,2454600,2075571,1729648
2023-06-22 17:40:00,2545738,2159680,1868895
2023-06-22 17:40:15,2730298,2330634,1940495
2023-06-22 17:40:30,2827127,2418945,2090741
2023-06-22 17:40:45,3024511,2596176,2166326
2023-06-22 17:41:00,3126426,2687675,2323506
2023-06-22 17:41:15,3334454,2874097,2403671
2023-06-22 17:41:30,3439571,2968703,2569022
2023-06-22 17:41:45,3651029,3163299,2651973
