"Time","Bytes Sent","Bytes received"
2023-06-22 17:27:45,0,0
2023-06-22 17:28:00,0,0
2023-06-22 17:28:15,0,0
2023-06-22 17:28:30,0,0
2023-06-22 17:28:45,0,0
2023-06-22 17:29:00,0,0
2023-06-22 17:29:15,0,0
2023-06-22 17:29:30,0,0
2023-06-22 17:29:45,0,0
2023-06-22 17:30:00,0,0
2023-06-22 17:30:15,45,189
2023-06-22 17:30:30,45,189
2023-06-22 17:30:45,91,352
2023-06-22 17:31:00,100,388
2023-06-22 17:31:15,304666,558397
2023-06-22 17:31:30,2405079,2288073
2023-06-22 17:31:45,5794001,6822428
2023-06-22 17:32:00,12898679,12889475
2023-06-22 17:32:15,22045068,23202217
2023-06-22 17:32:30,33437570,33943754
2023-06-22 17:32:45,49425734,50155389
2023-06-22 17:33:00,64672311,65459978
2023-06-22 17:33:15,87498447,87661724
2023-06-22 17:33:30,106668257,107604071
2023-06-22 17:33:45,135675964,135539680
2023-06-22 17:34:00,158771899,159934730
2023-06-22 17:34:15,192983101,193409632
2023-06-22 17:34:30,221159698,222392717
2023-06-22 17:34:45,261295541,261805638
2023-06-22 17:35:00,293787012,295584902
2023-06-22 17:35:15,341005255,341072453
2023-06-22 17:35:30,377685872,379648625
2023-06-22 17:35:45,430537249,431057409
2023-06-22 17:36:00,472529843,474426795
2023-06-22 17:36:15,531425060,531729310
2023-06-22 17:36:30,577747013,579968526
2023-06-22 17:36:45,644058330,643289524
2023-06-22 17:37:00,694063339,696423085
2023-06-22 17:37:15,767290339,765627850
2023-06-22 17:37:30,820722516,823576004
2023-06-22 17:37:45,900811409,898651748
2023-06-22 17:38:00,957920932,961298850
2023-06-22 17:38:15,1045177405,1042296170
2023-06-22 17:38:30,1106117769,1109689701
2023-06-22 17:38:45,1200641868,1196712385
2023-06-22 17:39:00,1265642080,1269051915
2023-06-22 17:39:15,1366946529,1362060104
2023-06-22 17:39:30,1435914079,1439292720
2023-06-22 17:39:45,1543575331,1538159581
2023-06-22 17:40:00,1616599009,1619907606
2023-06-22 17:40:15,1729344884,1724654294
2023-06-22 17:40:30,1808228636,1811439240
2023-06-22 17:40:45,1926333704,1922070378
2023-06-22 17:41:00,2009840105,2013324266
2023-06-22 17:41:15,2133322344,2129677612
2023-06-22 17:41:30,2221608469,2224555514
2023-06-22 17:41:45,2347095005,2343609833
2023-06-22 17:42:00,2436646987,2439396509
2023-06-22 17:42:15,2562318051,2558727636
2023-06-22 17:42:30,2651637407,2654577123
2023-06-22 17:42:45,2777556602,2773891438
2023-06-22 17:43:00,2867465782,2869987788
2023-06-22 17:43:15,2993768472,2989756739
2023-06-22 17:43:30,3083659660,3086032032
2023-06-22 17:43:45,3209948895,3205715484
2023-06-22 17:44:00,3299867792,3302101965
2023-06-22 17:44:15,3426239594,3422002443
2023-06-22 17:44:30,3516196220,3518420975
2023-06-22 17:44:45,3642742432,3638483896
2023-06-22 17:45:00,3732449726,3734624881
2023-06-22 17:45:15,3859036955,3854727193
2023-06-22 17:45:30,3949425113,3951548702
2023-06-22 17:45:45,4076126651,4071849057
2023-06-22 17:46:00,4166633418,4168614681
2023-06-22 17:46:15,4293732435,4288922370
2023-06-22 17:46:30,4384281914,4385845849
2023-06-22 17:46:45,4511088950,4506190724
2023-06-22 17:47:00,4601418015,4602937221
2023-06-22 17:47:15,4728203382,4723286041
2023-06-22 17:47:30,4818364654,4819959581
2023-06-22 17:47:45,4945512941,4940377272
2023-06-22 17:48:00,5035495813,5036843689
2023-06-22 17:48:15,5161099304,5154839167
2023-06-22 17:48:30,5246802181,5247905079
2023-06-22 17:48:45,5367324246,5360554899
2023-06-22 17:49:00,5448670394,5449114278
2023-06-22 17:49:15,5563109513,5556119789
2023-06-22 17:49:30,5640595438,5640393968
2023-06-22 17:49:45,5748176302,5741615350
