"Time","emqx-1","emqx-0","emqx-2"
2023-07-17 14:53:00,5.35,5.77,5.51
2023-07-17 14:53:15,5.35,5.77,5.51
2023-07-17 14:53:30,5.35,5.77,5.51
2023-07-17 14:53:45,5.35,5.77,5.51
2023-07-17 14:54:00,5.35,5.77,5.51
2023-07-17 14:54:15,5.35,5.77,5.51
2023-07-17 14:54:30,5.35,5.77,5.51
2023-07-17 14:54:45,5.35,5.77,5.51
2023-07-17 14:55:00,5.35,5.77,5.51
2023-07-17 14:55:15,5.35,5.77,5.51
2023-07-17 14:55:30,5.35,5.77,5.51
2023-07-17 14:55:45,5.35,5.77,5.51
2023-07-17 14:56:00,5.35,5.77,5.51
2023-07-17 14:56:15,5.35,5.77,5.51
2023-07-17 14:56:30,5.35,5.77,5.51
2023-07-17 14:56:45,5.35,5.77,5.51
2023-07-17 14:57:00,5.36,5.77,5.52
2023-07-17 14:57:15,5.36,5.77,5.52
2023-07-17 14:57:30,5.36,5.77,5.52
2023-07-17 14:57:45,5.36,5.77,5.52
2023-07-17 14:58:00,5.36,5.77,5.52
2023-07-17 14:58:15,5.36,5.78,5.52
2023-07-17 14:58:30,5.36,5.78,5.52
2023-07-17 14:58:45,5.36,5.78,5.52
2023-07-17 14:59:00,5.36,5.78,5.52
2023-07-17 14:59:15,5.36,5.78,5.52
2023-07-17 14:59:30,5.36,5.78,5.52
2023-07-17 14:59:45,5.36,5.78,5.52
2023-07-17 15:00:00,5.36,5.78,5.52
2023-07-17 15:00:15,5.37,5.78,5.52
2023-07-17 15:00:30,5.37,5.78,5.53
2023-07-17 15:00:45,5.37,5.78,5.53
2023-07-17 15:01:00,5.37,5.79,5.53
2023-07-17 15:01:15,5.37,5.79,5.53
2023-07-17 15:01:30,5.37,5.79,5.53
2023-07-17 15:01:45,5.37,5.79,5.53
2023-07-17 15:02:00,5.37,5.79,5.53
2023-07-17 15:02:15,5.37,5.79,5.53
2023-07-17 15:02:30,5.37,5.79,5.53
2023-07-17 15:02:45,5.38,5.79,5.53
2023-07-17 15:03:00,5.38,5.79,5.54
2023-07-17 15:03:15,5.38,5.79,5.54
2023-07-17 15:03:30,5.38,5.80,5.54
2023-07-17 15:03:45,5.38,5.80,5.54
2023-07-17 15:04:00,5.38,5.80,5.54
2023-07-17 15:04:15,5.38,5.80,5.54
2023-07-17 15:04:30,5.38,5.80,5.54
2023-07-17 15:04:45,5.39,5.80,5.54
2023-07-17 15:05:00,5.39,5.80,5.54
2023-07-17 15:05:15,5.39,5.80,5.55
2023-07-17 15:05:30,5.39,5.81,5.55
2023-07-17 15:05:45,5.39,5.81,5.55
2023-07-17 15:06:00,5.39,5.81,5.55
2023-07-17 15:06:15,5.39,5.81,5.55
2023-07-17 15:06:30,5.39,5.81,5.55
2023-07-17 15:06:45,5.40,5.81,5.55
2023-07-17 15:07:00,5.40,5.81,5.55
2023-07-17 15:07:15,5.40,5.81,5.56
2023-07-17 15:07:30,5.40,5.82,5.56
2023-07-17 15:07:45,5.40,5.82,5.56
2023-07-17 15:08:00,5.40,5.82,5.56
2023-07-17 15:08:15,5.40,5.82,5.56
2023-07-17 15:08:30,5.41,5.82,5.56
2023-07-17 15:08:45,5.41,5.82,5.56
2023-07-17 15:09:00,5.41,5.82,5.56
2023-07-17 15:09:15,5.41,5.83,5.57
2023-07-17 15:09:30,5.41,5.83,5.57
2023-07-17 15:09:45,5.41,5.83,5.57
2023-07-17 15:10:00,5.41,5.83,5.57
2023-07-17 15:10:15,5.41,5.83,5.57
2023-07-17 15:10:30,5.42,5.83,5.57
2023-07-17 15:10:45,5.42,5.83,5.57
2023-07-17 15:11:00,5.42,5.84,5.58
2023-07-17 15:11:15,5.42,5.84,5.58
2023-07-17 15:11:30,5.42,5.84,5.58
2023-07-17 15:11:45,5.42,5.84,5.58
2023-07-17 15:12:00,5.42,5.84,5.58
2023-07-17 15:12:15,5.43,5.84,5.58
2023-07-17 15:12:30,5.43,5.84,5.58
2023-07-17 15:12:45,5.43,5.84,5.59
2023-07-17 15:13:00,5.43,5.85,5.59
2023-07-17 15:13:15,5.43,5.85,5.59
2023-07-17 15:13:30,5.43,5.85,5.59
2023-07-17 15:13:45,5.43,5.85,5.59
2023-07-17 15:14:00,5.43,5.85,5.59
2023-07-17 15:14:15,5.44,5.85,5.59
2023-07-17 15:14:30,5.44,5.85,5.60
2023-07-17 15:14:45,5.44,5.86,5.60
2023-07-17 15:15:00,5.44,5.86,5.60
2023-07-17 15:15:15,5.44,5.86,5.60
2023-07-17 15:15:30,5.44,5.86,5.60
2023-07-17 15:15:45,5.44,5.86,5.60
2023-07-17 15:16:00,5.44,5.86,5.60
2023-07-17 15:16:15,5.45,5.86,5.60
2023-07-17 15:16:30,5.45,5.86,5.60
2023-07-17 15:16:45,5.45,5.87,5.61
2023-07-17 15:17:00,5.45,5.87,5.61
2023-07-17 15:17:15,5.45,5.87,5.61
2023-07-17 15:17:30,5.45,5.87,5.61
2023-07-17 15:17:45,5.45,5.87,5.61
2023-07-17 15:18:00,5.45,5.87,5.61
2023-07-17 15:18:15,5.45,5.87,5.61
2023-07-17 15:18:30,5.46,5.87,5.61
2023-07-17 15:18:45,5.46,5.87,5.61
2023-07-17 15:19:00,5.46,5.88,5.62
2023-07-17 15:19:15,5.46,5.88,5.62
2023-07-17 15:19:30,5.46,5.88,5.62
2023-07-17 15:19:45,5.46,5.88,5.62
2023-07-17 15:20:00,5.46,5.88,5.62
2023-07-17 15:20:15,5.46,5.88,5.62
2023-07-17 15:20:30,5.46,5.88,5.62
2023-07-17 15:20:45,5.46,5.88,5.62
2023-07-17 15:21:00,5.47,5.88,5.62
2023-07-17 15:21:15,5.47,5.88,5.62
2023-07-17 15:21:30,5.47,5.89,5.63
2023-07-17 15:21:45,5.47,5.89,5.63
2023-07-17 15:22:00,5.47,5.89,5.63
2023-07-17 15:22:15,5.47,5.89,5.63
2023-07-17 15:22:30,5.47,5.89,5.63
2023-07-17 15:22:45,5.47,5.89,5.63
2023-07-17 15:23:00,5.47,5.89,5.63
2023-07-17 15:23:15,5.47,5.89,5.63
2023-07-17 15:23:30,5.47,5.89,5.63
2023-07-17 15:23:45,5.47,5.89,5.63
2023-07-17 15:24:00,5.48,5.89,5.63
2023-07-17 15:24:15,5.48,5.89,5.63
2023-07-17 15:24:30,5.48,5.90,5.63
2023-07-17 15:24:45,5.48,5.90,5.63
2023-07-17 15:25:00,5.48,5.90,5.64
2023-07-17 15:25:15,5.48,5.90,5.64
2023-07-17 15:25:30,5.48,5.90,5.64
2023-07-17 15:25:45,5.48,5.90,5.64
2023-07-17 15:26:00,5.48,5.90,5.64
2023-07-17 15:26:15,5.48,5.90,5.64
2023-07-17 15:26:30,5.48,5.90,5.64
2023-07-17 15:26:45,5.48,5.90,5.64
2023-07-17 15:27:00,5.48,5.90,5.64
2023-07-17 15:27:15,5.48,5.90,5.64
2023-07-17 15:27:30,5.48,5.90,5.64
2023-07-17 15:27:45,5.48,5.90,5.64
2023-07-17 15:28:00,5.48,5.90,5.64
2023-07-17 15:28:15,5.49,5.90,5.64
2023-07-17 15:28:30,5.49,5.90,5.64
2023-07-17 15:28:45,5.49,5.90,5.64

