"Time","emqx-1","emqx-0","emqx-2"
2023-07-17 14:53:00,3,2,4
2023-07-17 14:53:15,23,7,44
2023-07-17 14:53:30,205,174,205
2023-07-17 14:53:45,270,241,276
2023-07-17 14:54:00,499,481,514
2023-07-17 14:54:15,578,558,614
2023-07-17 14:54:30,812,799,822
2023-07-17 14:54:45,881,856,905
2023-07-17 14:55:00,1126,1130,1170
2023-07-17 14:55:15,1178,1203,1232
2023-07-17 14:55:30,1407,1435,1488
2023-07-17 14:55:45,1493,1525,1586
2023-07-17 14:56:00,1733,1714,1794
2023-07-17 14:56:15,1810,1810,1878
2023-07-17 14:56:30,2061,2087,2104
2023-07-17 14:56:45,2122,2168,2177
2023-07-17 14:57:00,2371,2377,2446
2023-07-17 14:57:15,2460,2469,2531
2023-07-17 14:57:30,2655,2686,2758
2023-07-17 14:57:45,2734,2786,2845
2023-07-17 14:58:00,2985,3029,3093
2023-07-17 14:58:15,3051,3107,3157
2023-07-17 14:58:30,3281,3351,3403
2023-07-17 14:58:45,3389,3461,3487
2023-07-17 14:59:00,3590,3650,3708
2023-07-17 14:59:15,3671,3768,3814
2023-07-17 14:59:30,3920,3987,4028
2023-07-17 14:59:45,3996,4098,4106
2023-07-17 15:00:00,4234,4321,4372
2023-07-17 15:00:15,4336,4432,4452
2023-07-17 15:00:30,4544,4609,4679
2023-07-17 15:00:45,4646,4719,4792
2023-07-17 15:01:00,4864,4923,5023
2023-07-17 15:01:15,4933,5012,5107
2023-07-17 15:01:30,5172,5236,5396
2023-07-17 15:01:45,5268,5331,5484
2023-07-17 15:02:00,5452,5538,5729
2023-07-17 15:02:15,5550,5652,5824
2023-07-17 15:02:30,5773,5892,6059
2023-07-17 15:02:45,5856,5977,6133
2023-07-17 15:03:00,6116,6196,6416
2023-07-17 15:03:15,6212,6303,6488
2023-07-17 15:03:30,6429,6518,6717
2023-07-17 15:03:45,6529,6631,6803
2023-07-17 15:04:00,6738,6843,7053
2023-07-17 15:04:15,6811,6931,7134
2023-07-17 15:04:30,7076,7196,7370
2023-07-17 15:04:45,7173,7291,7433
2023-07-17 15:05:00,7414,7497,7681
2023-07-17 15:05:15,7497,7594,7796
2023-07-17 15:05:30,7704,7818,8052
2023-07-17 15:05:45,7780,7896,8148
2023-07-17 15:06:00,8027,8138,8404
2023-07-17 15:06:15,8091,8213,8486
2023-07-17 15:06:30,8324,8426,8734
2023-07-17 15:06:45,8430,8516,8865
2023-07-17 15:07:00,8625,8707,9057
2023-07-17 15:07:15,8712,8784,9147
2023-07-17 15:07:30,8952,8964,9353
2023-07-17 15:07:45,9003,9038,9414
2023-07-17 15:08:00,9188,9217,9611
2023-07-17 15:08:15,9292,9309,9715
2023-07-17 15:08:30,9437,9440,9828
2023-07-17 15:08:45,9512,9527,9924
2023-07-17 15:09:00,9690,9680,10077
2023-07-17 15:09:15,9759,9764,10152
2023-07-17 15:09:30,9914,9912,10330
2023-07-17 15:09:45,10001,9997,10434
2023-07-17 15:10:00,10154,10159,10571
2023-07-17 15:10:15,10255,10263,10684
2023-07-17 15:10:30,10468,10467,10873
2023-07-17 15:10:45,10555,10558,10959
2023-07-17 15:11:00,10765,10763,11159
2023-07-17 15:11:15,10887,10866,11264
2023-07-17 15:11:30,11039,11030,11424
2023-07-17 15:11:45,11130,11147,11543
2023-07-17 15:12:00,11325,11329,11723
2023-07-17 15:12:15,11376,11407,11784
2023-07-17 15:12:30,11558,11583,11957
2023-07-17 15:12:45,11638,11654,12017
2023-07-17 15:13:00,11692,11708,12066
2023-07-17 15:13:15,11717,11741,12095
2023-07-17 15:13:30,11747,11781,12117
2023-07-17 15:13:45,11748,11781,12122
2023-07-17 15:14:00,11806,11825,12176
2023-07-17 15:14:15,11820,11849,12185
2023-07-17 15:14:30,11834,11862,12210
2023-07-17 15:14:45,11863,11892,12234
2023-07-17 15:15:00,11890,11920,12253
2023-07-17 15:15:15,11890,11922,12255
2023-07-17 15:15:30,11890,11922,12255
2023-07-17 15:15:45,11891,11922,12255
2023-07-17 15:16:00,11895,11926,12257
2023-07-17 15:16:15,11895,11926,12257
2023-07-17 15:16:30,11895,11926,12257
2023-07-17 15:16:45,11895,11927,12258
2023-07-17 15:17:00,11900,11929,12260
2023-07-17 15:17:15,11900,11929,12260
2023-07-17 15:17:30,11900,11929,12261
2023-07-17 15:17:45,11902,11930,12264
2023-07-17 15:18:00,11902,11934,12264
2023-07-17 15:18:15,11902,11934,12264
2023-07-17 15:18:30,11903,11935,12266
2023-07-17 15:18:45,11903,11939,12269
2023-07-17 15:19:00,11903,11939,12269
2023-07-17 15:19:15,11903,11939,12269
2023-07-17 15:19:30,11905,11939,12275
2023-07-17 15:19:45,11906,11940,12275
2023-07-17 15:20:00,11906,11940,12275
2023-07-17 15:20:15,11906,11940,12275
2023-07-17 15:20:30,11906,11940,12275
2023-07-17 15:20:45,11906,11940,12275
2023-07-17 15:21:00,11906,11940,12275
2023-07-17 15:21:15,11906,11940,12275
2023-07-17 15:21:30,11906,11940,12275
2023-07-17 15:21:45,11906,11940,12275
2023-07-17 15:22:00,11906,11940,12275
2023-07-17 15:22:15,11906,11940,12275
2023-07-17 15:22:30,11906,11940,12275
2023-07-17 15:22:45,11906,11940,12275
2023-07-17 15:23:00,11906,11940,12275
2023-07-17 15:23:15,11906,11940,12275
2023-07-17 15:23:30,11906,11940,12275
2023-07-17 15:23:45,11906,11940,12275
2023-07-17 15:24:00,11906,11940,12275
2023-07-17 15:24:15,11906,11940,12275
2023-07-17 15:24:30,11906,11940,12275
2023-07-17 15:24:45,11906,11940,12275
2023-07-17 15:25:00,11906,11940,12275
2023-07-17 15:25:15,11906,11940,12275
2023-07-17 15:25:30,11906,11940,12275
2023-07-17 15:25:45,11906,11940,12275
2023-07-17 15:26:00,11906,11940,12275
2023-07-17 15:26:15,11906,11940,12275
2023-07-17 15:26:30,11906,11940,12275
2023-07-17 15:26:45,11906,11940,12275
2023-07-17 15:27:00,11906,11940,12275
2023-07-17 15:27:15,11906,11940,12275
2023-07-17 15:27:30,11906,11940,12275
2023-07-17 15:27:45,11906,11940,12275
