"Time","emqx-1","emqx-0","emqx-2"
2023-07-17 14:53:00,8,6,9
2023-07-17 14:53:15,213,19,328
2023-07-17 14:53:30,7941,3710,4848
2023-07-17 14:53:45,13276,7048,8309
2023-07-17 14:54:00,29226,17008,22722
2023-07-17 14:54:15,39123,23352,32743
2023-07-17 14:54:30,64304,40728,58358
2023-07-17 14:54:45,78895,51624,72929
2023-07-17 14:55:00,112747,75909,110063
2023-07-17 14:55:15,131830,89473,132131
2023-07-17 14:55:30,174095,120037,180328
2023-07-17 14:55:45,197533,138743,206835
2023-07-17 14:56:00,248066,180472,263620
2023-07-17 14:56:15,275451,204359,293514
2023-07-17 14:56:30,333744,261036,356714
2023-07-17 14:56:45,364198,292004,389490
2023-07-17 14:57:00,429857,363203,458270
2023-07-17 14:57:15,464491,401664,493661
2023-07-17 14:57:30,539167,484251,571254
2023-07-17 14:57:45,577929,527335,611116
2023-07-17 14:58:00,661156,618201,700056
2023-07-17 14:58:15,704355,665603,745962
2023-07-17 14:58:30,795007,766689,842294
2023-07-17 14:58:45,841653,820872,892629
2023-07-17 14:59:00,939641,933193,999021
2023-07-17 14:59:15,991918,991074,1054141
2023-07-17 14:59:30,1102627,1109278,1169056
2023-07-17 14:59:45,1160212,1171306,1228495
2023-07-17 15:00:00,1280071,1300084,1352296
2023-07-17 15:00:15,1342768,1366678,1416250
2023-07-17 15:00:30,1472643,1505326,1548168
2023-07-17 15:00:45,1538864,1576870,1615816
2023-07-17 15:01:00,1679959,1726130,1755506
2023-07-17 15:01:15,1751527,1802974,1825769
2023-07-17 15:01:30,1904314,1961459,1971287
2023-07-17 15:01:45,1983654,2042064,2045398
2023-07-17 15:02:00,2149017,2207697,2197251
2023-07-17 15:02:15,2234461,2292343,2274223
2023-07-17 15:02:30,2413682,2465619,2433243
2023-07-17 15:02:45,2505943,2553796,2513380
2023-07-17 15:03:00,2696123,2734330,2678942
2023-07-17 15:03:15,2795019,2827116,2763122
2023-07-17 15:03:30,2997590,3016726,2935661
2023-07-17 15:03:45,3099901,3114693,3023941
2023-07-17 15:04:00,3307766,3316766,3207057
2023-07-17 15:04:15,3411967,3419552,3301471
2023-07-17 15:04:30,3624893,3630610,3496905
2023-07-17 15:04:45,3731780,3738130,3595694
2023-07-17 15:05:00,3952906,3960651,3799599
