"Time","total","emqx-1","emqx-0","emqx-2"
2023-07-17 14:53:00,9,3,2,4
2023-07-17 14:53:15,12,4,3,5
2023-07-17 14:53:30,13,4,4,5
2023-07-17 14:53:45,16,5,4,7
2023-07-17 14:54:00,18,5,5,8
2023-07-17 14:54:15,20,6,6,8
2023-07-17 14:54:30,22,6,7,9
2023-07-17 14:54:45,24,6,8,10
2023-07-17 14:55:00,25,7,8,10
2023-07-17 14:55:15,29,8,11,10
2023-07-17 14:55:30,29,8,11,10
2023-07-17 14:55:45,32,9,13,10
2023-07-17 14:56:00,34,9,15,10
2023-07-17 14:56:15,37,10,16,11
2023-07-17 14:56:30,38,10,16,12
2023-07-17 14:56:45,42,11,17,14
2023-07-17 14:57:00,43,11,17,15
2023-07-17 14:57:15,44,11,18,15
2023-07-17 14:57:30,49,12,19,18
2023-07-17 14:57:45,49,12,19,18
2023-07-17 14:58:00,53,15,19,19
2023-07-17 14:58:15,53,15,19,19
2023-07-17 14:58:30,57,16,21,20
2023-07-17 14:58:45,57,16,21,20
2023-07-17 14:59:00,61,17,24,20
2023-07-17 14:59:15,61,17,24,20
2023-07-17 14:59:30,65,19,25,21
2023-07-17 14:59:45,66,20,25,21
2023-07-17 15:00:00,68,22,25,21
2023-07-17 15:00:15,70,23,25,22
2023-07-17 15:00:30,73,25,25,23
2023-07-17 15:00:45,73,25,25,23
2023-07-17 15:01:00,76,27,26,23
2023-07-17 15:01:15,78,27,28,23
2023-07-17 15:01:30,80,29,28,23
2023-07-17 15:01:45,82,29,29,24
2023-07-17 15:02:00,85,30,30,25
2023-07-17 15:02:15,86,31,30,25
2023-07-17 15:02:30,90,31,32,27
2023-07-17 15:02:45,90,31,32,27
2023-07-17 15:03:00,93,32,32,29
2023-07-17 15:03:15,94,33,32,29
2023-07-17 15:03:30,96,34,33,29
2023-07-17 15:03:45,98,35,34,29
2023-07-17 15:04:00,101,36,36,29
2023-07-17 15:04:15,103,36,38,29
2023-07-17 15:04:30,104,36,38,30
2023-07-17 15:04:45,106,37,39,30
2023-07-17 15:05:00,109,38,40,31
2023-07-17 15:05:15,110,39,40,31
2023-07-17 15:05:30,113,40,41,32
2023-07-17 15:05:45,115,40,41,34
2023-07-17 15:06:00,117,41,42,34
2023-07-17 15:06:15,119,42,42,35
2023-07-17 15:06:30,121,42,43,36
2023-07-17 15:06:45,123,42,43,38
2023-07-17 15:07:00,124,43,43,38
2023-07-17 15:07:15,125,43,44,38
2023-07-17 15:07:30,126,44,44,38
2023-07-17 15:07:45,128,46,44,38
2023-07-17 15:08:00,128,46,44,38
2023-07-17 15:08:15,129,46,44,39
2023-07-17 15:08:30,129,46,45,38
2023-07-17 15:08:45,130,46,46,38
2023-07-17 15:09:00,132,47,46,39
2023-07-17 15:09:15,132,46,47,39
2023-07-17 15:09:30,133,45,47,41
2023-07-17 15:09:45,132,45,46,41
2023-07-17 15:10:00,134,45,48,41
2023-07-17 15:10:15,131,45,44,42
2023-07-17 15:10:30,131,45,43,43
2023-07-17 15:10:45,132,46,43,43
2023-07-17 15:11:00,137,47,45,45
2023-07-17 15:11:15,138,47,45,46
2023-07-17 15:11:30,139,48,45,46
2023-07-17 15:11:45,138,48,45,45
2023-07-17 15:12:00,140,49,47,44
2023-07-17 15:12:15,140,49,47,44
2023-07-17 15:12:30,140,49,47,44
2023-07-17 15:12:45,141,49,48,44
2023-07-17 15:13:00,143,49,49,45
2023-07-17 15:13:15,143,49,48,46
