"Time","emqx-1","emqx-0","emqx-2","Used Memory"
2023-07-17 14:53:00,3.10 GB,1.72 GB,2.79 GB,7.61 GB
2023-07-17 14:53:15,3.09 GB,1.72 GB,2.79 GB,7.60 GB
2023-07-17 14:53:30,3.11 GB,1.72 GB,2.79 GB,7.62 GB
2023-07-17 14:53:45,3.12 GB,1.73 GB,2.80 GB,7.65 GB
2023-07-17 14:54:00,3.12 GB,1.75 GB,2.81 GB,7.68 GB
2023-07-17 14:54:15,3.13 GB,1.76 GB,2.82 GB,7.72 GB
2023-07-17 14:54:30,3.15 GB,1.78 GB,2.84 GB,7.78 GB
2023-07-17 14:54:45,3.18 GB,1.79 GB,2.85 GB,7.82 GB
2023-07-17 14:55:00,3.19 GB,1.80 GB,2.88 GB,7.88 GB
2023-07-17 14:55:15,3.20 GB,1.80 GB,2.89 GB,7.90 GB
2023-07-17 14:55:30,3.23 GB,1.84 GB,2.91 GB,7.97 GB
2023-07-17 14:55:45,3.24 GB,1.85 GB,2.92 GB,8.01 GB
2023-07-17 14:56:00,3.24 GB,1.87 GB,2.93 GB,8.04 GB
2023-07-17 14:56:15,3.25 GB,1.87 GB,2.94 GB,8.06 GB
2023-07-17 14:56:30,3.26 GB,1.87 GB,2.96 GB,8.09 GB
2023-07-17 14:56:45,3.27 GB,1.89 GB,2.96 GB,8.11 GB
2023-07-17 14:57:00,3.30 GB,1.91 GB,3.00 GB,8.21 GB
2023-07-17 14:57:15,3.31 GB,1.91 GB,3.00 GB,8.22 GB
2023-07-17 14:57:30,3.33 GB,1.93 GB,3.03 GB,8.28 GB
2023-07-17 14:57:45,3.32 GB,1.94 GB,3.01 GB,8.28 GB
2023-07-17 14:58:00,3.35 GB,1.96 GB,3.03 GB,8.34 GB
2023-07-17 14:58:15,3.37 GB,1.96 GB,3.04 GB,8.36 GB
2023-07-17 14:58:30,3.38 GB,1.96 GB,3.06 GB,8.40 GB
2023-07-17 14:58:45,3.38 GB,1.98 GB,3.06 GB,8.43 GB
2023-07-17 14:59:00,3.39 GB,2.01 GB,3.08 GB,8.49 GB
2023-07-17 14:59:15,3.40 GB,2.04 GB,3.09 GB,8.53 GB
2023-07-17 14:59:30,3.43 GB,2.08 GB,3.12 GB,8.62 GB
2023-07-17 14:59:45,3.43 GB,2.10 GB,3.12 GB,8.64 GB
2023-07-17 15:00:00,3.44 GB,2.10 GB,3.12 GB,8.67 GB
2023-07-17 15:00:15,3.44 GB,2.11 GB,3.14 GB,8.69 GB
2023-07-17 15:00:30,3.45 GB,2.13 GB,3.17 GB,8.74 GB
2023-07-17 15:00:45,3.46 GB,2.12 GB,3.18 GB,8.76 GB
2023-07-17 15:01:00,3.48 GB,2.14 GB,3.22 GB,8.84 GB
2023-07-17 15:01:15,3.49 GB,2.13 GB,3.23 GB,8.85 GB
2023-07-17 15:01:30,3.51 GB,2.14 GB,3.25 GB,8.90 GB
2023-07-17 15:01:45,3.51 GB,2.16 GB,3.25 GB,8.92 GB
2023-07-17 15:02:00,3.52 GB,2.16 GB,3.26 GB,8.94 GB
2023-07-17 15:02:15,3.52 GB,2.16 GB,3.26 GB,8.94 GB
2023-07-17 15:02:30,3.57 GB,2.16 GB,3.30 GB,9.02 GB
2023-07-17 15:02:45,3.58 GB,2.16 GB,3.30 GB,9.04 GB
2023-07-17 15:03:00,3.59 GB,2.18 GB,3.30 GB,9.08 GB
2023-07-17 15:03:15,3.60 GB,2.19 GB,3.30 GB,9.09 GB
2023-07-17 15:03:30,3.62 GB,2.17 GB,3.30 GB,9.09 GB
2023-07-17 15:03:45,3.63 GB,2.20 GB,3.29 GB,9.12 GB
2023-07-17 15:04:00,3.63 GB,2.21 GB,3.30 GB,9.13 GB
2023-07-17 15:04:15,3.62 GB,2.21 GB,3.31 GB,9.14 GB
2023-07-17 15:04:30,3.63 GB,2.25 GB,3.35 GB,9.22 GB
2023-07-17 15:04:45,3.64 GB,2.26 GB,3.38 GB,9.28 GB
2023-07-17 15:05:00,3.60 GB,2.27 GB,3.31 GB,9.17 GB
2023-07-17 15:05:15,3.63 GB,2.31 GB,3.30 GB,9.24 GB
2023-07-17 15:05:30,3.69 GB,2.36 GB,3.35 GB,9.39 GB
2023-07-17 15:05:45,3.75 GB,2.39 GB,3.35 GB,9.50 GB
2023-07-17 15:06:00,3.80 GB,2.47 GB,3.42 GB,9.69 GB
2023-07-17 15:06:15,3.80 GB,2.47 GB,3.46 GB,9.73 GB
2023-07-17 15:06:30,3.82 GB,2.53 GB,3.49 GB,9.84 GB
2023-07-17 15:06:45,3.82 GB,2.56 GB,3.51 GB,9.89 GB
2023-07-17 15:07:00,3.81 GB,2.57 GB,3.55 GB,9.93 GB
2023-07-17 15:07:15,3.78 GB,2.58 GB,3.55 GB,9.91 GB
2023-07-17 15:07:30,3.79 GB,2.57 GB,3.58 GB,9.94 GB
2023-07-17 15:07:45,3.78 GB,2.60 GB,3.59 GB,9.97 GB
2023-07-17 15:08:00,3.80 GB,2.59 GB,3.61 GB,10.00 GB
2023-07-17 15:08:15,3.80 GB,2.63 GB,3.63 GB,10.1 GB
2023-07-17 15:08:30,3.80 GB,2.65 GB,3.62 GB,10.1 GB
2023-07-17 15:08:45,3.78 GB,2.66 GB,3.62 GB,10.1 GB
2023-07-17 15:09:00,3.80 GB,2.68 GB,3.62 GB,10.1 GB
2023-07-17 15:09:15,3.79 GB,2.69 GB,3.63 GB,10.1 GB
2023-07-17 15:09:30,3.79 GB,2.71 GB,3.63 GB,10.1 GB
2023-07-17 15:09:45,3.78 GB,2.72 GB,3.65 GB,10.2 GB
2023-07-17 15:10:00,3.76 GB,2.76 GB,3.65 GB,10.2 GB
2023-07-17 15:10:15,3.79 GB,2.73 GB,3.67 GB,10.2 GB
2023-07-17 15:10:30,3.79 GB,2.72 GB,3.69 GB,10.2 GB
2023-07-17 15:10:45,3.77 GB,2.72 GB,3.69 GB,10.2 GB
2023-07-17 15:11:00,3.77 GB,2.70 GB,3.71 GB,10.2 GB
2023-07-17 15:11:15,3.80 GB,2.71 GB,3.69 GB,10.2 GB
2023-07-17 15:11:30,3.78 GB,2.72 GB,3.72 GB,10.2 GB
2023-07-17 15:11:45,3.77 GB,2.70 GB,3.73 GB,10.2 GB
2023-07-17 15:12:00,3.78 GB,2.69 GB,3.73 GB,10.2 GB
2023-07-17 15:12:15,3.79 GB,2.71 GB,3.72 GB,10.2 GB
2023-07-17 15:12:30,3.77 GB,2.72 GB,3.73 GB,10.2 GB
2023-07-17 15:12:45,3.77 GB,2.75 GB,3.72 GB,10.2 GB
2023-07-17 15:13:00,3.75 GB,2.74 GB,3.68 GB,10.2 GB
2023-07-17 15:13:15,3.75 GB,2.71 GB,3.68 GB,10.1 GB
