"Time","emqx-0","emqx-1","emqx-3","emqx-2","Total"
2023-06-26 18:29:00,0,0,0,0,0
2023-06-26 18:29:15,0,0,0,0,0
2023-06-26 18:29:30,0,0,0,0,0
2023-06-26 18:29:45,0,0,0,0,0
2023-06-26 18:30:00,0,0,0,0,0
2023-06-26 18:30:15,0,0,0,0,0
2023-06-26 18:30:30,0,0,0,0,0
2023-06-26 18:30:45,0,0,0,0,0
2023-06-26 18:31:00,0,0,0,0,0
2023-06-26 18:31:15,112,125,0,1567,1804
2023-06-26 18:31:30,1512,325,0,5006,6843
2023-06-26 18:31:45,2812,725,0,14715,18252
2023-06-26 18:32:00,6500,1177,0,22922,30599
2023-06-26 18:32:15,8497,3848,199,42311,54855
2023-06-26 18:32:30,15350,5576,2919,53204,77049
2023-06-26 18:32:45,19504,9710,5479,76004,110697
2023-06-26 18:33:00,31189,12560,12848,87919,144516
2023-06-26 18:33:15,38530,18674,17190,113196,187590
2023-06-26 18:33:30,54179,21740,28353,127249,231521
2023-06-26 18:33:45,62309,27872,35867,158655,284703
2023-06-26 18:34:00,79791,30937,52674,175774,339176
2023-06-26 18:34:15,89132,37067,63325,212287,401811
2023-06-26 18:34:30,109009,40129,87010,231940,468088
2023-06-26 18:34:45,120742,46242,100338,271780,539102
2023-06-26 18:35:00,144545,49307,132557,291840,618249
2023-06-26 18:35:15,156700,55427,150837,334541,697505
2023-06-26 18:35:30,182371,58493,189623,357351,787838
2023-06-26 18:35:45,196670,66370,209529,404166,876735
2023-06-26 18:36:00,228865,71409,250545,428151,978970
2023-06-26 18:36:15,245746,81464,271752,476285,1075247
2023-06-26 18:36:30,281890,86502,318590,500377,1187359
2023-06-26 18:36:45,300754,96550,342182,548535,1288021
2023-06-26 18:37:00,338684,101590,389625,572629,1402528
2023-06-26 18:37:15,357646,111657,413986,620823,1504112
2023-06-26 18:37:30,395665,116699,463837,644950,1621151
2023-06-26 18:37:45,414826,127098,488801,693177,1723902
2023-06-26 18:38:00,453198,133008,538770,717301,1842277
2023-06-26 18:38:15,472365,145707,563736,765519,1947327
2023-06-26 18:38:30,510724,152165,613695,789648,2066232
2023-06-26 18:38:45,529913,165291,638655,837861,2171720
2023-06-26 18:39:00,568274,171868,688621,861989,2290752
2023-06-26 18:39:15,587448,185035,713597,910182,2396262
2023-06-26 18:39:30,625804,191776,763520,934291,2515391
2023-06-26 18:39:45,644960,204994,788472,982469,2620895
2023-06-26 18:40:00,683311,211574,838423,1006574,2739882
2023-06-26 18:40:15,702464,224715,863379,1054780,2845338
2023-06-26 18:40:30,740841,231241,913358,1078898,2964338
2023-06-26 18:40:45,760020,244002,938336,1127125,3069483
2023-06-26 18:41:00,798371,250362,988289,1151238,3188260
2023-06-26 18:41:15,817547,263108,1013249,1199454,3293358
2023-06-26 18:41:30,855893,269478,1063012,1223574,3411957
2023-06-26 18:41:45,875024,282204,1087778,1271768,3516774
2023-06-26 18:42:00,913374,288579,1137318,1295862,3635133
2023-06-26 18:42:15,932535,301306,1162068,1344065,3739974
2023-06-26 18:42:30,970846,307677,1211287,1368164,3857974
2023-06-26 18:42:45,990018,320416,1235847,1416357,3962638
2023-06-26 18:43:00,1028344,326795,1284957,1440459,4080555
2023-06-26 18:43:15,1047514,339521,1309533,1488529,4185097
2023-06-26 18:43:30,1085850,345903,1358651,1512431,4302835
2023-06-26 18:43:45,1105029,358622,1383204,1560233,4407088
2023-06-26 18:44:00,1143326,364976,1432332,1584133,4524767
2023-06-26 18:44:15,1162321,377697,1456877,1631900,4628795
2023-06-26 18:44:30,1200247,384067,1506023,1655809,4746146
2023-06-26 18:44:45,1219217,396807,1530583,1703617,4850224
2023-06-26 18:45:00,1257001,403181,1579728,1727491,4967401
2023-06-26 18:45:15,1275774,415915,1604291,1775295,5071275
2023-06-26 18:45:30,1313328,422295,1653437,1799195,5188255
2023-06-26 18:45:45,1332085,435027,1677981,1846979,5292072
2023-06-26 18:46:00,1369407,441403,1727110,1870895,5408815
2023-06-26 18:46:15,1387985,454135,1751685,1918692,5512497
2023-06-26 18:46:30,1425130,460503,1800834,1942604,5629071
2023-06-26 18:46:45,1443678,473145,1825393,1990402,5732618
2023-06-26 18:47:00,1480809,479325,1874510,2014292,5848936
2023-06-26 18:47:15,1499349,491651,1899085,2062089,5952174
2023-06-26 18:47:30,1536500,497820,1948210,2085981,6068511
2023-06-26 18:47:45,1555065,509985,1972769,2133798,6171617
2023-06-26 18:48:00,1591650,515949,2021939,2157542,6287080
2023-06-26 18:48:15,1609346,527889,2046430,2201772,6385437
2023-06-26 18:48:30,1643566,533855,2095472,2221982,6494875
2023-06-26 18:48:45,1660147,545792,2120025,2257729,6583693
2023-06-26 18:49:00,1693285,551764,2168103,2272921,6686073
2023-06-26 18:49:15,1709750,563684,2190950,2301257,6765641
2023-06-26 18:49:30,1738499,569642,2234281,2315001,6857423
2023-06-26 18:49:45,1752143,581571,2254890,2341287,6929891
2023-06-26 18:50:00,1775098,587533,2295361,2353620,7011612
2023-06-26 18:50:15,1785724,599481,2315001,2376114,7076320
2023-06-26 18:50:30,1806235,605444,2350921,2386418,7149018
2023-06-26 18:50:45,1815899,617396,2367532,2404836,7205663
2023-06-26 18:51:00,1834036,623360,2397874,2413354,7268624
2023-06-26 18:51:15,1842660,635308,2410651,2429432,7318051
2023-06-26 18:51:30,1858873,641282,2432504,2437397,7370056
2023-06-26 18:51:45,1865539,653225,2441317,2453319,7413400
2023-06-26 18:52:00,1877994,659188,2456510,2461001,7454693
2023-06-26 18:52:15,1883620,671119,2463160,2472025,7489924
2023-06-26 18:52:30,1892864,677073,2475571,2476525,7522033
2023-06-26 18:52:45,1896527,686239,2481177,2484635,7548578
2023-06-26 18:53:00,1902629,690233,2491185,2488632,7572679
2023-06-26 18:53:15,1905300,698236,2494950,2496624,7595110
2023-06-26 18:53:30,1910618,702232,2500283,2500626,7613759
2023-06-26 18:53:45,1913286,710236,2502950,2508617,7635089
2023-06-26 18:54:00,1918617,714232,2508279,2512617,7653745
2023-06-26 18:54:15,1921284,722236,2510944,2520604,7675068
2023-06-26 18:54:30,1926617,726216,2516273,2524598,7693704
2023-06-26 18:54:45,1929284,734221,2518934,2532602,7715041
2023-06-26 18:55:00,1934617,738182,2524267,2536598,7733664
2023-06-26 18:55:15,1937284,746185,2526924,2544591,7754984
2023-06-26 18:55:30,1942605,750181,2532253,2548582,7773621
2023-06-26 18:55:45,1945274,758185,2534917,2556585,7794961
2023-06-26 18:56:00,1950598,762181,2540250,2560568,7813597
2023-06-26 18:56:15,1953259,770185,2542917,2568267,7834628
2023-06-26 18:56:30,1958584,774181,2548249,2571430,7852444
2023-06-26 18:56:45,1961251,782185,2550915,2576817,7871168
2023-06-26 18:57:00,1966583,785983,2556235,2579482,7888283
2023-06-26 18:57:15,1969251,792030,2558905,2584817,7905003
2023-06-26 18:57:30,1974583,794698,2564234,2587482,7920997
2023-06-26 18:57:45,1977251,799437,2566900,2592811,7936399
2023-06-26 18:58:00,1982582,801042,2572228,2595470,7951322
2023-06-26 18:58:15,1985241,803700,2574885,2600795,7964621
2023-06-26 18:58:30,1990569,805033,2580219,2603219,7979040
2023-06-26 18:58:45,1993230,807700,2582884,2606517,7990331
2023-06-26 18:59:00,1998552,809032,2588217,2607849,8003650
2023-06-26 18:59:15,2001217,811700,2590884,2609802,8013603
