"Time","emqx-0","emqx-1","emqx-3","emqx-2","Used Memory"
2023-06-26 18:29:00,1.84 GB,2.46 GB,2.30 GB,2.25 GB,8.86 GB
2023-06-26 18:29:15,1.84 GB,2.46 GB,2.31 GB,2.24 GB,8.85 GB
2023-06-26 18:29:30,1.84 GB,2.46 GB,2.30 GB,2.25 GB,8.85 GB
2023-06-26 18:29:45,1.84 GB,2.47 GB,2.30 GB,2.24 GB,8.85 GB
2023-06-26 18:30:00,1.84 GB,2.47 GB,2.31 GB,2.25 GB,8.86 GB
2023-06-26 18:30:15,1.84 GB,2.47 GB,2.30 GB,2.24 GB,8.85 GB
2023-06-26 18:30:30,1.84 GB,2.46 GB,2.30 GB,2.24 GB,8.85 GB
2023-06-26 18:30:45,1.84 GB,2.46 GB,2.30 GB,2.25 GB,8.86 GB
2023-06-26 18:31:00,1.84 GB,2.47 GB,2.30 GB,2.25 GB,8.86 GB
2023-06-26 18:31:15,1.84 GB,2.47 GB,2.30 GB,2.25 GB,8.86 GB
2023-06-26 18:31:30,1.85 GB,2.47 GB,2.31 GB,2.25 GB,8.88 GB
2023-06-26 18:31:45,1.85 GB,2.48 GB,2.31 GB,2.27 GB,8.91 GB
2023-06-26 18:32:00,1.86 GB,2.48 GB,2.32 GB,2.27 GB,8.94 GB
2023-06-26 18:32:15,1.86 GB,2.50 GB,2.33 GB,2.28 GB,8.97 GB
2023-06-26 18:32:30,1.89 GB,2.51 GB,2.35 GB,2.29 GB,9.04 GB
2023-06-26 18:32:45,1.89 GB,2.52 GB,2.35 GB,2.32 GB,9.08 GB
2023-06-26 18:33:00,1.90 GB,2.52 GB,2.36 GB,2.32 GB,9.10 GB
2023-06-26 18:33:15,1.90 GB,2.53 GB,2.37 GB,2.32 GB,9.13 GB
2023-06-26 18:33:30,1.92 GB,2.54 GB,2.39 GB,2.32 GB,9.16 GB
2023-06-26 18:33:45,1.93 GB,2.55 GB,2.39 GB,2.33 GB,9.20 GB
2023-06-26 18:34:00,1.94 GB,2.56 GB,2.40 GB,2.34 GB,9.24 GB
2023-06-26 18:34:15,1.94 GB,2.57 GB,2.41 GB,2.36 GB,9.29 GB
2023-06-26 18:34:30,1.97 GB,2.58 GB,2.43 GB,2.38 GB,9.37 GB
2023-06-26 18:34:45,1.97 GB,2.59 GB,2.42 GB,2.40 GB,9.37 GB
2023-06-26 18:35:00,1.98 GB,2.59 GB,2.43 GB,2.40 GB,9.40 GB
2023-06-26 18:35:15,1.99 GB,2.60 GB,2.45 GB,2.41 GB,9.45 GB
2023-06-26 18:35:30,2.01 GB,2.63 GB,2.46 GB,2.41 GB,9.51 GB
2023-06-26 18:35:45,2.01 GB,2.64 GB,2.46 GB,2.42 GB,9.54 GB
2023-06-26 18:36:00,2.02 GB,2.65 GB,2.50 GB,2.44 GB,9.61 GB
2023-06-26 18:36:15,2.02 GB,2.67 GB,2.50 GB,2.46 GB,9.64 GB
2023-06-26 18:36:30,2.03 GB,2.66 GB,2.50 GB,2.46 GB,9.66 GB
2023-06-26 18:36:45,2.04 GB,2.67 GB,2.51 GB,2.45 GB,9.66 GB
2023-06-26 18:37:00,2.03 GB,2.67 GB,2.50 GB,2.46 GB,9.66 GB
2023-06-26 18:37:15,2.04 GB,2.67 GB,2.50 GB,2.46 GB,9.66 GB
2023-06-26 18:37:30,2.05 GB,2.67 GB,2.52 GB,2.48 GB,9.71 GB
2023-06-26 18:37:45,2.05 GB,2.68 GB,2.51 GB,2.49 GB,9.73 GB
2023-06-26 18:38:00,2.06 GB,2.68 GB,2.53 GB,2.48 GB,9.76 GB
2023-06-26 18:38:15,2.06 GB,2.67 GB,2.53 GB,2.48 GB,9.75 GB
2023-06-26 18:38:30,2.06 GB,2.68 GB,2.53 GB,2.49 GB,9.75 GB
2023-06-26 18:38:45,2.06 GB,2.70 GB,2.53 GB,2.49 GB,9.77 GB
2023-06-26 18:39:00,2.05 GB,2.69 GB,2.53 GB,2.49 GB,9.76 GB
2023-06-26 18:39:15,2.05 GB,2.70 GB,2.53 GB,2.48 GB,9.75 GB
2023-06-26 18:39:30,2.06 GB,2.70 GB,2.53 GB,2.47 GB,9.76 GB
2023-06-26 18:39:45,2.05 GB,2.70 GB,2.53 GB,2.48 GB,9.76 GB
2023-06-26 18:40:00,2.06 GB,2.71 GB,2.52 GB,2.49 GB,9.77 GB
2023-06-26 18:40:15,2.05 GB,2.71 GB,2.52 GB,2.48 GB,9.77 GB
2023-06-26 18:40:30,2.06 GB,2.71 GB,2.52 GB,2.48 GB,9.77 GB
2023-06-26 18:40:45,2.06 GB,2.71 GB,2.53 GB,2.47 GB,9.78 GB
2023-06-26 18:41:00,2.06 GB,2.71 GB,2.52 GB,2.48 GB,9.77 GB
2023-06-26 18:41:15,2.06 GB,2.70 GB,2.52 GB,2.48 GB,9.76 GB
2023-06-26 18:41:30,2.06 GB,2.70 GB,2.51 GB,2.48 GB,9.76 GB
2023-06-26 18:41:45,2.05 GB,2.71 GB,2.52 GB,2.48 GB,9.75 GB
2023-06-26 18:42:00,2.06 GB,2.70 GB,2.52 GB,2.47 GB,9.76 GB
2023-06-26 18:42:15,2.05 GB,2.71 GB,2.51 GB,2.48 GB,9.75 GB
2023-06-26 18:42:30,2.06 GB,2.72 GB,2.51 GB,2.47 GB,9.76 GB
2023-06-26 18:42:45,2.06 GB,2.64 GB,2.51 GB,2.43 GB,9.63 GB
2023-06-26 18:43:00,2.02 GB,2.63 GB,2.50 GB,2.43 GB,9.57 GB
2023-06-26 18:43:15,2.03 GB,2.62 GB,2.50 GB,2.43 GB,9.58 GB
2023-06-26 18:43:30,2.04 GB,2.63 GB,2.50 GB,2.44 GB,9.60 GB
2023-06-26 18:43:45,2.05 GB,2.64 GB,2.50 GB,2.46 GB,9.65 GB
2023-06-26 18:44:00,2.04 GB,2.65 GB,2.51 GB,2.46 GB,9.67 GB
2023-06-26 18:44:15,2.06 GB,2.64 GB,2.51 GB,2.47 GB,9.68 GB
2023-06-26 18:44:30,2.06 GB,2.65 GB,2.51 GB,2.47 GB,9.68 GB
2023-06-26 18:44:45,2.05 GB,2.65 GB,2.51 GB,2.48 GB,9.69 GB
2023-06-26 18:45:00,2.06 GB,2.66 GB,2.51 GB,2.48 GB,9.70 GB
2023-06-26 18:45:15,2.06 GB,2.66 GB,2.51 GB,2.47 GB,9.70 GB
2023-06-26 18:45:30,2.05 GB,2.65 GB,2.51 GB,2.47 GB,9.68 GB
2023-06-26 18:45:45,2.06 GB,2.67 GB,2.51 GB,2.47 GB,9.71 GB
2023-06-26 18:46:00,2.06 GB,2.64 GB,2.51 GB,2.47 GB,9.68 GB
2023-06-26 18:46:15,2.07 GB,2.65 GB,2.51 GB,2.47 GB,9.69 GB
2023-06-26 18:46:30,2.05 GB,2.65 GB,2.51 GB,2.47 GB,9.67 GB
2023-06-26 18:46:45,2.05 GB,2.65 GB,2.50 GB,2.47 GB,9.67 GB
2023-06-26 18:47:00,2.05 GB,2.66 GB,2.50 GB,2.46 GB,9.68 GB
2023-06-26 18:47:15,2.04 GB,2.65 GB,2.50 GB,2.46 GB,9.65 GB
2023-06-26 18:47:30,2.04 GB,2.66 GB,2.51 GB,2.46 GB,9.66 GB
