"Time","emqx-0","emqx-1","emqx-3","emqx-2"
2023-06-27 13:38:45,7.00,16.5,6.03,5.63
2023-06-27 13:39:00,7.00,16.5,6.03,5.63
2023-06-27 13:39:15,7.00,16.5,6.03,5.64
2023-06-27 13:39:30,7.00,16.5,6.03,5.64
2023-06-27 13:39:45,7.00,16.5,6.03,5.64
2023-06-27 13:40:00,7.00,16.5,6.03,5.64
2023-06-27 13:40:15,7.00,16.5,6.03,5.64
2023-06-27 13:40:30,7.00,16.5,6.03,5.64
2023-06-27 13:40:45,7.00,16.5,6.03,5.64
2023-06-27 13:41:00,7.00,16.5,6.03,5.64
2023-06-27 13:41:15,7.00,16.5,6.03,5.64
2023-06-27 13:41:30,7.01,16.5,6.03,5.64
2023-06-27 13:41:45,7.01,16.5,6.03,5.64
2023-06-27 13:42:00,7.01,16.5,6.04,5.64
2023-06-27 13:42:15,7.01,16.5,6.04,5.64
2023-06-27 13:42:30,7.01,16.5,6.04,5.65
2023-06-27 13:42:45,7.01,16.5,6.04,5.65
2023-06-27 13:43:00,7.01,16.5,6.04,5.65
2023-06-27 13:43:15,7.01,16.5,6.04,5.65
2023-06-27 13:43:30,7.01,16.5,6.04,5.65
2023-06-27 13:43:45,7.02,16.5,6.04,5.65
2023-06-27 13:44:00,7.02,16.5,6.05,5.65
2023-06-27 13:44:15,7.02,16.5,6.05,5.65
2023-06-27 13:44:30,7.02,16.5,6.05,5.66
2023-06-27 13:44:45,7.02,16.5,6.05,5.66
2023-06-27 13:45:00,7.02,16.5,6.05,5.66
2023-06-27 13:45:15,7.03,16.5,6.05,5.66
2023-06-27 13:45:30,7.03,16.5,6.06,5.66
2023-06-27 13:45:45,7.03,16.5,6.06,5.66
2023-06-27 13:46:00,7.03,16.5,6.06,5.67
2023-06-27 13:46:15,7.03,16.5,6.06,5.67
2023-06-27 13:46:30,7.04,16.5,6.06,5.67
2023-06-27 13:46:45,7.04,16.5,6.07,5.67
2023-06-27 13:47:00,7.04,16.5,6.07,5.67
2023-06-27 13:47:15,7.04,16.5,6.07,5.68
2023-06-27 13:47:30,7.04,16.5,6.07,5.68
2023-06-27 13:47:45,7.05,16.5,6.07,5.68
2023-06-27 13:48:00,7.05,16.5,6.07,5.68
2023-06-27 13:48:15,7.05,16.5,6.08,5.68
2023-06-27 13:48:30,7.05,16.5,6.08,5.69
2023-06-27 13:48:45,7.06,16.5,6.08,5.69
2023-06-27 13:49:00,7.06,16.5,6.08,5.69
2023-06-27 13:49:15,7.06,16.5,6.08,5.69
2023-06-27 13:49:30,7.06,16.5,6.09,5.69
2023-06-27 13:49:45,7.06,16.5,6.09,5.69
2023-06-27 13:50:00,7.07,16.5,6.09,5.70
2023-06-27 13:50:15,7.07,16.5,6.09,5.70
2023-06-27 13:50:30,7.07,16.5,6.09,5.70
2023-06-27 13:50:45,7.07,16.5,6.10,5.70
2023-06-27 13:51:00,7.07,16.5,6.10,5.71
2023-06-27 13:51:15,7.08,16.5,6.10,5.71
2023-06-27 13:51:30,7.08,16.5,6.10,5.71
2023-06-27 13:51:45,7.08,16.5,6.10,5.71
2023-06-27 13:52:00,7.08,16.5,6.11,5.71
2023-06-27 13:52:15,7.09,16.5,6.11,5.71
2023-06-27 13:52:30,7.09,16.5,6.11,5.72
2023-06-27 13:52:45,7.09,16.5,6.11,5.72
2023-06-27 13:53:00,7.09,16.5,6.11,5.72
2023-06-27 13:53:15,7.09,16.5,6.12,5.72
2023-06-27 13:53:30,7.10,16.5,6.12,5.72
2023-06-27 13:53:45,7.10,16.5,6.12,5.73
2023-06-27 13:54:00,7.10,16.6,6.12,5.73
2023-06-27 13:54:15,7.10,16.6,6.12,5.73
2023-06-27 13:54:30,7.10,16.6,6.13,5.73
2023-06-27 13:54:45,7.11,16.6,6.13,5.73
2023-06-27 13:55:00,7.11,16.6,6.13,5.74
2023-06-27 13:55:15,7.11,16.6,6.13,5.74
2023-06-27 13:55:30,7.11,16.6,6.13,5.74
2023-06-27 13:55:45,7.12,16.6,6.14,5.74
2023-06-27 13:56:00,7.12,16.6,6.14,5.74
2023-06-27 13:56:15,7.12,16.6,6.14,5.75
2023-06-27 13:56:30,7.12,16.6,6.14,5.75
2023-06-27 13:56:45,7.12,16.6,6.14,5.75
2023-06-27 13:57:00,7.13,16.6,6.14,5.75
2023-06-27 13:57:15,7.13,16.6,6.15,5.75
2023-06-27 13:57:30,7.13,16.6,6.15,5.75
2023-06-27 13:57:45,7.13,16.6,6.15,5.76
2023-06-27 13:58:00,7.13,16.6,6.15,5.76
2023-06-27 13:58:15,7.14,16.6,6.15,5.76
2023-06-27 13:58:30,7.14,16.6,6.16,5.76
2023-06-27 13:58:45,7.14,16.6,6.16,5.76
2023-06-27 13:59:00,7.14,16.6,6.16,5.76
2023-06-27 13:59:15,7.14,16.6,6.16,5.77
2023-06-27 13:59:30,7.14,16.6,6.16,5.77
2023-06-27 13:59:45,7.15,16.6,6.16,5.77
2023-06-27 14:00:00,7.15,16.6,6.16,5.77
2023-06-27 14:00:15,7.15,16.6,6.17,5.77
2023-06-27 14:00:30,7.15,16.6,6.17,5.77
2023-06-27 14:00:45,7.15,16.6,6.17,5.77
2023-06-27 14:01:00,7.15,16.6,6.17,5.78
2023-06-27 14:01:15,7.16,16.6,6.17,5.78
2023-06-27 14:01:30,7.16,16.6,6.17,5.78
2023-06-27 14:01:45,7.16,16.6,6.17,5.78
2023-06-27 14:02:00,7.16,16.6,6.17,5.78
2023-06-27 14:02:15,7.16,16.6,6.18,5.78
2023-06-27 14:02:30,7.16,16.6,6.18,5.78
2023-06-27 14:02:45,7.16,16.6,6.18,5.78
2023-06-27 14:03:00,7.16,16.6,6.18,5.78
2023-06-27 14:03:15,7.16,16.6,6.18,5.78
2023-06-27 14:03:30,7.16,16.6,6.18,5.79
2023-06-27 14:03:45,7.17,16.6,6.18,5.79
2023-06-27 14:04:00,7.17,16.6,6.18,5.79
2023-06-27 14:04:15,7.17,16.6,6.18,5.79
2023-06-27 14:04:30,7.17,16.6,6.18,5.79
2023-06-27 14:04:45,7.17,16.6,6.18,5.79
2023-06-27 14:05:00,7.17,16.6,6.18,5.79
2023-06-27 14:05:15,7.17,16.6,6.18,5.79
