"Time","emqx-2","emqx-1","emqx-0","emqx-3"
2023-06-22 15:53:45,,,0,
2023-06-22 15:54:00,0,0,0,0
2023-06-22 15:54:15,0,0,0,0
2023-06-22 15:54:30,0,0,0,0
2023-06-22 15:54:45,0,0,0,0
2023-06-22 15:55:00,0,0,0,0
2023-06-22 15:55:15,0,0,0,0
2023-06-22 15:55:30,0,0,0,0
2023-06-22 15:55:45,0,0,0,0
2023-06-22 15:56:00,0,0,0,0
2023-06-22 15:56:15,1,2,1,1
2023-06-22 15:56:30,1,2,1,1
2023-06-22 15:56:45,1,3,1,2
2023-06-22 15:57:00,3,4,1,2
2023-06-22 15:57:15,25,21,67,26
2023-06-22 15:57:30,149,155,130,80
2023-06-22 15:57:45,203,198,254,200
2023-06-22 15:58:00,363,369,370,282
2023-06-22 15:58:15,425,452,508,451
2023-06-22 15:58:30,583,617,598,547
2023-06-22 15:58:45,632,668,729,684
2023-06-22 15:59:00,817,877,839,800
2023-06-22 15:59:15,859,916,961,942
2023-06-22 15:59:30,1015,1104,1064,1019
2023-06-22 15:59:45,1086,1161,1230,1198
2023-06-22 16:00:00,1232,1306,1310,1291
2023-06-22 16:00:15,1295,1371,1463,1446
2023-06-22 16:00:30,1475,1568,1580,1536
2023-06-22 16:00:45,1553,1668,1707,1626
2023-06-22 16:01:00,1700,1820,1817,1767
2023-06-22 16:01:15,1772,1889,1984,1943
2023-06-22 16:01:30,1913,2059,2074,2016
2023-06-22 16:01:45,1971,2127,2225,2174
2023-06-22 16:02:00,2180,2337,2328,2286
2023-06-22 16:02:15,2222,2385,2456,2411
2023-06-22 16:02:30,2427,2562,2555,2504
2023-06-22 16:02:45,2498,2636,2702,2677
2023-06-22 16:03:00,2673,2794,2780,2765
2023-06-22 16:03:15,2729,2874,2932,2937
2023-06-22 16:03:30,2942,3054,3011,3030
2023-06-22 16:03:45,2993,3107,3141,3166
2023-06-22 16:04:00,3186,3294,3240,3275
2023-06-22 16:04:15,3244,3359,3384,3440
2023-06-22 16:04:30,3406,3516,3473,3516
2023-06-22 16:04:45,3492,3583,3641,3681
2023-06-22 16:05:00,3675,3758,3732,3771
2023-06-22 16:05:15,3729,3822,3858,3901
2023-06-22 16:05:30,3918,4011,3964,4002
2023-06-22 16:05:45,3977,4075,4130,4145
2023-06-22 16:06:00,4143,4234,4209,4232
2023-06-22 16:06:15,4222,4313,4383,4390
2023-06-22 16:06:30,4399,4484,4487,4478
2023-06-22 16:06:45,4461,4548,4626,4594
2023-06-22 16:07:00,4655,4728,4746,4694
2023-06-22 16:07:15,4703,4775,4849,4817
2023-06-22 16:07:30,4788,4862,4892,4860
2023-06-22 16:07:45,4806,4882,4941,4917
2023-06-22 16:08:00,4826,4898,4944,4929
2023-06-22 16:08:15,4841,4909,4971,4940
2023-06-22 16:08:30,4881,4942,4999,4961
2023-06-22 16:08:45,4883,4945,5009,4985
2023-06-22 16:09:00,4904,4967,5015,4986
2023-06-22 16:09:15,4923,4989,5054,5030
2023-06-22 16:09:30,4931,5000,5058,5045
2023-06-22 16:09:45,4942,5013,5070,5054
2023-06-22 16:10:00,4995,5054,5091,5072
2023-06-22 16:10:15,4996,5056,5106,5088
2023-06-22 16:10:30,5019,5077,5122,5091
2023-06-22 16:10:45,5032,5097,5155,5134
2023-06-22 16:11:00,5049,5112,5157,5139
2023-06-22 16:11:15,5058,5129,5184,5154
2023-06-22 16:11:30,5086,5168,5205,5178
2023-06-22 16:11:45,5086,5169,5213,5196
2023-06-22 16:12:00,5089,5170,5213,5196
2023-06-22 16:12:15,5089,5170,5213,5196
2023-06-22 16:12:30,5089,5171,5213,5196
2023-06-22 16:12:45,5092,5173,5216,5197
2023-06-22 16:13:00,5092,5174,5216,5197
2023-06-22 16:13:15,5092,5174,5216,5197
