"Time","total","emqx-2","emqx-1","emqx-0","emqx-3"
2023-06-22 15:53:45,0,,,0,
2023-06-22 15:54:00,0,0,0,0,0
2023-06-22 15:54:15,0,0,0,0,0
2023-06-22 15:54:30,0,0,0,0,0
2023-06-22 15:54:45,0,0,0,0,0
2023-06-22 15:55:00,0,0,0,0,0
2023-06-22 15:55:15,0,0,0,0,0
2023-06-22 15:55:30,0,0,0,0,0
2023-06-22 15:55:45,0,0,0,0,0
2023-06-22 15:56:00,0,0,0,0,0
2023-06-22 15:56:15,5,1,2,1,1
2023-06-22 15:56:30,5,1,2,1,1
2023-06-22 15:56:45,7,1,3,1,2
2023-06-22 15:57:00,9,3,3,1,2
2023-06-22 15:57:15,12,3,4,2,3
2023-06-22 15:57:30,13,3,5,2,3
2023-06-22 15:57:45,16,4,5,2,5
2023-06-22 15:58:00,17,4,5,3,5
2023-06-22 15:58:15,20,4,6,3,7
2023-06-22 15:58:30,22,5,6,4,7
2023-06-22 15:58:45,24,5,6,5,8
2023-06-22 15:59:00,25,6,6,5,8
2023-06-22 15:59:15,29,8,6,5,10
2023-06-22 15:59:30,30,9,6,5,10
2023-06-22 15:59:45,32,10,6,6,10
2023-06-22 16:00:00,34,10,7,6,11
2023-06-22 16:00:15,37,11,7,8,11
2023-06-22 16:00:30,38,12,7,8,11
2023-06-22 16:00:45,40,12,8,9,11
2023-06-22 16:01:00,42,12,8,9,13
2023-06-22 16:01:15,45,13,8,11,13
2023-06-22 16:01:30,47,15,8,11,13
2023-06-22 16:01:45,49,15,8,12,14
2023-06-22 16:02:00,52,17,9,12,14
2023-06-22 16:02:15,53,17,9,12,15
2023-06-22 16:02:30,56,18,10,13,15
2023-06-22 16:02:45,57,18,10,13,16
2023-06-22 16:03:00,60,20,11,13,16
2023-06-22 16:03:15,61,20,11,13,17
2023-06-22 16:03:30,64,22,12,13,17
2023-06-22 16:03:45,66,23,12,13,18
2023-06-22 16:04:00,66,23,12,13,18
2023-06-22 16:04:15,70,23,12,14,21
