"Time","emqx-3","emqx-0","emqx-2","emqx-1"
2023-07-15 16:07:00,4.97,4.79,4.92,4.85
2023-07-15 16:07:15,4.97,4.79,4.92,4.85
2023-07-15 16:07:30,4.97,4.79,4.92,4.85
2023-07-15 16:07:45,4.97,4.79,4.92,4.85
2023-07-15 16:08:00,4.97,4.79,4.92,4.85
2023-07-15 16:08:15,4.97,4.79,4.92,4.85
2023-07-15 16:08:30,4.97,4.79,4.92,4.85
2023-07-15 16:08:45,4.97,4.79,4.92,4.85
2023-07-15 16:09:00,4.97,4.79,4.92,4.85
2023-07-15 16:09:15,4.97,4.79,4.92,4.85
2023-07-15 16:09:30,4.97,4.79,4.92,4.85
2023-07-15 16:09:45,4.97,4.79,4.92,4.85
2023-07-15 16:10:00,4.97,4.79,4.92,4.85
2023-07-15 16:10:15,4.97,4.79,4.92,4.85
2023-07-15 16:10:30,4.97,4.79,4.93,4.86
2023-07-15 16:10:45,4.97,4.79,4.93,4.86
2023-07-15 16:11:00,4.98,4.79,4.93,4.86
2023-07-15 16:11:15,4.98,4.79,4.93,4.86
2023-07-15 16:11:30,4.98,4.79,4.93,4.86
2023-07-15 16:11:45,4.98,4.80,4.93,4.86
2023-07-15 16:12:00,4.98,4.80,4.93,4.86
2023-07-15 16:12:15,4.98,4.80,4.93,4.86
2023-07-15 16:12:30,4.98,4.80,4.93,4.86
2023-07-15 16:12:45,4.98,4.80,4.93,4.86
2023-07-15 16:13:00,4.98,4.80,4.93,4.86
2023-07-15 16:13:15,4.98,4.80,4.93,4.86
2023-07-15 16:13:30,4.98,4.80,4.93,4.87
2023-07-15 16:13:45,4.98,4.80,4.93,4.87
2023-07-15 16:14:00,4.99,4.80,4.94,4.87
2023-07-15 16:14:15,4.99,4.80,4.94,4.87
2023-07-15 16:14:30,4.99,4.81,4.94,4.87
2023-07-15 16:14:45,4.99,4.81,4.94,4.87
2023-07-15 16:15:00,4.99,4.81,4.94,4.87
2023-07-15 16:15:15,4.99,4.81,4.94,4.87
2023-07-15 16:15:30,4.99,4.81,4.94,4.87
2023-07-15 16:15:45,4.99,4.81,4.94,4.87
2023-07-15 16:16:00,4.99,4.81,4.94,4.88
2023-07-15 16:16:15,5.00,4.81,4.94,4.88
2023-07-15 16:16:30,5.00,4.81,4.95,4.88
2023-07-15 16:16:45,5.00,4.82,4.95,4.88
2023-07-15 16:17:00,5.00,4.82,4.95,4.88
2023-07-15 16:17:15,5.00,4.82,4.95,4.88
2023-07-15 16:17:30,5.00,4.82,4.95,4.88
2023-07-15 16:17:45,5.00,4.82,4.95,4.88
2023-07-15 16:18:00,5.00,4.82,4.95,4.89
2023-07-15 16:18:15,5.01,4.82,4.95,4.89
2023-07-15 16:18:30,5.01,4.82,4.96,4.89
2023-07-15 16:18:45,5.01,4.83,4.96,4.89
2023-07-15 16:19:00,5.01,4.83,4.96,4.89
2023-07-15 16:19:15,5.01,4.83,4.96,4.89
2023-07-15 16:19:30,5.01,4.83,4.96,4.89
2023-07-15 16:19:45,5.01,4.83,4.96,4.89
2023-07-15 16:20:00,5.01,4.83,4.96,4.90
2023-07-15 16:20:15,5.02,4.83,4.96,4.90
2023-07-15 16:20:30,5.02,4.84,4.97,4.90
