"Time","emqx-3","emqx-0","emqx-2","emqx-1"
2023-07-15 16:07:00,3,3,1,3
2023-07-15 16:07:15,50,92,27,19
2023-07-15 16:07:30,185,141,140,135
2023-07-15 16:07:45,260,287,191,187
2023-07-15 16:08:00,412,383,361,362
2023-07-15 16:08:15,500,524,439,422
2023-07-15 16:08:30,645,610,602,592
2023-07-15 16:08:45,729,746,649,649
2023-07-15 16:09:00,906,841,847,852
2023-07-15 16:09:15,965,976,882,894
2023-07-15 16:09:30,1135,1059,1065,1066
2023-07-15 16:09:45,1215,1218,1125,1142
2023-07-15 16:10:00,1377,1307,1283,1297
2023-07-15 16:10:15,1443,1466,1350,1355
2023-07-15 16:10:30,1619,1563,1534,1561
2023-07-15 16:10:45,1681,1690,1576,1604
2023-07-15 16:11:00,1880,1781,1743,1774
2023-07-15 16:11:15,1934,1931,1816,1841
2023-07-15 16:11:30,2087,2008,1984,2007
2023-07-15 16:11:45,2145,2169,2040,2058
2023-07-15 16:12:00,2343,2275,2226,2240
2023-07-15 16:12:15,2382,2402,2272,2291
2023-07-15 16:12:30,2554,2484,2466,2464
2023-07-15 16:12:45,2627,2611,2550,2556
2023-07-15 16:13:00,2788,2691,2697,2713
2023-07-15 16:13:15,2865,2833,2764,2789
2023-07-15 16:13:30,3047,2931,2946,2969
2023-07-15 16:13:45,3110,3073,3000,3038
2023-07-15 16:14:00,3283,3168,3159,3208
2023-07-15 16:14:15,3361,3307,3241,3309
2023-07-15 16:14:30,3528,3391,3396,3437
2023-07-15 16:14:45,3599,3540,3459,3521
2023-07-15 16:15:00,3783,3648,3625,3694
2023-07-15 16:15:15,3832,3788,3697,3768
2023-07-15 16:15:30,4020,3889,3863,3938
2023-07-15 16:15:45,4089,4047,3955,4016
2023-07-15 16:16:00,4237,4128,4107,4147
2023-07-15 16:16:15,4306,4267,4197,4233
2023-07-15 16:16:30,4490,4394,4348,4395
2023-07-15 16:16:45,4546,4507,4416,4473
2023-07-15 16:17:00,4729,4598,4587,4620
2023-07-15 16:17:15,4817,4755,4674,4711
2023-07-15 16:17:30,4939,4832,4815,4855
2023-07-15 16:17:45,5008,5011,4893,4961
2023-07-15 16:18:00,5192,5106,5058,5111
2023-07-15 16:18:15,5249,5234,5135,5189
2023-07-15 16:18:30,5433,5318,5308,5364
2023-07-15 16:18:45,5503,5465,5386,5463
2023-07-15 16:19:00,5652,5558,5508,5591
2023-07-15 16:19:15,5740,5731,5594,5675
2023-07-15 16:19:30,5903,5837,5748,5825
2023-07-15 16:19:45,5956,5961,5816,5903
2023-07-15 16:20:00,6077,6015,5937,6016
2023-07-15 16:20:15,6118,6099,6013,6073
2023-07-15 16:20:30,6129,6099,6020,6083
2023-07-15 16:20:45,6159,6139,6041,6107
2023-07-15 16:21:00,6181,6157,6085,6131
2023-07-15 16:21:15,6182,6167,6085,6131
2023-07-15 16:21:30,6221,6191,6135,6165
2023-07-15 16:21:45,6230,6215,6152,6179
2023-07-15 16:22:00,6245,6218,6159,6184
2023-07-15 16:22:15,6263,6262,6174,6207
2023-07-15 16:22:30,6279,6274,6200,6234
2023-07-15 16:22:45,6286,6290,6200,6235
2023-07-15 16:23:00,6316,6303,6240,6283
2023-07-15 16:23:15,6323,6320,6256,6300
2023-07-15 16:23:30,6342,6321,6259,6305
2023-07-15 16:23:45,6361,6361,6286,6322
2023-07-15 16:24:00,6371,6373,6314,6353
2023-07-15 16:24:15,6373,6384,6314,6353
2023-07-15 16:24:30,6419,6409,6345,6391
2023-07-15 16:24:45,6428,6428,6361,6405
2023-07-15 16:25:00,6438,6431,6367,6415
2023-07-15 16:25:15,6457,6469,6386,6442
2023-07-15 16:25:30,6482,6475,6411,6463
2023-07-15 16:25:45,6482,6476,6411,6464
2023-07-15 16:26:00,6482,6476,6411,6464
2023-07-15 16:26:15,6482,6476,6411,6464
2023-07-15 16:26:30,6484,6478,6415,6467
2023-07-15 16:26:45,6484,6478,6415,6467
2023-07-15 16:27:00,6484,6478,6415,6467
