"Time","Messages"
2023-07-15 16:07:00,0
2023-07-15 16:07:15,0
2023-07-15 16:07:30,2
2023-07-15 16:07:45,2
2023-07-15 16:08:00,2
2023-07-15 16:08:15,2
2023-07-15 16:08:30,0
2023-07-15 16:08:45,1
2023-07-15 16:09:00,9
2023-07-15 16:09:15,12
2023-07-15 16:09:30,12
2023-07-15 16:09:45,14
2023-07-15 16:10:00,9
2023-07-15 16:10:15,10
2023-07-15 16:10:30,12
2023-07-15 16:10:45,13
2023-07-15 16:11:00,23
2023-07-15 16:11:15,10
2023-07-15 16:11:30,16
2023-07-15 16:11:45,14
2023-07-15 16:12:00,15
2023-07-15 16:12:15,16
2023-07-15 16:12:30,19
2023-07-15 16:12:45,28
2023-07-15 16:13:00,20
2023-07-15 16:13:15,32
2023-07-15 16:13:30,17
2023-07-15 16:13:45,26
2023-07-15 16:14:00,33
2023-07-15 16:14:15,24
2023-07-15 16:14:30,25
2023-07-15 16:14:45,30
2023-07-15 16:15:00,37
2023-07-15 16:15:15,32
2023-07-15 16:15:30,59
2023-07-15 16:15:45,50
2023-07-15 16:16:00,76
2023-07-15 16:16:15,70
2023-07-15 16:16:30,61
2023-07-15 16:16:45,53
2023-07-15 16:17:00,60
2023-07-15 16:17:15,76
2023-07-15 16:17:30,146
2023-07-15 16:17:45,183
2023-07-15 16:18:00,98
2023-07-15 16:18:15,131
2023-07-15 16:18:30,138
2023-07-15 16:18:45,131
2023-07-15 16:19:00,129
2023-07-15 16:19:15,121
2023-07-15 16:19:30,334
2023-07-15 16:19:45,294
2023-07-15 16:20:00,762
2023-07-15 16:20:15,875
2023-07-15 16:20:30,827
2023-07-15 16:20:45,836
2023-07-15 16:21:00,867
2023-07-15 16:21:15,859
2023-07-15 16:21:30,864
2023-07-15 16:21:45,863
2023-07-15 16:22:00,863
2023-07-15 16:22:15,859
2023-07-15 16:22:30,863
2023-07-15 16:22:45,863
2023-07-15 16:23:00,859
2023-07-15 16:23:15,856
2023-07-15 16:23:30,854
2023-07-15 16:23:45,850
2023-07-15 16:24:00,851
2023-07-15 16:24:15,824
2023-07-15 16:24:30,766
2023-07-15 16:24:45,598
2023-07-15 16:25:00,455
2023-07-15 16:25:15,237
2023-07-15 16:25:30,244
2023-07-15 16:25:45,205
2023-07-15 16:26:00,101
2023-07-15 16:26:15,122
2023-07-15 16:26:30,99
2023-07-15 16:26:45,66
2023-07-15 16:27:00,109
2023-07-15 16:27:15,93
2023-07-15 16:27:30,98
2023-07-15 16:27:45,72
2023-07-15 16:28:00,58
2023-07-15 16:28:15,50
2023-07-15 16:28:30,52
2023-07-15 16:28:45,58
2023-07-15 16:29:00,55
2023-07-15 16:29:15,50
2023-07-15 16:29:30,57
2023-07-15 16:29:45,51
2023-07-15 16:30:00,52
2023-07-15 16:30:15,41
2023-07-15 16:30:30,33
2023-07-15 16:30:45,36
2023-07-15 16:31:00,31
2023-07-15 16:31:15,44
2023-07-15 16:31:30,32
2023-07-15 16:31:45,40
2023-07-15 16:32:00,30
2023-07-15 16:32:15,35
2023-07-15 16:32:30,24
2023-07-15 16:32:45,33
2023-07-15 16:33:00,24
2023-07-15 16:33:15,18
2023-07-15 16:33:30,16
2023-07-15 16:33:45,17
2023-07-15 16:34:00,20
2023-07-15 16:34:15,20
2023-07-15 16:34:30,14
2023-07-15 16:34:45,13
2023-07-15 16:35:00,13
2023-07-15 16:35:15,14
2023-07-15 16:35:30,15
2023-07-15 16:35:45,14
2023-07-15 16:36:00,10
2023-07-15 16:36:15,10
2023-07-15 16:36:30,3
2023-07-15 16:36:45,3
2023-07-15 16:37:00,2
2023-07-15 16:37:15,2
2023-07-15 16:37:30,1
2023-07-15 16:37:45,1
2023-07-15 16:38:00,0
2023-07-15 16:38:15,0
2023-07-15 16:38:30,0
2023-07-15 16:38:45,0
2023-07-15 16:39:00,0
2023-07-15 16:39:15,0
2023-07-15 16:39:30,0
2023-07-15 16:39:45,0
2023-07-15 16:40:00,0
2023-07-15 16:40:15,0
2023-07-15 16:40:30,0
2023-07-15 16:40:45,0
2023-07-15 16:41:00,0
2023-07-15 16:41:15,0
2023-07-15 16:41:30,0
2023-07-15 16:41:45,0
2023-07-15 16:42:00,0
2023-07-15 16:42:15,0
2023-07-15 16:42:30,0
2023-07-15 16:42:45,0
2023-07-15 16:43:00,0
2023-07-15 16:43:15,0
2023-07-15 16:43:30,0
2023-07-15 16:43:45,0
2023-07-15 16:44:00,0
2023-07-15 16:44:15,0
2023-07-15 16:44:30,0
2023-07-15 16:44:45,0
2023-07-15 16:45:00,0
2023-07-15 16:45:15,0
2023-07-15 16:45:30,0
2023-07-15 16:45:45,0
2023-07-15 16:46:00,0
2023-07-15 16:46:15,0
2023-07-15 16:46:30,0
2023-07-15 16:46:45,0
2023-07-15 16:47:00,0
2023-07-15 16:47:15,0
2023-07-15 16:47:30,0
2023-07-15 16:47:45,0
2023-07-15 16:48:00,0
2023-07-15 16:48:15,0
2023-07-15 16:48:30,0
2023-07-15 16:48:45,0
2023-07-15 16:49:00,0
2023-07-15 16:49:15,0
2023-07-15 16:49:30,0
2023-07-15 16:49:45,0
2023-07-15 16:50:00,0
2023-07-15 16:50:15,0
2023-07-15 16:50:30,0

