"Time","emqx-3","emqx-0","emqx-2","emqx-1"
2023-07-15 16:07:00,7,8,2,8
2023-07-15 16:07:15,407,1296,89,116
2023-07-15 16:07:30,4607,3729,1976,6922
2023-07-15 16:07:45,8015,10538,3412,11716
2023-07-15 16:08:00,22676,15121,7858,25797
2023-07-15 16:08:15,31795,27678,10912,34603
2023-07-15 16:08:30,55591,36390,19707,55203
2023-07-15 16:08:45,69225,58048,24809,66447
2023-07-15 16:09:00,98336,71594,38378,91820
2023-07-15 16:09:15,113848,102546,48513,106109
2023-07-15 16:09:30,146958,119316,71461,138033
2023-07-15 16:09:45,165183,156391,84117,157526
2023-07-15 16:10:00,205113,176864,111130,200711
2023-07-15 16:10:15,227222,222928,125301,223313
2023-07-15 16:10:30,277382,248876,156021,271346
2023-07-15 16:10:45,304217,304071,171783,295865
2023-07-15 16:11:00,361086,334449,209661,346989
2023-07-15 16:11:15,390458,400393,230005,373149
2023-07-15 16:11:30,450975,437206,274043,429032
2023-07-15 16:11:45,481783,513475,296967,458853
2023-07-15 16:12:00,545456,554517,345102,525096
2023-07-15 16:12:15,578030,641610,369799,561254
2023-07-15 16:12:30,646345,686673,421357,636614
2023-07-15 16:12:45,683574,780695,448707,676049
2023-07-15 16:13:00,760803,829729,506947,757156
2023-07-15 16:13:15,800875,932248,536631,799333
2023-07-15 16:13:30,883802,985685,598522,890302
2023-07-15 16:13:45,926556,1095674,630019,937443
2023-07-15 16:14:00,1015788,1152073,699154,1037184
2023-07-15 16:14:15,1061912,1267383,734193,1088952
2023-07-15 16:14:30,1158703,1326608,809892,1196442
2023-07-15 16:14:45,1208746,1447407,848710,1251495
2023-07-15 16:15:00,1313007,1510640,929385,1366855
2023-07-15 16:15:15,1366779,1639509,970832,1426220
2023-07-15 16:15:30,1478127,1704889,1059330,1546940
2023-07-15 16:15:45,1535526,1836890,1108217,1608024
2023-07-15 16:16:00,1652045,1904227,1210975,1731992
2023-07-15 16:16:15,1711247,2045810,1264672,1794515
2023-07-15 16:16:30,1832189,2119694,1375835,1921669
2023-07-15 16:16:45,1894202,2274117,1432025,1985858
2023-07-15 16:17:00,2021391,2353966,1546768,2117072
2023-07-15 16:17:15,2086150,2517169,1605381,2183718
2023-07-15 16:17:30,2218258,2600593,1726960,2324035
2023-07-15 16:17:45,2285134,2768462,1788765,2395791
2023-07-15 16:18:00,2422373,2854065,1916932,2545912
2023-07-15 16:18:15,2492085,3026438,1983246,2622611
2023-07-15 16:18:30,2633591,3113635,2120029,2780022
2023-07-15 16:18:45,2705668,3289180,2190377,2862505
2023-07-15 16:19:00,2851623,3378781,2331973,3030860
2023-07-15 16:19:15,2926478,3565353,2404612,3116654
2023-07-15 16:19:30,3077410,3661124,2552952,3290973
2023-07-15 16:19:45,3152313,3854305,2628304,3377501
2023-07-15 16:20:00,3306210,3954414,2781995,3555674
2023-07-15 16:20:15,3384994,4154443,2861267,3646420
2023-07-15 16:20:30,3541473,4254101,3018747,3834674
2023-07-15 16:20:45,3618059,4452418,3095512,3926102
2023-07-15 16:21:00,3775785,4554095,3255725,4112508
2023-07-15 16:21:15,3854003,4755324,3335968,4206478
2023-07-15 16:21:30,4013450,4857605,3497504,4392816
2023-07-15 16:21:45,4093502,5056902,3577458,4484888
2023-07-15 16:22:00,4255813,5157631,3737883,4670103
2023-07-15 16:22:15,4338828,5364420,3819408,4764992
2023-07-15 16:22:30,4506456,5467089,3979877,4950708
2023-07-15 16:22:45,4589493,5671926,4058551,5045373
2023-07-15 16:23:00,4755148,5774862,4220320,5235099
2023-07-15 16:23:15,4838869,5981145,4302867,5328811
2023-07-15 16:23:30,5007172,6085498,4468867,5517440
2023-07-15 16:23:45,5092974,6296014,4553893,5614250
2023-07-15 16:24:00,5265920,6399472,4721259,5806782
2023-07-15 16:24:15,5350524,6608259,4803657,5901833
2023-07-15 16:24:30,5520013,6714264,4969819,6087806
