"Time","emqx-3","emqx-0","emqx-2","emqx-1","Used Memory"
2023-07-15 16:07:00,2.79 GB,3.00 GB,2.99 GB,3.01 GB,11.8 GB
2023-07-15 16:07:15,2.79 GB,3.00 GB,2.99 GB,3.00 GB,11.8 GB
2023-07-15 16:07:30,2.80 GB,3.00 GB,2.99 GB,3.01 GB,11.8 GB
2023-07-15 16:07:45,2.81 GB,3.02 GB,2.99 GB,3.01 GB,11.8 GB
2023-07-15 16:08:00,2.82 GB,3.02 GB,3.01 GB,3.02 GB,11.9 GB
2023-07-15 16:08:15,2.83 GB,3.03 GB,3.01 GB,3.03 GB,11.9 GB
2023-07-15 16:08:30,2.85 GB,3.04 GB,3.04 GB,3.05 GB,12.0 GB
2023-07-15 16:08:45,2.87 GB,3.05 GB,3.05 GB,3.07 GB,12.0 GB
2023-07-15 16:09:00,2.88 GB,3.05 GB,3.06 GB,3.08 GB,12.1 GB
2023-07-15 16:09:15,2.89 GB,3.07 GB,3.07 GB,3.08 GB,12.1 GB
2023-07-15 16:09:30,2.89 GB,3.08 GB,3.08 GB,3.09 GB,12.1 GB
2023-07-15 16:09:45,2.90 GB,3.09 GB,3.09 GB,3.10 GB,12.2 GB
2023-07-15 16:10:00,2.91 GB,3.11 GB,3.10 GB,3.10 GB,12.2 GB
2023-07-15 16:10:15,2.92 GB,3.12 GB,3.11 GB,3.12 GB,12.3 GB
2023-07-15 16:10:30,2.94 GB,3.15 GB,3.11 GB,3.15 GB,12.3 GB
2023-07-15 16:10:45,2.94 GB,3.15 GB,3.12 GB,3.16 GB,12.4 GB
2023-07-15 16:11:00,2.94 GB,3.15 GB,3.14 GB,3.17 GB,12.4 GB
2023-07-15 16:11:15,2.95 GB,3.16 GB,3.14 GB,3.18 GB,12.4 GB
2023-07-15 16:11:30,2.97 GB,3.17 GB,3.15 GB,3.19 GB,12.5 GB
2023-07-15 16:11:45,2.96 GB,3.17 GB,3.16 GB,3.20 GB,12.5 GB
2023-07-15 16:12:00,2.97 GB,3.17 GB,3.19 GB,3.20 GB,12.5 GB
2023-07-15 16:12:15,2.98 GB,3.19 GB,3.21 GB,3.20 GB,12.6 GB
2023-07-15 16:12:30,3.00 GB,3.20 GB,3.21 GB,3.22 GB,12.6 GB
2023-07-15 16:12:45,3.00 GB,3.22 GB,3.22 GB,3.23 GB,12.7 GB
2023-07-15 16:13:00,3.00 GB,3.23 GB,3.22 GB,3.25 GB,12.7 GB
2023-07-15 16:13:15,3.00 GB,3.24 GB,3.22 GB,3.24 GB,12.7 GB
2023-07-15 16:13:30,3.03 GB,3.24 GB,3.23 GB,3.24 GB,12.7 GB
2023-07-15 16:13:45,3.04 GB,3.25 GB,3.25 GB,3.25 GB,12.8 GB
2023-07-15 16:14:00,3.05 GB,3.26 GB,3.25 GB,3.25 GB,12.8 GB
2023-07-15 16:14:15,3.06 GB,3.27 GB,3.28 GB,3.25 GB,12.9 GB
2023-07-15 16:14:30,3.06 GB,3.28 GB,3.28 GB,3.27 GB,12.9 GB
2023-07-15 16:14:45,3.08 GB,3.28 GB,3.29 GB,3.27 GB,12.9 GB
2023-07-15 16:15:00,3.09 GB,3.29 GB,3.30 GB,3.27 GB,13.0 GB
2023-07-15 16:15:15,3.10 GB,3.31 GB,3.30 GB,3.28 GB,13.0 GB
2023-07-15 16:15:30,3.12 GB,3.32 GB,3.33 GB,3.30 GB,13.1 GB
2023-07-15 16:15:45,3.13 GB,3.31 GB,3.34 GB,3.31 GB,13.1 GB
2023-07-15 16:16:00,3.15 GB,3.33 GB,3.34 GB,3.33 GB,13.1 GB
2023-07-15 16:16:15,3.15 GB,3.32 GB,3.35 GB,3.32 GB,13.1 GB
2023-07-15 16:16:30,3.16 GB,3.33 GB,3.37 GB,3.36 GB,13.2 GB
2023-07-15 16:16:45,3.16 GB,3.34 GB,3.36 GB,3.37 GB,13.2 GB
2023-07-15 16:17:00,3.19 GB,3.35 GB,3.37 GB,3.38 GB,13.3 GB
2023-07-15 16:17:15,3.19 GB,3.37 GB,3.38 GB,3.38 GB,13.3 GB
2023-07-15 16:17:30,3.19 GB,3.37 GB,3.37 GB,3.40 GB,13.3 GB
2023-07-15 16:17:45,3.19 GB,3.38 GB,3.37 GB,3.40 GB,13.3 GB
2023-07-15 16:18:00,3.19 GB,3.38 GB,3.38 GB,3.40 GB,13.4 GB
2023-07-15 16:18:15,3.21 GB,3.39 GB,3.39 GB,3.41 GB,13.4 GB
2023-07-15 16:18:30,3.22 GB,3.40 GB,3.40 GB,3.42 GB,13.4 GB
2023-07-15 16:18:45,3.15 GB,3.35 GB,3.42 GB,3.43 GB,13.3 GB
2023-07-15 16:19:00,3.16 GB,3.37 GB,3.35 GB,3.41 GB,13.3 GB
2023-07-15 16:19:15,3.18 GB,3.44 GB,3.36 GB,3.42 GB,13.4 GB
2023-07-15 16:19:30,3.23 GB,3.45 GB,3.39 GB,3.46 GB,13.5 GB
2023-07-15 16:19:45,3.24 GB,3.48 GB,3.42 GB,3.50 GB,13.6 GB
2023-07-15 16:20:00,3.27 GB,3.50 GB,3.42 GB,3.59 GB,13.8 GB
2023-07-15 16:20:15,3.28 GB,3.53 GB,3.45 GB,3.60 GB,13.9 GB
2023-07-15 16:20:30,3.28 GB,3.53 GB,3.45 GB,3.57 GB,13.8 GB
2023-07-15 16:20:45,3.29 GB,3.56 GB,3.47 GB,3.59 GB,13.9 GB
2023-07-15 16:21:00,3.30 GB,3.58 GB,3.48 GB,3.59 GB,13.9 GB
2023-07-15 16:21:15,3.31 GB,3.59 GB,3.48 GB,3.59 GB,14.0 GB
2023-07-15 16:21:30,3.31 GB,3.58 GB,3.48 GB,3.59 GB,14.0 GB
2023-07-15 16:21:45,3.31 GB,3.58 GB,3.49 GB,3.61 GB,14.0 GB
